forecast,sample,clock,h_rem,n,QLIKE,bias_log_f_over_realized,mean_f_over_mean_realized,median_forecast,median_realized
blk2,whole,11:00,5.0,865,0.17939030981486523,0.07260654762587801,1.0047416523841421,3.08006792268648e-05,2.938320483815628e-05
blk2,whole,11:30,4.5,865,0.18298751478934408,0.05524533963738306,1.002996237093054,2.7178220266535124e-05,2.545178716617309e-05
blk2,whole,12:00,4.0,865,0.21301222624513774,0.07328006581229125,0.9927028881111325,2.4565837496923766e-05,2.2426958602680932e-05
blk2,whole,12:30,3.5,865,0.2299020364465085,0.05694418842867304,0.9981528141363929,2.151565286792524e-05,1.956155500642812e-05
blk2,whole,13:00,3.0,865,0.23035556803197843,0.10742923727911441,1.0611354805614046,2.0691437376995873e-05,1.726412396688223e-05
blk2,whole,13:30,2.5,865,0.2800430927491038,-0.030114762532311316,0.8458154907866493,1.4954951808410399e-05,1.467090514814524e-05
blk2,whole,14:00,2.0,865,0.2769714813698458,0.1069508391925463,0.9398442901556765,1.4854791933082453e-05,1.2667522000638138e-05
blk2,whole,14:30,1.5,865,0.14914251050648486,0.07202594725043478,0.9813494863369537,1.1202691450108078e-05,1.0065850541811473e-05
blk2,whole,15:00,1.0,865,0.13707952013079755,-0.09252062131942955,0.8718799896476022,6.79691174791209e-06,7.284856548096873e-06
blk2,whole,15:30,0.5,865,0.11011736952601549,0.15677293340188522,1.1145252025653927,4.818701386849418e-06,4.252795236725389e-06
blk2,whole,pooled,,8650,0.19890016296100815,0.057861971477646525,0.9828145893358143,1.6504882435970937e-05,1.4817016046441703e-05
blk2,daily_era,11:00,5.0,489,0.17916289088958975,0.036826694810465514,0.98454046952301,2.998665361122659e-05,3.040411506171111e-05
blk2,daily_era,11:30,4.5,489,0.19427904825916267,0.019072028805425367,0.9422904043685789,2.5929394466312427e-05,2.6334723999582805e-05
blk2,daily_era,12:00,4.0,489,0.2315019351994018,0.0766726349567615,1.011725064415462,2.4398194429008266e-05,2.2572597709698186e-05
blk2,daily_era,12:30,3.5,489,0.2635755431690005,0.06340770386618513,0.9410007220188863,2.1455871677329605e-05,1.958402647851113e-05
blk2,daily_era,13:00,3.0,489,0.2593350377051083,0.2133473660139239,1.0422153245451893,2.289012785348839e-05,1.697958391024903e-05
blk2,daily_era,13:30,2.5,489,0.3145760920756419,0.050765134962887495,0.8924966373175026,1.5232456597340445e-05,1.4318275337177107e-05
blk2,daily_era,14:00,2.0,489,0.30543295618736604,0.2176246037063758,1.0645911099092233,1.569828319974206e-05,1.1944934583089042e-05
blk2,daily_era,14:30,1.5,489,0.15924207150337533,0.20596949142418502,1.1178004869857194,1.1639323991128952e-05,9.457938937683372e-06
blk2,daily_era,15:00,1.0,489,0.10654742759941507,-0.01163650333067945,0.9247492770542519,6.600231036416341e-06,6.908561569404025e-06
blk2,daily_era,15:30,0.5,489,0.0973426987361019,0.13745518311387286,1.0563324847568414,4.181148476403664e-06,3.727515800670388e-06
blk2,daily_era,pooled,,4890,0.21109957013241634,0.10095043383294032,0.9882223828019506,1.701260152897306e-05,1.4540396071966e-05
a0,whole,11:00,5.0,865,0.2072861256898397,0.06678322201307854,0.9803180759613169,3.1190386086383036e-05,2.938320483815628e-05
a0,whole,11:30,4.5,865,0.22179801447545747,0.04037919103042566,0.9455253757481673,2.6828393551036016e-05,2.545178716617309e-05
a0,whole,12:00,4.0,865,0.2626538542321708,0.06448233660048162,0.9733012638226923,2.4044308407499e-05,2.2426958602680932e-05
a0,whole,12:30,3.5,865,0.2969864388250622,0.05594872489847285,1.0024125268238184,2.1337675323031582e-05,1.956155500642812e-05
a0,whole,13:00,3.0,865,0.30033986601550844,0.12339572984946391,1.0758187832474893,2.0796812302874554e-05,1.726412396688223e-05
a0,whole,13:30,2.5,865,0.3887962977324672,-0.009406402095499219,0.8768122086205554,1.4878283561444845e-05,1.467090514814524e-05
a0,whole,14:00,2.0,865,0.36879877506809394,0.1352439416530174,0.9379321309665692,1.5646736825541897e-05,1.2667522000638138e-05
a0,whole,14:30,1.5,865,0.17086172483998915,0.08224765401917272,0.9365453526821681,1.1309285242765085e-05,1.0065850541811473e-05
a0,whole,15:00,1.0,865,0.14101303176967403,-0.0774939971829906,0.8291428005184405,7.0628567747606626e-06,7.284856548096873e-06
a0,whole,15:30,0.5,865,0.10793975046580784,0.09243246057724293,1.005580367181134,4.608457916809786e-06,4.252795236725389e-06
a0,whole,pooled,,8650,0.24664738791140708,0.05740128613628658,0.9643103386970697,1.6570710913145286e-05,1.4817016046441703e-05
a0,daily_era,11:00,5.0,489,0.2042797566347867,0.04583168135374778,0.99481771799481,3.095125437325313e-05,3.040411506171111e-05
a0,daily_era,11:30,4.5,489,0.23219331100223903,0.02285668675215665,0.9442500933000009,2.6828393551036016e-05,2.6334723999582805e-05
a0,daily_era,12:00,4.0,489,0.2875453570019376,0.07226031223767143,1.0194195243692998,2.4892983255703686e-05,2.2572597709698186e-05
a0,daily_era,12:30,3.5,489,0.35303159689770625,0.0654176685326639,0.9429984571460422,2.1351534333242318e-05,1.958402647851113e-05
a0,daily_era,13:00,3.0,489,0.3481040079244045,0.22938864598150757,1.0545578476872084,2.30383929079274e-05,1.697958391024903e-05
