variant,family,causal,book,sample,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero,verdict
V1_forecast_blk2,V1 forecast,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.1542046078656585,-0.11257619179210251,0.4196967058245586,87.35000000000001,False,
V1_forecast_blk2,V1 forecast,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.08382178078178772,-0.29731904264353354,0.4510385603626544,67.95,False,no evidence
V1_forecast_blk2,V1 forecast,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.11607407968068179,-0.19715247201018807,0.41711701033525506,77.25,False,
V1_forecast_blk2,V1 forecast,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.05443605174196133,-0.37558155149763006,0.45804888297112906,61.1,False,
V1_forecast_blk2,V1 forecast,True,hold,whole,2000,21,0,2.5,97.5,865,0.06649896861436455,-0.19230571009232028,0.31197142774877734,69.19999999999999,False,
V1_forecast_blk2,V1 forecast,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.05124435345071877,-0.2919330788191185,0.37140383986442393,63.14999999999999,False,
V1_forecast_a0,V1 forecast,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.12423618518367795,-0.1637674076058105,0.4084595084479499,81.95,False,
V1_forecast_a0,V1 forecast,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,0.06981524448692954,-0.3713348052612514,0.501115506002645,63.449999999999996,False,no evidence
V1_forecast_a0,V1 forecast,True,exit_mid,whole,2000,21,0,2.5,97.5,865,0.08315566013654749,-0.2607523619111302,0.4171783942084718,70.15,False,
V1_forecast_a0,V1 forecast,True,exit_mid,daily_era,2000,21,0,2.5,97.5,489,0.03834169521220986,-0.47188850336643956,0.5113549893217243,57.9,False,
V1_forecast_a0,V1 forecast,True,hold,whole,2000,21,0,2.5,97.5,865,0.05308035903102004,-0.22604821068942296,0.3156779785215406,66.4,False,
V1_forecast_a0,V1 forecast,True,hold,daily_era,2000,21,0,2.5,97.5,489,0.035029911443469404,-0.3800808196539052,0.4151234505012877,58.5,False,
V1_forecast_xgb,V1 forecast,True,exit_crossed,whole,2000,21,0,2.5,97.5,865,0.04916319964340139,-0.24417645299979002,0.32474404990457034,63.4,False,
V1_forecast_xgb,V1 forecast,True,exit_crossed,daily_era,2000,21,0,2.5,97.5,489,-0.005773916509296858,-0.4393247729961502,0.4275543986728706,50.64999999999999,False,no evidence
V1_forecast_xgb,V1 forecast,True,exit_mid,whole,2000,21,0,2.5,97.5,865,-0.0010841162517049403,-0.3465885789246511,0.32492961737855264,50.6,False,
