variant,family,causal,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V1_forecast_blk2,V1 forecast,True,exit_crossed,whole,865,0.0038260680217114904,0.07646724767684561,1.4715847611753394,1.500931990768147,14,0.5179190751445086,0.0
V1_forecast_blk2,V1 forecast,True,exit_crossed,daily_era,489,0.0027952223762235558,0.07770277639089553,0.7954891435810891,0.809663450261267,11,0.5296523517382413,0.0
V1_forecast_blk2,V1 forecast,True,exit_mid,whole,865,0.00382606802171149,0.07646724767684561,1.4715847611753392,1.500931990768147,14,0.5179190751445086,0.0
V1_forecast_blk2,V1 forecast,True,exit_mid,daily_era,489,0.0027952223762235575,0.07770277639089553,0.7954891435810896,0.8096634502612674,11,0.5296523517382413,0.0
V1_forecast_blk2,V1 forecast,True,hold,whole,865,0.002979349159772661,0.08166681792488953,1.0729607178715437,1.1208834387945759,14,0.5156069364161849,0.0
V1_forecast_blk2,V1 forecast,True,hold,daily_era,489,0.0027183936442024804,0.08047417370214364,0.7469821940331199,0.7655488820708699,11,0.5337423312883436,0.0
V1_forecast_a0,V1 forecast,True,exit_crossed,whole,865,0.0032543844159911217,0.08108709051406776,1.1803890920254512,1.2373154529023862,14,0.5052023121387283,0.0
V1_forecast_a0,V1 forecast,True,exit_crossed,daily_era,489,0.002536833859933464,0.08486371016216816,0.6610349782182584,0.6632869917232918,11,0.5173824130879345,0.0
V1_forecast_a0,V1 forecast,True,exit_mid,whole,865,0.0032543844159911217,0.08108709051406775,1.1803890920254514,1.2373154529023864,14,0.5052023121387283,0.0
V1_forecast_a0,V1 forecast,True,exit_mid,daily_era,489,0.0025368338599334656,0.08486371016216816,0.661034978218259,0.6632869917232922,11,0.5173824130879345,0.0
V1_forecast_a0,V1 forecast,True,hold,whole,865,0.002808784003469816,0.08702670946116428,0.9492351986554417,1.0101512572733464,14,0.49942196531791905,0.0
V1_forecast_a0,V1 forecast,True,hold,daily_era,489,0.0025836790367596793,0.08795571642302887,0.6495744296121919,0.6465260875867201,11,0.50920245398773,0.0
V1_forecast_xgb,V1 forecast,True,exit_crossed,whole,865,0.0019488644148975434,0.07967620730248916,0.7193844177972055,0.7268632714550023,14,0.500578034682081,0.0
V1_forecast_xgb,V1 forecast,True,exit_crossed,daily_era,489,0.001114729956108559,0.0822709838086017,0.2996245611433853,0.29365277164824566,11,0.5194274028629857,0.0
V1_forecast_xgb,V1 forecast,True,exit_mid,whole,865,0.0019488644148975408,0.07967620730248916,0.7193844177972046,0.7268632714550013,14,0.500578034682081,0.0
V1_forecast_xgb,V1 forecast,True,exit_mid,daily_era,489,0.001114729956108558,0.08227098380860169,0.2996245611433851,0.29365277164824544,11,0.5194274028629857,0.0
V1_forecast_xgb,V1 forecast,True,hold,whole,865,0.0016854072612300115,0.08727107200830395,0.5679925032868228,0.5742826506099256,14,0.5040462427745664,0.0
V1_forecast_xgb,V1 forecast,True,hold,daily_era,489,0.001365331548049206,0.08638095602978524,0.3495220256038208,0.33277930110368487,11,0.5132924335378323,0.0
V1_forecast_lgbm,V1 forecast,True,exit_crossed,whole,865,0.002371264724279556,0.07877789566764844,0.8852862495376427,0.9025499256371285,14,0.5167630057803468,0.0
V1_forecast_lgbm,V1 forecast,True,exit_crossed,daily_era,489,0.0014058315077807085,0.08182019133214363,0.3799506671421648,0.37744987553062004,11,0.5316973415132924,0.0
V1_forecast_lgbm,V1 forecast,True,exit_mid,whole,865,0.0023712647242795557,0.07877789566764844,0.8852862495376426,0.9025499256371283,14,0.5167630057803468,0.0
V1_forecast_lgbm,V1 forecast,True,exit_mid,daily_era,489,0.0014058315077807063,0.08182019133214363,0.3799506671421642,0.3774498755306194,11,0.5316973415132924,0.0
