,buy and hold,BRK L0 (from the prior close),BRK L1 (a session late),VM L0 (from the prior close),VM L1 (a session late),MA200 L0 (from the prior close),MA200 L1 (a session late)
2000-02 dot-com,-0.4914694789846549,-0.5312249849902668,-0.5398635594313717,-0.47946654578253534,-0.47820155224240646,-0.2114985386376529,-0.13738107172932557
2007-09 financial crisis,-0.5677538774277285,-0.325689292500841,-0.3579349886781352,-0.37887472310854997,-0.3743307783002542,-0.08686839516834566,-0.09589977946864114
2011 downgrade,-0.1938824207235842,-0.18786939311944328,-0.2184629697611924,-0.15644057696276803,-0.17913661602264164,-0.08034550766008952,-0.07573281263749754
2015-16,-0.1416075044464049,-0.1416075044464049,-0.1416075044464049,-0.1404985937556953,-0.15007154851490878,-0.1286828916339059,-0.1639741066371485
2018 Q4,-0.17542604548750274,-0.17542604548750274,-0.17542604548750274,-0.1294076233385455,-0.15129617492782765,-0.14541464768071977,-0.08377431324642781
2020 covid,-0.3392496000265327,-0.12983617805541336,-0.13355519664982707,-0.16026686232781073,-0.14138973851408687,-0.17403899126388123,-0.106244920410964
2022,-0.25425096619230436,-0.2552543851643311,-0.2503634871017283,-0.21529083342512723,-0.23178718064870363,-0.14156845059685008,-0.1454890165624585
