book,day_role,rep_date,entry_clock,terminal,iv_mode,session,era,pnl_pts,pnl_units,pnl_dollars,option_pts,hedge_pts,var_scale,path_net_logpct,path_sum_abs_bar_logpct,path_trend_ratio,path_max_abs_bar_logpct,path_max_abs_bar_stamp,path_last_bar_logpct,S_settle_replayed,rank
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2008-10-10,2008-2009,-467.655048360077,-59.573891329901244,-46765.5048360077,-176.55860113250674,-291.09644722757025,1.0,4.307748625774271,8.85090355848355,0.4867015663779676,6.347396750495,15:30,-0.27003132216423004,4384.158601275558,1
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2020-03-18,2020-2024,-426.692499637398,-54.355732272796985,-42669.2499637398,-136.23709896146374,-290.45540067593424,1.0,3.3837841690495205,9.203297781479042,0.3676708338025459,3.93584509405551,16:00,3.93584509405551,4343.837099104515,2
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2008-10-29,2008-2009,-371.177065591301,-47.283702479486585,-37117.7065591301,-95.26254706385907,-275.91451852744194,1.0,-2.58528018924707,7.702510680299748,0.3356412339497674,4.26447024936091,16:00,-4.26447024936091,4092.13745279309,3
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2008-11-21,2008-2009,-284.9472841257184,-36.29901697583215,-28494.72841257184,-241.31839500969454,-43.62888911602383,1.0,5.7740769334052,9.31850316331772,0.619635668111897,3.51604138869885,15:30,3.09789431741278,4448.918395152746,4
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2008-12-04,2008-2009,-210.07491710698127,-26.7611358559167,-21007.491710698127,-45.95435432250633,-164.12056278447494,1.0,-1.3875323404553002,5.290653056559281,0.2622610716714936,2.6619217727462,15:30,0.9110354144595999,4141.4456455344425,5
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2022-09-21,2020-2024,-197.37164953945967,-25.14288521528746,-19737.16495394597,-82.39847967759579,-114.9731698618639,1.0,-2.27141268036853,5.77092166940313,0.3935961724123446,1.55021453182495,15:30,-1.10105552151726,4105.001520179353,6
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2009-03-06,2008-2009,-189.4857207380367,-24.138308300959817,-18948.57207380367,-60.955775357700986,-128.5299453803357,1.0,1.63553041193705,3.7690796303530902,0.4339336316393592,2.38680868774734,16:00,2.38680868774734,4268.555775500752,7
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2008-10-24,2008-2009,-184.633208796906,-23.52015391543208,-18463.3208796906,3.6395830294450207,-188.272791826351,1.0,-0.1971426398033202,7.214773396993681,0.02732485539815671,2.07573234846418,15:00,-1.94611941507281,4191.039582886394,8
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2011-10-04,2010-2019,-175.37742236330456,-22.34107284466903,-17537.742236330458,-102.13580982105304,-73.24161254225153,1.0,2.5956365212985997,4.4656901109591,0.5812397315543091,2.76074461334379,16:00,2.76074461334379,4309.735809964104,9
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,2002-07-15,1998-2007,-168.41909785164682,-21.454662081544946,-16841.909785164684,-113.87512644746857,-54.543971404178265,1.0,2.86765684269888,4.92812405683708,0.5818962367070303,2.32840611072639,15:30,0.83247736127409,4321.47512659052,10
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-10-10,2008-2009,-467.655048360077,-59.573891329901244,-46765.5048360077,-188.4132009322566,-279.2418474278204,1.0,4.307748625774271,8.85090355848355,0.4867015663779676,6.347396750495,15:30,-0.27003132216423004,4384.158601275558,1
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-11-21,2008-2009,-284.9472841257184,-36.29901697583215,-28494.72841257184,-105.60853209093511,-179.33875203478325,1.0,5.7740769334052,9.31850316331772,0.619635668111897,3.51604138869885,15:30,3.09789431741278,4448.918395152746,2
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-12-04,2008-2009,-210.07491710698127,-26.7611358559167,-21007.491710698127,-83.5130445632185,-126.56187254376279,1.0,-1.3875323404553002,5.290653056559281,0.2622610716714936,2.6619217727462,15:30,0.9110354144595999,4141.4456455344425,3
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2022-09-21,2020-2024,-197.3716495390635,-25.142885215236994,-19737.16495390635,-36.950388570243376,-160.42126096882012,1.0,-2.27141268036853,5.77092166940313,0.3935961724123446,1.55021453182495,15:30,-1.10105552151726,4105.001520179353,4
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-10-24,2008-2009,-171.71237456969374,-21.874187776837257,-17171.237456969375,-65.80104452299656,-105.91133004669717,1.0,-0.1971426398033202,7.214773396993681,0.02732485539815671,2.07573234846418,15:00,-1.94611941507281,4191.039582886394,5
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2002-07-15,1998-2007,-168.41909785164682,-21.454662081544946,-16841.909785164684,-78.0491528058219,-90.36994504582493,1.0,2.86765684269888,4.92812405683708,0.5818962367070303,2.32840611072639,15:30,0.83247736127409,4321.47512659052,6
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-10-29,2008-2009,-160.4519711774806,-20.439741489192254,-16045.197117748061,-62.819818679282434,-97.63215249819817,1.0,-2.58528018924707,7.702510680299748,0.3356412339497674,4.26447024936091,16:00,-4.26447024936091,4092.13745279309,7
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-09-16,2008-2009,-143.5216920833218,-18.28301804425741,-14352.16920833218,-43.21721544209413,-100.30447664122768,1.0,2.0851588696214405,5.046023307773799,0.41322814867087265,2.69953326306882,15:00,0.8660578256288,4287.791629529517,8
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2008-09-29,2008-2009,-138.5382354925046,-17.648182811686514,-13853.823549250461,-224.04329711609125,85.50506162358663,1.0,-4.50244190179514,7.063342420687641,0.6374378634976062,3.2711586535309105,14:00,1.2804502594462501,4014.431811772666,9
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,2020-03-18,2020-2024,-134.44279394772994,-17.12647051457364,-13444.279394772993,-11.213666047869992,-123.22912789985995,1.0,3.3837841690495205,9.203297781479042,0.3676708338025459,3.93584509405551,16:00,3.93584509405551,4343.837099104515,10
