day_role,entry_clock,quantile,rank,rep_date,i,j,S_entry,K_c,K_p,entry_mid_pts,entry_bid_pts,premium_over_spot_pct,total_vol_entry,total_vol_1530,S_1530,S_close_actual
p25 premium,13:30,0.25,217,2021-05-26,219,7,4199.31005859375,4200.0,4195.0,7.850000023841858,7.6000001430511475,0.18693547069183641,0.003000459888085954,0.0015877288671246096,4195.919921875,4195.990234375
median premium,13:30,0.5,433,2023-01-23,548,7,4031.780029296875,4035.0,4030.0,11.649999856948853,11.5,0.2889542527691066,0.004350536884686998,0.002604410377880952,4011.330078125,4019.81005859375
p75 premium,13:30,0.75,650,2022-06-27,405,7,3907.239990234375,3910.0,3905.0,16.550000190734863,16.300000190734863,0.42357265568788666,0.006076406136167495,0.003681745651315547,3903.159912109375,3900.110107421875
median premium,11:00,0.5,433,2021-06-16,228,2,4244.60986328125,4245.0,4240.0,17.90000009536743,17.699999809265137,0.4217113155725937,0.0059754488965296625,0.002901187450986521,4232.39990234375,4223.7001953125
