book,day_role,rep_date,entry_clock,terminal,iv_mode,n_sessions,n_var_scale_at_floor,var_scale_max,mean_hedge_cost_pts,total_pts_mean,total_pts_median,total_pts_sd,total_pts_min,total_pts_max,total_pts_p1,total_pts_p0.5,total_pts_p0.1,total_pts_ES_below_p1,total_pts_n_below_p1,total_units_mean,total_units_median,total_units_sd,total_units_min,total_units_max,total_units_p1,total_units_p0.5,total_units_p0.1,total_units_ES_below_p1,total_units_n_below_p1,total_dollars_mean,total_dollars_median,total_dollars_sd,total_dollars_min,total_dollars_max,total_dollars_p1,total_dollars_p0.5,total_dollars_p0.1,total_dollars_ES_below_p1,total_dollars_n_below_p1,option_pts_mean,option_pts_median,option_pts_sd,option_pts_min,option_pts_max,option_pts_p1,option_pts_p0.5,option_pts_p0.1,option_pts_ES_below_p1,option_pts_n_below_p1,option_units_mean,option_units_median,option_units_sd,option_units_min,option_units_max,option_units_p1,option_units_p0.5,option_units_p0.1,option_units_ES_below_p1,option_units_n_below_p1,option_dollars_mean,option_dollars_median,option_dollars_sd,option_dollars_min,option_dollars_max,option_dollars_p1,option_dollars_p0.5,option_dollars_p0.1,option_dollars_ES_below_p1,option_dollars_n_below_p1,hedge_pts_mean,hedge_pts_median,hedge_pts_sd,hedge_pts_min,hedge_pts_max,hedge_pts_p1,hedge_pts_p0.5,hedge_pts_p0.1,hedge_pts_ES_below_p1,hedge_pts_n_below_p1,hedge_units_mean,hedge_units_median,hedge_units_sd,hedge_units_min,hedge_units_max,hedge_units_p1,hedge_units_p0.5,hedge_units_p0.1,hedge_units_ES_below_p1,hedge_units_n_below_p1,hedge_dollars_mean,hedge_dollars_median,hedge_dollars_sd,hedge_dollars_min,hedge_dollars_max,hedge_dollars_p1,hedge_dollars_p0.5,hedge_dollars_p0.1,hedge_dollars_ES_below_p1,hedge_dollars_n_below_p1,w1_n,w1_total_pts,w1_n_last_bar,w1_share_n_last_bar,w1_pts_last_bar,w1_share_loss_last_bar,w1_mean_pts_last_bar,w1_n_earlier_bar,w1_share_n_earlier_bar,w1_pts_earlier_bar,w1_share_loss_earlier_bar,w1_mean_pts_earlier_bar,w1_n_whipsaw,w1_share_n_whipsaw,w1_pts_whipsaw,w1_share_loss_whipsaw,w1_mean_pts_whipsaw
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,hold to cash settlement,frozen IV,6593,0,1.0,0.4248930579639817,-6.607721175338422,-2.6319946734462554,18.320526520119326,-467.655048360077,7.530320832302195,-77.57004473343672,-100.44585851949604,-186.6130336688873,-127.9189863135549,66.0,-0.8417479178687374,-0.3352859446436198,2.3338250273218604,-59.573891329901244,0.9592765362332816,-9.881534330935361,-12.795650727952097,-23.772360904727396,-16.29541221975057,66.0,-660.7721175338421,-263.19946734462553,1832.0526520119327,-46765.5048360077,753.0320832302195,-7757.004473343671,-10044.585851949603,-18661.303366888733,-12791.898631355489,66.0,-7.546721261225204,-0.9678234021994285,21.487199841809655,-366.0193195520915,7.6000001430511475,-90.05035198676552,-120.73190937564428,-194.94983644611656,-138.89729112174342,66.0,-0.9613657628413321,-0.12328960500127073,2.7372229014712324,-46.62666476948091,0.9681528815246604,-11.4713823838556,-15.379861020249658,-24.83437399414254,-17.693922382151268,66.0,-754.6721261225202,-96.78234021994285,2148.7199841809656,-36601.93195520915,760.0000143051147,-9005.035198676553,-12073.190937564428,-19494.983644611657,-13889.729112174344,66.0,0.9390000858867814,-0.6777665336249628,19.913067768441383,-291.09644722757025,324.57355163236394,-50.577374352190546,-66.70131546329779,-116.7307921692418,-84.50915978362245,66.0,0.11961784497259485,-0.08633968554986805,2.5366965233072385,-37.08234985266983,41.34694912695234,-6.442977604914393,-8.496982835759736,-14.870164562383367,-10.765498028911207,66.0,93.90000858867812,-67.77665336249628,1991.3067768441383,-29109.644722757024,32457.355163236396,-5057.7374352190545,-6670.131546329779,-11673.07921692418,-8450.915978362245,66.0,66.0,-8442.653096694623,39.0,0.5909090909090909,-4803.752766056775,0.5689861600422134,-123.17314784760961,9.0,0.13636363636363635,-1140.0967371633162,0.13504010221735566,-126.67741524036848,18.0,0.2727272727272727,-2498.80359347453,0.29597373774043073,-138.8224218596961
p25 premium | 13:30 | frozen IV,p25 premium,2021-05-26,13:30,flatten at 15:30,frozen IV,6593,0,1.0,0.33818328804922126,-5.238751923018244,-1.8212215103090754,14.202164009047602,-467.655048360077,4.2489275134189395,-57.33149079571539,-78.32230615454876,-150.4292459537386,-98.90210237144741,66.0,-0.6673569308416833,-0.23200273946212727,1.8091928618997557,-59.573891329901244,0.5412646497470299,-7.303374601476354,-9.977363811040748,-19.162961209790826,-12.598993894403055,66.0,-523.8751923018244,-182.12215103090753,1420.2164009047601,-46765.5048360077,424.8927513418939,-5733.149079571539,-7832.230615454876,-15042.924595373857,-9890.21023714474,66.0,-5.737223452873357,0.08551722103402426,15.768297170032996,-247.7188563823902,4.412703303395574,-65.94409296820609,-83.7895776656317,-153.23564005367706,-98.47909222704492,66.0,-0.7308564885921502,0.010893913474432245,2.0087002703365413,-31.556542118474344,0.5621278076424717,-8.400521371709816,-10.67383151734366,-19.520463641818207,-12.545107251967675,66.0,-573.7223452873357,8.551722103402426,1576.8297170032995,-24771.88563823902,441.2703303395574,-6594.40929682061,-8378.95776656317,-15323.564005367705,-9847.909222704493,66.0,0.4984715298551118,-0.38772204164149626,14.38761532639353,-279.2418474278204,206.27308846266266,-39.32615708446274,-53.121755737188806,-102.97889543881226,-66.84962267110829,66.0,0.06349955775046678,-0.049391342734256674,1.8328172334644284,-35.57220975537743,26.27682647594577,-5.009701524206643,-6.767102621127199,-13.118330589305335,-8.515875473639998,66.0,49.84715298551117,-38.77220416414963,1438.761532639353,-27924.18474278204,20627.308846266267,-3932.6157084462743,-5312.1755737188805,-10297.889543881225,-6684.962267110829,66.0,66.0,-6527.53875651553,16.0,0.24242424242424243,-1549.0098828031423,0.23730382010478027,-96.8131176751964,16.0,0.24242424242424243,-1604.5701797573267,0.24581549640830683,-100.28563623483292,34.0,0.5151515151515151,-3373.95869395506,0.5168806834869129,-99.23407923397235
p25 premium | 13:30 | regime-scaled IV,p25 premium,2021-05-26,13:30,hold to cash settlement,regime-scaled IV,6593,2808,44.1317059346449,0.379333651107885,-6.677445902267747,-2.837259835775889,16.78578397634457,-444.1006615973943,7.530320832302195,-69.11754441727699,-89.67882626830671,-161.29416980804308,-114.59708420592814,66.0,-0.8506300486607831,-0.36143437288644864,2.1383164236131385,-56.5733325157428,0.9592765362332816,-8.804782701573835,-11.424054266998219,-20.54702793861959,-14.598354631576594,66.0,-667.7445902267748,-283.72598357758886,1678.5783976344574,-44410.066159739436,753.0320832302195,-6911.754441727699,-8967.88262683067,-16129.416980804308,-11459.708420592817,66.0,-7.546721261225204,-0.9678234021994285,21.487199841809655,-366.0193195520915,7.6000001430511475,-90.05035198676552,-120.73190937564428,-194.94983644611656,-138.89729112174342,66.0,-0.9613657628413321,-0.12328960500127073,2.7372229014712324,-46.62666476948091,0.9681528815246604,-11.4713823838556,-15.379861020249658,-24.83437399414254,-17.693922382151268,66.0,-754.6721261225202,-96.78234021994285,2148.7199841809656,-36601.93195520915,760.0000143051147,-9005.035198676553,-12073.190937564428,-19494.983644611657,-13889.729112174344,66.0,0.8692753589574549,-0.69960220830852,17.074995656011364,-267.5420604648876,278.4533353636986,-40.1432826892459,-55.23576555921481,-109.87227824387878,-69.3287072061684,66.0,0.110735714180549,-0.08912130015079014,2.175158675688094,-34.08179103851138,35.47176235897909,-5.113793957620835,-7.036403234580113,-13.996468523589423,-8.831682419822254,66.0,86.92753589574548,-69.96022083085201,1707.4995656011367,-26754.206046488758,27845.33353636986,-4014.3282689245902,-5523.5765559214815,-10987.227824387877,-6932.87072061684,66.0,66.0,-7563.407557591258,40.0,0.6060606060606061,-4492.448972996218,0.5939715582941483,-112.31122432490545,9.0,0.13636363636363635,-955.9381125165296,0.12638987192447027,-106.21534583516996,17.0,0.25757575757575757,-2115.0204720785105,0.2796385697813814,-124.41296894579473
p25 premium | 13:30 | regime-scaled IV,p25 premium,2021-05-26,13:30,flatten at 15:30,regime-scaled IV,6593,2808,44.1317059346449,0.29057327191518184,-6.023206555229595,-2.6496849692310542,13.304669227611567,-444.1006615978073,4.2489275134189395,-56.53362549203831,-67.23358651516945,-129.22335602821337,-86.14969539631227,66.0,-0.7672874569345267,-0.337539485501081,1.6948623168411339,-56.57333251579541,0.5412646497470299,-7.2017357095968855,-8.56478806509159,-16.46157396633616,-10.974483456644611,66.0,-602.3206555229593,-264.9684969231054,1330.4669227611566,-44410.06615978073,424.8927513418939,-5653.362549203831,-6723.358651516945,-12922.335602821338,-8614.969539631227,66.0,-6.488263180858931,-1.2796033683621317,15.626171810402491,-247.7188563824242,4.412703303395574,-66.24575337766132,-83.78957844979904,-153.23564005367746,-98.54378630083156,66.0,-0.826530339000371,-0.16300679802238813,1.9905951290373254,-31.556542118478678,0.5621278076424717,-8.43894944923071,-10.673831617237587,-19.52046364181826,-12.553348535227567,66.0,-648.8263180858931,-127.96033683621317,1562.617181040249,-24771.88563824242,441.2703303395574,-6624.575337766131,-8378.957844979905,-15323.564005367747,-9854.378630083156,66.0,0.46505662562933725,-0.4013705762631914,11.622002088678531,-255.68746066543935,160.15287219474823,-28.12761923344488,-41.477409814762986,-69.60389539331565,-50.309908086261075,66.0,0.05924288206584418,-0.05113000955976522,1.4805098157172518,-32.57165094125741,20.40163970806818,-3.583136197199523,-5.283746457170529,-8.866738239734541,-6.408905469230682,66.0,46.505662562933715,-40.13705762631914,1162.200208867853,-25568.746066543936,16015.287219474823,-2812.761923344488,-4147.740981476299,-6960.389539331566,-5030.990808626106,66.0,66.0,-5685.87989615661,22.0,0.3333333333333333,-1639.271698079034,0.288305720137899,-74.51234991268336,13.0,0.19696969696969696,-1209.9928873965432,0.21280662087400792,-93.07637595358025,31.0,0.4696969696969697,-2836.615310681033,0.49888765898809306,-91.50371969938816
median premium | 13:30 | frozen IV,median premium,2023-01-23,13:30,hold to cash settlement,frozen IV,6593,0,1.0,0.32272158620847374,-1.978588656853953,1.2519317807972201,17.025712191538194,-431.99271917596803,11.573563836400037,-63.421185465009124,-81.28623166440863,-163.96357904209574,-112.47124929569559,66.0,-0.16983593829606689,0.1074619567527705,1.4614345408238696,-37.08092055626062,0.9934389681126714,-5.4438786475332375,-6.9773590268264245,-14.07412712922024,-9.654184607445302,66.0,-197.85886568539533,125.19317807972202,1702.5712191538191,-43199.2719175968,1157.3563836400037,-6342.118546500913,-8128.623166440863,-16396.357904209577,-11247.12492956956,66.0,-2.755505213253094,3.6086137355464416,20.70259550410492,-344.65635127173664,11.5,-82.71843505824582,-112.42671915150909,-180.98476429749223,-128.80498522703502,66.0,-0.23652405554404562,0.30975225578170446,1.7770468462071685,-29.584236523930954,0.9871244756402823,-7.100294941970056,-9.650362277425279,-15.535173091829748,-11.056222043660112,66.0,-275.5505213253094,360.86137355464416,2070.259550410492,-34465.635127173664,1150.0,-8271.843505824581,-11242.67191515091,-18098.476429749222,-12880.498522703507,66.0,0.7769165563991411,-0.5959484439098368,17.509103902302666,-270.64138693371416,303.80343866266077,-42.26889297000103,-57.1422768073377,-118.13332653573383,-75.27938736866838,66.0,0.06668811724797878,-0.05115437349592521,1.5029273920427602,-23.23102062291316,26.077548703269017,-3.6282312007745645,-4.904916524376964,-10.140199827150305,-6.46175006807117,66.0,77.69165563991409,-59.59484439098368,1750.9103902302666,-27064.138693371417,30380.343866266077,-4226.889297000103,-5714.22768073377,-11813.332653573383,-7527.938736866838,66.0,66.0,-7423.102453515909,39.0,0.5909090909090909,-4274.336864869996,0.5758154210636661,-109.59838115051272,7.0,0.10606060606060606,-835.7494417058937,0.11258762046454658,-119.39277738655623,20.0,0.30303030303030304,-2313.016146940019,0.3115969584717873,-115.65080734700095
median premium | 13:30 | frozen IV,median premium,2023-01-23,13:30,flatten at 15:30,frozen IV,6593,0,1.0,0.23774280793008487,-2.4005786696823863,0.9278912869816474,12.583907076123147,-431.99271917596803,5.360965625849929,-48.432214833841044,-65.21562562834914,-128.19992711184184,-84.00339411217261,66.0,-0.20605825743856282,0.07964732174895177,1.0801637107847044,-37.08092055626062,0.4601687288993643,-4.157271710604595,-5.597907847994531,-11.004285724121678,-7.2105918578245545,66.0,-240.05786696823867,92.78912869816473,1258.390707612315,-43199.2719175968,536.096562584993,-4843.221483384104,-6521.562562834914,-12819.992711184184,-8400.339411217263,66.0,-2.756881528492705,2.74490635837401,14.368815251078026,-231.07544435868658,5.384100090424909,-58.498658280145406,-76.93348419280406,-140.36160342230025,-90.01273732888478,66.0,-0.23664219419267316,0.2356142825818801,1.2333747148080425,-19.83480233442728,0.46215451987438994,-5.021344120039008,-6.603732629826231,-12.048206450284122,-7.726415316236682,66.0,-275.68815284927047,274.490635837401,1436.8815251078026,-23107.54443586866,538.4100090424909,-5849.865828014541,-7693.348419280406,-14036.160342230027,-9001.273732888478,66.0,0.3563028588103179,-0.33355890208628386,12.180199289961468,-257.8569515574837,190.2225317496107,-32.48735448073776,-45.293444425772236,-91.76998767039095,-57.096736377256235,66.0,0.03058393675411031,-0.028631665766701845,1.0455106815041177,-22.13364418229415,16.328114513765343,-2.7886141527598465,-3.8878493546724076,-7.8772522572738986,-4.9010074745365655,66.0,35.630285881031796,-33.35589020862839,1218.0199289961467,-25785.69515574837,19022.25317496107,-3248.7354480737754,-4529.344442577223,-9176.998767039095,-5709.673637725623,66.0,66.0,-5544.224011403392,18.0,0.2727272727272727,-1430.7967986622627,0.2580698030453661,-79.48871103679238,14.0,0.21212121212121213,-1242.8429836838475,0.22416896956680699,-88.77449883456053,34.0,0.5151515151515151,-2870.5842290572828,0.5177612273878271,-84.42894791344949
median premium | 13:30 | regime-scaled IV,median premium,2023-01-23,13:30,hold to cash settlement,regime-scaled IV,6593,4405,22.852690906608185,0.30335239231931704,-2.0349690046735596,1.3850328488460346,16.016368609103534,-398.3806284696316,11.573563836400037,-60.44136281768478,-81.3467491172216,-150.55157782409822,-103.81829507492483,66.0,-0.1746754531897926,0.11888694127493116,1.3747956056454609,-34.19576252028967,0.9934389681126714,-5.1880998763818384,-6.982553658032955,-12.922882375341748,-8.911441746756806,66.0,-203.49690046735603,138.50328488460346,1601.636860910353,-39838.062846963156,1157.3563836400037,-6044.136281768478,-8134.674911722162,-15055.157782409822,-10381.82950749248,66.0,-2.755505213253094,3.6086137355464416,20.70259550410492,-344.65635127173664,11.5,-82.71843505824582,-112.42671915150909,-180.98476429749223,-128.80498522703502,66.0,-0.23652405554404562,0.30975225578170446,1.7770468462071685,-29.584236523930954,0.9871244756402823,-7.100294941970056,-9.650362277425279,-15.535173091829748,-11.056222043660112,66.0,-275.5505213253094,360.86137355464416,2070.259550410492,-34465.635127173664,1150.0,-8271.843505824581,-11242.67191515091,-18098.476429749222,-12880.498522703507,66.0,0.7205362085795342,-0.6034761470698659,15.39250433178233,-235.626525472489,268.07206439955075,-36.66221810547735,-50.51639401159643,-102.75895739929328,-62.76828886772903,66.0,0.061848602354253004,-0.05180052828154428,1.3212450232436004,-20.22545307860629,23.01047791340996,-3.1469715498416515,-4.3361712130378285,-8.820511473053868,-5.387836020469112,66.0,72.0536208579534,-60.34761470698658,1539.250433178233,-23562.6525472489,26807.206439955076,-3666.221810547735,-5051.639401159644,-10275.895739929329,-6276.828886772901,66.0,66.0,-6852.007474945039,39.0,0.5909090909090909,-4053.1599527317117,0.5915288282379205,-103.9271782751721,9.0,0.13636363636363635,-869.9178323247595,0.12695809739053696,-96.65753692497327,18.0,0.2727272727272727,-1928.9296898885673,0.28151307437154244,-107.16276054936485
median premium | 13:30 | regime-scaled IV,median premium,2023-01-23,13:30,flatten at 15:30,regime-scaled IV,6593,4405,22.852690906608185,0.21806564704633083,-2.9837204372293953,0.5428491282336854,12.241912528799817,-398.38062887924957,5.360965625849929,-49.947735739597434,-61.00102732629611,-112.87678069094954,-77.75923611135421,66.0,-0.25611334539628355,0.04659649226604009,1.0508079552891931,-34.19576255545001,0.4601687288993643,-4.287359343597348,-5.236139748955528,-9.688994169697105,-6.674612623705167,66.0,-298.37204372293957,54.284912823368536,1224.1912528799817,-39838.062887924956,536.096562584993,-4994.773573959744,-6100.102732629611,-11287.678069094954,-7775.92361113542,66.0,-3.317410148344292,1.976244704773876,14.414028831342856,-231.0754444171391,5.3840972778941705,-58.71720931250146,-76.9334846930073,-140.36160342270114,-90.15217360450998,66.0,-0.28475623940592265,0.16963474069015624,1.237255708869846,-19.834802339444664,0.4621542784554395,-5.040103865535974,-6.603732672762133,-12.04820645031853,-7.738384095407271,66.0,-331.7410148344291,197.6244704773876,1441.4028831342855,-23107.544441713908,538.409727789417,-5871.720931250146,-7693.34846930073,-14036.160342270112,-9015.217360450999,66.0,0.33368971111489626,-0.33844227305755226,10.227216116054093,-224.24486112180858,154.49115840754274,-26.289591252528353,-36.731613472285986,-71.42726654523833,-44.79266062253663,66.0,0.028642894009639066,-0.029050839245777522,0.8778726387669341,-19.24848616955593,13.26104380296569,-2.256617302604296,-3.152928233761029,-6.131095916077136,-3.8448636199612682,66.0,33.36897111148963,-33.844227305755226,1022.7216116054093,-22424.486112180857,15449.115840754273,-2628.9591252528353,-3673.1613472285985,-7142.726654523833,-4479.266062253663,66.0,66.0,-5132.109583349378,21.0,0.3181818181818182,-1451.183873259326,0.2827655664188365,-69.10399396472981,14.0,0.21212121212121213,-1147.0059649045024,0.2234960002853115,-81.92899749317874,31.0,0.4696969696969697,-2533.9197451855484,0.49373843329585176,-81.73934661888866
p75 premium | 13:30 | frozen IV,p75 premium,2022-06-27,13:30,hold to cash settlement,frozen IV,6593,0,1.0,0.25368237707640634,3.2400750886274983,6.426027645180325,16.264388025886415,-415.5252494749707,16.363214303950883,-53.827104603595316,-71.64876955110495,-148.0109008739325,-100.65765106776934,66.0,0.19577492757017487,0.388279611548149,0.9827424675796474,-25.107265539948024,0.9887138438289235,-3.2523929899245063,-4.329230738693035,-8.943256747319738,-6.082033227052179,66.0,324.0075088627499,642.6027645180325,1626.4388025886417,-41552.52494749707,1636.3214303950883,-5382.710460359532,-7164.876955110495,-14801.090087393251,-10065.765106776933,66.0,2.538168110589569,8.708671451585815,20.038713460824585,-329.21532415416823,16.300000190734863,-74.79765392671868,-103.28372788561259,-170.08122361753874,-119.62032591103453,66.0,0.15336363029231284,0.5262037070223821,1.2107983824702795,-19.892164372207795,0.9848942599928212,-4.519495653455788,-6.240708561649057,-10.276810976277499,-7.2278141711443125,66.0,253.81681105895686,870.8671451585815,2003.8713460824586,-32921.53241541682,1630.0000190734863,-7479.7653926718685,-10328.372788561259,-17008.122361753874,-11962.032591103452,66.0,0.7019069780379299,-0.4589991419814644,15.761137056521594,-262.59328741086756,293.09563848683985,-36.08085584796326,-50.80174657245252,-107.97796959056106,-67.74242605142965,66.0,0.04241129727786205,-0.027734086809160553,0.9523345543733048,-15.866663709035748,17.709706048881056,-2.1801121107033157,-3.0695919025362137,-6.524348540552286,-4.093197901553722,66.0,70.19069780379299,-45.89991419814644,1576.1137056521595,-26259.328741086756,29309.563848683985,-3608.085584796326,-5080.174657245253,-10797.796959056106,-6774.242605142965,66.0,66.0,-6643.404970472775,38.0,0.5757575757575758,-3759.619503743319,0.5659175558999179,-98.93735536166629,8.0,0.12121212121212122,-803.598727552947,0.12096187589415602,-100.44984094411838,20.0,0.30303030303030304,-2080.1867391765095,0.31312056820592615,-104.00933695882547
p75 premium | 13:30 | frozen IV,p75 premium,2022-06-27,13:30,flatten at 15:30,frozen IV,6593,0,1.0,0.18717934572075437,0.6993674854682621,3.875483537454823,11.432502319106193,-415.5252494749707,7.138521346318754,-38.569841482797706,-56.27110233340126,-122.43427215684916,-73.30864604434106,66.0,0.04225785361983184,0.23416818687557617,0.6907856306555463,-25.107265539948024,0.4313305899727476,-2.3305039902289635,-3.4000665670628414,-7.397841132678123,-4.429525389696442,66.0,69.93674854682625,387.5483537454823,1143.2502319106193,-41552.52494749707,713.8521346318754,-3856.9841482797706,-5627.110233340126,-12243.427215684917,-7330.864604434105,66.0,0.3882640883268064,5.252198459143301,13.062411934742,-219.1428850843331,7.148443059554438,-51.180756342252245,-68.91624210011902,-131.23115765901014,-82.01439197118253,66.0,0.02346006548955612,0.3173533775596947,0.7892695942115269,-13.241261786027966,0.4319300892550037,-3.0924927947073146,-4.1641233417447445,-7.929374993752379,-4.955552327854136,66.0,38.8264088326806,525.2198459143301,1306.2411934742,-21914.28850843331,714.8443059554438,-5118.075634225224,-6891.624210011902,-13123.115765901013,-8201.439197118252,66.0,0.31110339714145613,-0.24255255199974873,10.762499022098659,-251.56319776292233,183.02319941700472,-27.910524162732543,-40.039254550134764,-82.4760806948641,-51.442763322115226,66.0,0.018797788130275692,-0.01465574315434366,0.6503020482213527,-15.20019304312481,11.05880346270123,-1.6864364858652754,-2.419290277262342,-4.983448927150855,-3.1083240319788192,66.0,31.110339714145624,-24.255255199974872,1076.249902209866,-25156.319776292232,18302.319941700473,-2791.052416273254,-4003.925455013476,-8247.60806948641,-5144.276332211522,66.0,66.0,-4838.370638926509,16.0,0.24242424242424243,-1161.1267624627817,0.23998301269462097,-72.57042265392386,17.0,0.25757575757575757,-1200.5098417938323,0.24812275275798007,-70.61822598787249,33.0,0.5,-2476.734034669895,0.511894234547399,-75.05254650514834
