book,variant,reference,sample,unit,B,block,seed,ci_pct_lo,ci_pct_hi,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,ci_excludes_zero
1100_exit_crossed,D9_implied_bc,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.08462571300409875,-0.03854213319307857,0.23392050445959137,90.95,False
1100_exit_crossed,D1_leg_vol,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.21584584242448737,-0.3478346570115497,-0.10089464053828409,0.0,True
1100_exit_crossed,D1v_vendor_delta,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.2163029620326075,-0.3482419160300559,-0.10182979968479812,0.0,True
1100_exit_crossed,D2_skew_sticky_delta,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.14802257309260075,-0.3675473378923541,0.05790379494722571,8.5,False
1100_exit_crossed,D3_charm_half,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.06890777425695915,-0.06766567667969743,0.23536291847994736,84.89999999999999,False
1100_exit_crossed,D3_charm_full,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.0902527991183715,-0.21253008601170578,0.45175578882314255,73.95,False
1100_exit_crossed,D4_D9_D1,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.09195600738824843,-0.22380025357949335,0.06063695327444597,12.55,False
1100_exit_crossed,D4_D9_D3,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.12547622434263292,-0.1312788196608709,0.43360063472551374,83.89999999999999,False
1100_exit_crossed,D4_D9_D1_D3,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.009533756348144368,-0.2486995138250334,0.28113636604848485,49.85,False
1100_exit_crossed,D4_D9_D2_D3,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.026071406329510584,-0.3294548475285672,0.3971995944042062,59.599999999999994,False
1100_exit_crossed,D5_lastbar_1.25,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,0.39616015159279644,0.1000937209631004,0.7470282151483012,99.75,True
1100_exit_crossed,D5_lastbar_0.75,D0_book,daily_era,index points per contract,2000,21,0,2.5,97.5,489,-0.4877177422169688,-0.8326408707019929,-0.18020957987162772,0.05,True
1100_exit_crossed,D9_implied_bc,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.17555194627816872,0.06328949647804892,0.30051137157784985,99.95,True
1100_exit_crossed,D1_leg_vol,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,-0.20407189571782786,-0.3797097219385376,-0.07197871646890576,0.1,True
1100_exit_crossed,D1v_vendor_delta,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,-0.20503880882522987,-0.3807846169889821,-0.07432870855862726,0.1,True
1100_exit_crossed,D2_skew_sticky_delta,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,-0.20942733260840532,-0.4022141511050759,-0.0030957554100174336,2.25,True
1100_exit_crossed,D3_charm_half,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.17431582644014873,0.04665535906685083,0.31214708644261113,99.75,True
1100_exit_crossed,D3_charm_full,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.330032957897802,0.05135925883708097,0.6275043623921084,99.35000000000001,True
1100_exit_crossed,D4_D9_D1,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.012514119476081335,-0.1611857087525049,0.1592494647189015,56.3,False
1100_exit_crossed,D4_D9_D3,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.3241297559281841,0.09380761398506211,0.5766977992194091,99.75,True
1100_exit_crossed,D4_D9_D1_D3,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.20680475871293097,-0.05669011801554285,0.45979033143431136,94.0,False
1100_exit_crossed,D4_D9_D2_D3,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.1663031036515764,-0.11916998160779976,0.4837502363190626,87.75,False
1100_exit_crossed,D5_lastbar_1.25,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,0.5954590606190714,0.2627711220192923,0.979782668223754,99.95,True
1100_exit_crossed,D5_lastbar_0.75,D0_book,daily_era,premium units,2000,21,0,2.5,97.5,489,-0.6659133742448329,-1.0087367512002963,-0.35667645311116164,0.0,True
