sample,clock,h_rem,n_sessions,n_fitted,n_no_slope,slope_p10,slope_median,slope_p90,slope_mean,share_slope_negative,dsigma_dS_median_per_point,fit_r2_median,strikes_left_median,strikes_right_median
deck_in_sample,10:00,6.0,866,864,2,-0.15387335186957482,-0.08213194747232411,-0.012853410640983175,-0.08347974843674556,0.9293981481481481,1.9489578014865293e-05,0.9014289979234366,5.0,5.0
deck_in_sample,10:30,5.5,866,865,1,-0.1482541124685667,-0.07387548670449985,-0.00957757665325039,-0.07751636238664339,0.9375722543352601,1.794217873145824e-05,0.9017900907673067,5.0,5.0
deck_in_sample,11:00,5.0,866,865,1,-0.13835789276476929,-0.07310494442364067,-0.014118644642229575,-0.07377319197847204,0.945664739884393,1.717014215218816e-05,0.8958858811853803,5.0,5.0
deck_in_sample,11:30,4.5,866,865,1,-0.1359576764254216,-0.06627408988293929,-0.010705650676346752,-0.07084122087361779,0.9364161849710982,1.635269236658031e-05,0.8816703600625727,5.0,5.0
deck_in_sample,12:00,4.0,866,866,0,-0.1270141392086836,-0.06803026980466476,-0.01037786746736584,-0.06864716610143519,0.9491916859122402,1.6358842937755998e-05,0.8757572945251202,5.0,5.0
deck_in_sample,12:30,3.5,866,866,0,-0.12231413979725703,-0.06263404437433712,-0.010687698879708255,-0.06476489933588944,0.9364896073903002,1.5026469184384633e-05,0.8389539369782861,5.0,5.0
deck_in_sample,13:00,3.0,866,866,0,-0.11719411921125415,-0.060748390919560656,-0.011356567739609328,-0.06257248083723078,0.9387990762124712,1.4341527811209842e-05,0.8011656489904934,5.0,5.0
deck_in_sample,13:30,2.5,866,866,0,-0.11625581881724459,-0.05445903157416483,-0.011835160354714953,-0.05890449383036875,0.9445727482678984,1.3009472757580488e-05,0.7499205665714475,5.0,5.0
deck_in_sample,14:00,2.0,866,865,1,-0.11060015096540875,-0.05121508977553001,-0.006855876688370995,-0.05513011140130042,0.9202312138728324,1.232596705201314e-05,0.6466303620786898,5.0,5.0
deck_in_sample,14:30,1.5,866,864,2,-0.10283214409430312,-0.048305756084231224,-0.001413894733817598,-0.05001273937660158,0.90625,1.122729917724979e-05,0.5844571935538871,5.0,5.0
deck_in_sample,15:00,1.0,866,862,4,-0.08750685911272403,-0.041286355909974135,-0.000696438119296039,-0.04313424614726849,0.9002320185614849,9.987266824554033e-06,0.4428418500138136,5.0,5.0
deck_in_sample,15:30,0.5,866,861,5,-0.0734247427652016,-0.03418001416037722,0.0029166303466606337,-0.0354868179015073,0.8745644599303136,8.425820149512648e-06,0.2389404338656378,5.0,5.0
unseen,10:00,6.0,413,413,0,-0.20159205126390453,-0.12108289601429734,-0.024719412281211814,-0.11782450919720017,0.9346246973365617,1.940001003479858e-05,0.915855081657315,5.0,5.0
