book,variant,clock,h_rem,held,n_days,mean_abs_delta_D0,mean_delta_diff,mean_abs_delta_diff,max_abs_delta_diff
1100_exit_crossed,D9_implied_bc,11:00,5.0,True,865,0.042961780805384965,-0.00023692701274664017,0.0020906778790626074,0.010715938125909541
1100_exit_crossed,D9_implied_bc,11:30,4.5,True,865,0.2054034863545478,0.0006955405427790672,0.010081554753405563,0.030839257294965616
1100_exit_crossed,D9_implied_bc,12:00,4.0,True,865,0.28375934071223075,0.00128834098283181,0.01157671453245667,0.029488410672388055
1100_exit_crossed,D9_implied_bc,12:30,3.5,True,865,0.336414288048152,0.0013192194814749707,0.013482320303596473,0.03020238075805104
1100_exit_crossed,D9_implied_bc,13:00,3.0,True,865,0.3818450832690143,0.001277669969641593,0.012137202722577426,0.027516455558554087
1100_exit_crossed,D9_implied_bc,13:30,2.5,True,865,0.43484698365347985,0.0012560689383359581,0.014560736415615429,0.03273543894730935
1100_exit_crossed,D9_implied_bc,14:00,2.0,True,865,0.4876133797227575,0.0015348455176491928,0.017972558971929856,0.037849231980213394
1100_exit_crossed,D9_implied_bc,14:30,1.5,True,865,0.551079133721572,0.0016344222287227295,0.022615687516577644,0.04469764046949709
1100_exit_crossed,D9_implied_bc,15:00,1.0,True,865,0.6150295695418019,0.0017171726910060567,0.022637154069971344,0.050112843907981985
1100_exit_crossed,D9_implied_bc,15:30,0.5,False,865,0.7106682704447264,0.0007179705577692625,0.019782251830292606,0.05385339125306232
1100_exit_crossed,D0_book,11:00,5.0,True,865,0.042961780805384965,0.0,0.0,0.0
1100_exit_crossed,D0_book,11:30,4.5,True,865,0.2054034863545478,0.0,0.0,0.0
1100_exit_crossed,D0_book,12:00,4.0,True,865,0.28375934071223075,0.0,0.0,0.0
1100_exit_crossed,D0_book,12:30,3.5,True,865,0.336414288048152,0.0,0.0,0.0
1100_exit_crossed,D0_book,13:00,3.0,True,865,0.3818450832690143,0.0,0.0,0.0
1100_exit_crossed,D0_book,13:30,2.5,True,865,0.43484698365347985,0.0,0.0,0.0
1100_exit_crossed,D0_book,14:00,2.0,True,865,0.4876133797227575,0.0,0.0,0.0
1100_exit_crossed,D0_book,14:30,1.5,True,865,0.551079133721572,0.0,0.0,0.0
1100_exit_crossed,D0_book,15:00,1.0,True,865,0.6150295695418019,0.0,0.0,0.0
1100_exit_crossed,D0_book,15:30,0.5,False,865,0.7106682704447264,0.0,0.0,0.0
1100_exit_crossed,D1_leg_vol,11:00,5.0,True,865,0.042961780805384965,-0.0007747198347087232,0.0014807163584042377,0.013152774273513745
1100_exit_crossed,D1_leg_vol,11:30,4.5,True,865,0.2054034863545478,-0.006403031372054228,0.00681449023187591,0.09454856198210748
1100_exit_crossed,D1_leg_vol,12:00,4.0,True,865,0.28375934071223075,-0.010848541739426568,0.011332047184056627,0.11835047523592701
1100_exit_crossed,D1_leg_vol,12:30,3.5,True,865,0.336414288048152,-0.013417612172118102,0.01421180963956196,0.1279438563394797
1100_exit_crossed,D1_leg_vol,13:00,3.0,True,865,0.3818450832690143,-0.016426387767677707,0.01794955125485084,0.12547115718318902
1100_exit_crossed,D1_leg_vol,13:30,2.5,True,865,0.43484698365347985,-0.019111229050961322,0.021438831262264434,0.13282329675864046
1100_exit_crossed,D1_leg_vol,14:00,2.0,True,865,0.4876133797227575,-0.020389613224627297,0.023670914577729078,0.13821535511204996
1100_exit_crossed,D1_leg_vol,14:30,1.5,True,865,0.551079133721572,-0.021177692407002124,0.02692218610864592,0.1313819530407696
1100_exit_crossed,D1_leg_vol,15:00,1.0,True,865,0.6150295695418019,-0.022298334322848116,0.029240200245478343,0.1330984380659096
1100_exit_crossed,D1_leg_vol,15:30,0.5,False,865,0.7106682704447264,-0.020513382273483483,0.031052301368643974,0.13876157864334782
1100_exit_crossed,D1v_vendor_delta,11:00,5.0,True,865,0.042961780805384965,-0.0007747438597708687,0.0014808984260360671,0.013153365039693776
1100_exit_crossed,D1v_vendor_delta,11:30,4.5,True,865,0.2054034863545478,-0.006403070654566318,0.006814456941132647,0.09455798001080384
1100_exit_crossed,D1v_vendor_delta,12:00,4.0,True,865,0.28375934071223075,-0.010848264210363757,0.011331750637820583,0.11835752511292608
1100_exit_crossed,D1v_vendor_delta,12:30,3.5,True,865,0.336414288048152,-0.013417423925893669,0.01421171098282239,0.12794790492808028
1100_exit_crossed,D1v_vendor_delta,13:00,3.0,True,865,0.3818450832690143,-0.01642618647569416,0.017949187212182825,0.12547119751655655
1100_exit_crossed,D1v_vendor_delta,13:30,2.5,True,865,0.43484698365347985,-0.019111051517293445,0.02143869717910505,0.13282322615443554
1100_exit_crossed,D1v_vendor_delta,14:00,2.0,True,865,0.4876133797227575,-0.020389436724767757,0.023670851611457974,0.1381998982690127
1100_exit_crossed,D1v_vendor_delta,14:30,1.5,True,865,0.551079133721572,-0.021194263001379113,0.02690576216192239,0.13139057096369777
1100_exit_crossed,D1v_vendor_delta,15:00,1.0,True,865,0.6150295695418019,-0.02239141472572978,0.029185332609136957,0.13311737969512172
1100_exit_crossed,D1v_vendor_delta,15:30,0.5,False,865,0.7106682704447264,-0.020402397404749445,0.030896711825655194,0.1387526463196116
