book,variant,causal,note,sample,unit,n,mean,sd,Sharpe_ann,t,hac_t,hac_lag,MaxDD,worst,worst_date,mean_cost_reported,mean_charged,Sharpe_ann_charged,mean_turnover,mean_abs_diff_vs_D0,sd_diff_vs_D0,mean_abs_diff_vs_D9,sd_diff_vs_D9,mean_choppy,Sharpe_choppy,n_choppy,mean_trend,Sharpe_trend,n_trend,n_cells,n_fallback_leg_vol_c,n_fallback_leg_vol_p,n_fallback_vendor_delta_c,n_fallback_vendor_delta_p,n_fallback_slope,n_fallback_v9
1100_exit_crossed,D9_implied_bc,True,V9: D0 variance x the expanding lagged per-clock realized-over-implied mean (63-session warm-up),daily_era,index points per contract,489,0.9904498840242058,6.611510469826313,2.3781108034179566,3.3127315586869357,3.6695551084698006,11,-81.33452223379456,-38.68121276539988,2022-10-13,0.47286493563354115,0.5175849483906644,1.2334030981865707,2.2056938705956814,0.40391851080141356,0.5308085418594075,0.0,0.0,2.0634785205457495,4.942550859836184,156,-0.12150391350608909,-0.2975787426190511,168,8650,56,109,70,119,12,0
1100_exit_crossed,D0_book,True,the book: the stamp's package total volatility,daily_era,index points per contract,489,0.9578009017939527,6.62948192404317,2.2934850904138577,3.1948471145550066,3.586259041044655,11,-77.73100012424526,-39.4833387640446,2022-10-13,0.45550910977641246,0.5022917920175403,1.1932152192858827,2.1241286608815755,0.0,0.0,0.40391851080141356,0.5308085418594075,2.505970340813729,6.087637464588898,156,-0.6482519365063139,-1.5655203273282208,168,8650,56,109,70,119,12,0
1100_exit_crossed,D1_leg_vol,True,each leg bisected out of its own midpoint; delta = call delta + put delta at their own volatilities,daily_era,index points per contract,489,0.8699501570387187,6.646981965055212,2.0776392479893704,2.8941717494781267,3.3107919529890024,11,-86.09129153234144,-42.919357154836504,2022-10-13,0.44364634641269085,0.4263038106260278,1.0103530235345504,2.068713453482941,0.4087747097225692,0.6522449656917,0.6787499573798118,0.9828027953624575,2.668504845358036,6.646948156608544,156,-1.1503371972164727,-2.7382641437465405,168,8650,56,109,70,119,12,0
1100_exit_crossed,D1v_vendor_delta,True,"the chain's own per-leg delta column, summed",daily_era,index points per contract,489,0.8697657304669731,6.647035299197457,2.07718212838125,2.8935349774026884,3.3101185430167286,11,-86.09074414366896,-42.91942511633164,2022-10-13,0.4436220979416446,0.4261436325253286,1.0099660015845986,2.0686071284880168,0.40896005194213586,0.6522807479324825,0.6789370811926004,0.9828838769959001,2.6685084784607804,6.646968817501008,156,-1.150864512153205,-2.7395247411599413,168,8650,56,109,70,119,12,0
1100_exit_crossed,D2_skew_sticky_delta,True,"D1 - b (phi(d1c) + phi(d1p)), b the local smile slope d(total vol)/d ln(K/S)",daily_era,index points per contract,489,0.9220386630059365,6.822263214030084,2.145462517321257,2.988650225588718,3.3553485946154504,11,-94.06953167657295,-36.93214982062514,2022-10-13,0.45105040245676553,0.47098826054917103,1.087500603975095,2.1040895733110014,0.6621000455099931,0.9438243022955907,0.7828726500999584,1.1078272081254634,2.5115197095972155,6.127168118908535,156,-0.6951893661440722,-1.5989032283138747,168,8650,56,109,70,119,12,0
1100_exit_crossed,D3_charm_half,True,D0's hourly volatility at a horizon 15 minutes shorter,daily_era,index points per contract,489,0.9879028633044409,6.638384330261838,2.362392864670817,3.290836316610611,3.6553894024525606,11,-82.44218892890811,-39.0420022375986,2022-10-13,0.47425559061013856,0.5136472726943023,1.2193551459879302,2.2115949019892076,0.4285243570969264,0.5798371500591639,0.11182085423193396,0.1586349856086125,2.018878640747367,4.810573432634924,156,-0.11786839273004072,-0.2870082771579407,168,8650,56,109,70,119,12,0
1100_exit_crossed,D3_charm_full,True,D0's hourly volatility at a horizon 30 minutes shorter (control),daily_era,index points per contract,489,1.0111813469710953,6.733964467035826,2.383737889532229,3.3205701445625007,3.6622767631029562,11,-88.36435111727116,-42.69082504696487,2022-09-21,0.4967637802248288,0.5144175667462664,1.204988904675001,2.3164920723318283,0.9440853977408743,1.3106845588577811,0.555156629858562,0.822845287197523,1.4147662422433296,3.299650712079292,156,0.47009080930423003,1.1489863552163897,168,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D1,True,"per-leg volatilities, each variance times V9's per-clock factor",daily_era,index points per contract,489,0.9143824406849009,6.593313419957329,2.2015290830256093,3.0667514988048596,3.4530541710953733,11,-88.64367463236515,-41.64026854329358,2022-10-13,0.4627298831570076,0.45165255752789335,1.0794357917717878,2.1583319535056367,0.44169579098844675,0.630651751480792,0.38058539196413954,0.5931965954772476,2.2159747786171518,5.429282431643603,156,-0.5646756203404271,-1.37265000357816,168,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D3,True,V9's volatility at a horizon 15 minutes shorter,daily_era,index points per contract,489,1.0155234471878303,6.664403788742298,2.4189613147564906,3.369636719668149,3.7023003381635786,11,-85.72791904731857,-40.01302538097718,2022-09-21,0.49074965481193794,0.5247737923758924,1.2414268468266636,2.2890356223445005,0.8165622191947546,1.093686994188686,0.41678808410325846,0.5733550039435863,1.5838824618933791,3.7308792353014453,156,0.37773530329530886,0.9307641982810047,168,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D1_D3,True,per-leg V9 volatilities at a horizon 15 minutes shorter,daily_era,index points per contract,489,0.9522152591941551,6.618332184715874,2.2839513340657134,3.18156649891593,3.5394075910162472,11,-91.99967432324674,-40.881653250199506,2022-10-13,0.48283863404310196,0.469376625151053,1.1182033940969118,2.2520152788839174,0.7148570531663517,1.0375786030896015,0.4441494516877853,0.646606414816083,1.7226853736804935,4.140626155809642,156,0.0007663539790660188,0.0018830207848698885,168,8650,56,109,70,119,12,0
1100_exit_crossed,D4_D9_D2_D3,True,D4_D9_D1_D3 plus the sticky-delta skew term at those volatilities,daily_era,index points per contract,489,0.9969639228199398,6.822990367999092,2.319556496743368,3.2311648380197777,3.516711406381929,11,-101.24480453167357,-38.95888294860238,2022-09-21,0.4896341175302092,0.5073298052897308,1.1721852371649661,2.284459390351589,1.0434110251884035,1.4102475146720634,0.7764849618616122,1.0617617347178943,1.559762141104153,3.672837403927316,156,0.43672280980229816,1.0368912411600926,168,8650,56,109,70,119,12,0
