book,variant,reference,sample,unit,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
1100_exit_crossed,D9_implied_bc,D0_book,daily_era,index points per contract,489,0.032648982230252824,0.5308085418594075,1.3601480214122927,1.383478275697009,11,0.5071574642126789,0.0
1100_exit_crossed,D1_leg_vol,D0_book,daily_era,index points per contract,489,-0.08785074475523409,0.6522449656917,-2.978441959165311,-3.468033000082688,11,0.49284253578732107,0.0
1100_exit_crossed,D1v_vendor_delta,D0_book,daily_era,index points per contract,489,-0.08803517132697962,0.6522807479324825,-2.9845309215951596,-3.4786931895994826,11,0.49284253578732107,0.0
1100_exit_crossed,D2_skew_sticky_delta,D0_book,daily_era,index points per contract,489,-0.035762238788016244,0.9438243022955907,-0.8378918623559632,-0.7249638090076193,11,0.47443762781186094,0.0
1100_exit_crossed,D3_charm_half,D0_book,daily_era,index points per contract,489,0.030101961510488096,0.5798371500591639,1.1480034377801622,1.1870481349676516,11,0.5419222903885481,0.0
1100_exit_crossed,D3_charm_full,D0_book,daily_era,index points per contract,489,0.05338044517714253,1.3106845588577811,0.9006134693375036,0.9365068740168593,11,0.5541922290388548,0.0
1100_exit_crossed,D4_D9_D1,D0_book,daily_era,index points per contract,489,-0.04341846110905189,0.630651751480792,-1.522436718878768,-1.6503882516043056,11,0.45807770961145194,0.0
1100_exit_crossed,D4_D9_D3,D0_book,daily_era,index points per contract,489,0.05772254539387748,1.093686994188686,1.167096739743682,1.1974228303796937,11,0.5296523517382413,0.0
1100_exit_crossed,D4_D9_D1_D3,D0_book,daily_era,index points per contract,489,-0.005585642599797775,1.0375786030896015,-0.11904374094357659,-0.120194762666142,11,0.50920245398773,0.0
1100_exit_crossed,D4_D9_D2_D3,D0_book,daily_era,index points per contract,489,0.03916302102598715,1.4102475146720634,0.6140945913340498,0.528954619489478,11,0.5255623721881391,0.0
1100_exit_crossed,D5_lastbar_1.25,D0_book,daily_era,index points per contract,489,0.1741016621987788,1.4483387857941106,2.658197137575228,2.9239808303346804,11,0.5378323108384458,0.0
1100_exit_crossed,D5_lastbar_0.75,D0_book,daily_era,index points per contract,489,-0.17410166219877884,1.4483387857941106,-2.658197137575229,-2.9239808303346813,11,0.4621676891615542,0.0
1100_exit_crossed,D9_implied_bc,D0_book,daily_era,premium units,489,0.0027396452173292724,0.026128458862380317,2.3186487388885113,2.5409215060428143,11,0.5071574642126789,0.0
1100_exit_crossed,D1_leg_vol,D0_book,daily_era,premium units,489,-0.004671566669895189,0.03588998103525245,-2.8783509943644483,-3.3933945310776172,11,0.49284253578732107,0.0
1100_exit_crossed,D1v_vendor_delta,D0_book,daily_era,premium units,489,-0.0046907403753975035,0.03589917778945803,-2.8894243194605256,-3.414920788350437,11,0.49284253578732107,0.0
