block,sample,family,param,rule,adoptable,n_days,n_exited,frac_exited,mean_hold_fraction,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_last30_exited_without_rule,mean_last30_exited_with_rule,mean_last30_held,mean_saved_vs_hold,hit_rate_exit,Sharpe_hold,Sharpe_exit,beats_hold,beats_exit,beats_both,modal_pick,modal_pick_share,hold_share,n_candidates
walk_forward_selected,whole,sign_model,,"sign_model: cell chosen on an expanding window, 5-day embargo",True,797,9,0.011292346298619825,0.9887076537013801,0.08378106105670634,0.39581248078126907,3.3601343499169376,5.975655231073356,-3.802938419649575,-2.3155274867929365,2023-11-30,0.1074233853978917,0.0,0.03780555773657418,-0.001213062068483093,0.1111111111111111,3.4099816893275476,2.2508623989667926,False,True,False,always hold (cash settlement),0.9874529485570891,0.9874529485570891,5
walk_forward_selected,daily_era,sign_model,,"sign_model: cell chosen on an expanding window, 5-day embargo",True,489,9,0.018404907975460124,0.9815950920245399,0.08265581393823547,0.40448243549571344,3.2439489417064924,4.518852535598821,-3.1176751311555844,-2.3155274867929365,2023-11-30,0.1074233853978917,0.0,0.029913036939575467,-0.0019771175226605832,0.1111111111111111,3.3233348969887193,2.5131321677178398,False,True,False,always hold (cash settlement),0.9795501022494888,0.9795501022494888,5
walk_forward_selected,whole,margin_combined,,"margin_combined: cell chosen on an expanding window, 5-day embargo",True,797,0,0.0,1.0,0.08499412312518942,0.39567364258005816,3.4099816893275476,6.064303625299457,-3.802938419649575,-2.3155274867929365,2023-11-30,,,0.03859170635508342,0.0,,3.4099816893275476,2.2508623989667926,False,True,False,always hold (cash settlement),0.986198243412798,0.986198243412798,6
walk_forward_selected,daily_era,margin_combined,,"margin_combined: cell chosen on an expanding window, 5-day embargo",True,489,0,0.0,1.0,0.08463293146089607,0.40426444456403904,3.3233348969887193,4.629437946085989,-3.1176751311555844,-2.3155274867929365,2023-11-30,,,0.031339607770096624,0.0,,3.3233348969887193,2.5131321677178398,False,True,False,always hold (cash settlement),0.9775051124744376,0.9775051124744376,6
walk_forward_selected,whole,all_adoptable,,"all_adoptable: cell chosen on an expanding window, 5-day embargo",True,797,9,0.011292346298619825,0.9887076537013801,0.08378106105670634,0.39581248078126907,3.3601343499169376,5.975655231073356,-3.802938419649575,-2.3155274867929365,2023-11-30,0.1074233853978917,0.0,0.03780555773657418,-0.001213062068483093,0.1111111111111111,3.4099816893275476,2.2508623989667926,False,True,False,always hold (cash settlement),0.973651191969887,0.973651191969887,10
walk_forward_selected,daily_era,all_adoptable,,"all_adoptable: cell chosen on an expanding window, 5-day embargo",True,489,9,0.018404907975460124,0.9815950920245399,0.08265581393823547,0.40448243549571344,3.2439489417064924,4.518852535598821,-3.1176751311555844,-2.3155274867929365,2023-11-30,0.1074233853978917,0.0,0.029913036939575467,-0.0019771175226605832,0.1111111111111111,3.3233348969887193,2.5131321677178398,False,True,False,always hold (cash settlement),0.9570552147239264,0.9570552147239264,10
fixed_rule_oos,whole,reference,,always hold (cash settlement),False,797,0,0.0,1.0,0.08499412312518942,0.39567364258005816,3.4099816893275476,6.064303625299457,-3.802938419649575,-2.3155274867929365,2023-11-30,,,0.03859170635508342,0.0,,3.4099816893275476,2.2508623989667926,False,True,False,always hold (cash settlement),1.0,,1
fixed_rule_oos,whole,reference,,always exit at 15:30 (the exit book),False,797,797,1.0,0.0,0.046402416770106016,0.32725924533395195,2.2508623989667926,4.002928534433372,-6.070172381929883,-2.2028675866604797,2024-04-04,0.03859170635508342,0.0,,-0.03859170635508342,0.21957340025094102,3.4099816893275476,2.2508623989667926,False,False,False,always exit at 15:30 (the exit book),1.0,,1
fixed_rule_oos,whole,sign_model,0.0,exit if s>0 (block-diagonal ridge),True,797,304,0.38143036386449186,0.6185696361355082,0.07767752691936766,0.3738958552348762,3.297957158012411,5.865079455415184,-4.68068569194271,-2.3155274867929365,2023-11-30,0.01918199728960506,0.0,0.05056037076868467,-0.007316596205821756,0.2532894736842105,3.4099816893275476,2.2508623989667926,False,True,False,exit if s>0 (block-diagonal ridge),1.0,,1
fixed_rule_oos,whole,sign_model,0.0,exit if s>0 (baseline (HAR + calendar OLS)),True,797,248,0.3111668757841907,0.6888331242158093,0.0778964319814906,0.38478356920057444,3.213670284369951,5.715183872399333,-3.632528281701891,-2.3155274867929365,2023-11-30,0.02280991871583859,0.0,0.045720819897037364,-0.007097691143698833,0.25806451612903225,3.4099816893275476,2.2508623989667926,False,True,False,exit if s>0 (baseline (HAR + calendar OLS)),1.0,,1
