entry,sample,policy,days,mean_pts,Sharpe,month_end_days_mean
11:00,deck period,P0 hold,865,1.527212685673201,3.3484567202594455,-0.48074872370668437
11:00,deck period,P5 month-end override,865,1.7286912006839816,3.733847589106778,2.870768881761111
11:00,HOLDOUT,P0 hold,413,0.528452752755267,0.7732409767508919,-5.6402546478790105
11:00,HOLDOUT,P5 month-end override,413,0.9095262919205951,1.314342175324405,3.1032660007476807
11:00,all,P0 hold,1278,1.2044522378679532,2.2277836797939696,-1.8074788184938542
11:00,all,P5 month-end override,1278,1.463968894487363,2.672359883744844,2.9305538552148
13:30,deck period,P0 hold,866,0.7983451428262665,1.6789925284092098,-0.9173789792102014
13:30,deck period,P5 month-end override,866,1.025808986672119,2.110884288481085,2.870768881761111
13:30,HOLDOUT,P0 hold,413,1.1732598810196162,2.0597405264484365,-4.242920019750472
13:30,HOLDOUT,P5 month-end override,413,1.4934326373609397,2.5468549374742526,3.1032660007476807
13:30,all,P0 hold,1279,0.9194083069184115,1.8109646287307026,-1.7725181039205564
13:30,all,P5 month-end override,1279,1.1768086487006435,2.261088969011895,2.9305538552148
