tercile,g_range,g_median,rows,L_buy_days,L_sell_days,gap_sell_minus_buy,gap_ci_lo,gap_ci_hi
low g (far from the money),0.00..0.33,0.07088249407771272,3174,0.5966338538336238,0.9461827326350385,0.3495488788014147,0.1508221323510968,0.5304390288825463
middle,0.33..0.84,0.6277409554418975,3172,0.03206863533819984,0.7968611252345158,0.764792489896316,-0.29478374635894844,1.7899955261956417
high g (near the money),0.84..1.04,0.9889337020445281,3175,0.38223038446254076,0.46571676214879093,0.08348637768625017,-1.041797954477333,1.0992609201768067
