clock,treatment,period,unit,n,mean,sd,Sharpe_ann,t_hac,t_lag,MaxDD,worst,worst_date,max_abs_diff_vs_43
13:30,hold,2020,premium,158,0.01163387774763166,0.5425488274917272,0.3403971669705357,0.23062829769317236,8,-7.046154299129629,-2.9986468935589365,2020-01-08,6.071532165918825e-17
13:30,hold,2021,premium,158,0.07127641476152267,0.7587508194009657,1.4912379372624542,1.3319886733136854,8,-6.7423090299890625,-6.742309029989063,2021-11-22,8.881784197001252e-16
13:30,hold,2022,premium,219,0.09942140245521278,0.39920616092617967,3.9535107166204444,3.353490748900725,9,-4.942653044690789,-1.28635104476869,2022-10-11,4.440892098500626e-16
13:30,hold,2023,premium,248,0.10253283567272577,0.5087918872704938,3.199064975626035,3.403236887939193,9,-3.903232726557123,-3.1539789117651096,2023-12-20,6.938893903907228e-17
13:30,hold,2024H1,premium,83,-0.004919942961340997,0.6238303701076626,-0.12519697178017586,-0.08241128687341144,6,-5.782557703124611,-2.7847417311583476,2024-04-04,4.440892098500626e-16
13:30,hold,2024H2,premium,166,0.0967139219184443,0.6015206783438707,2.5523410408941243,2.0290856543749305,8,-3.960167505951244,-3.2528640748102036,2024-07-12,4.440892098500626e-16
13:30,hold,2025,premium,247,0.08167669206304234,0.5199220826895758,2.4937915388168115,3.0048952313315436,9,-3.7351269789729393,-2.7886236266029156,2025-09-03,4.440892098500626e-16
13:30,hold,deck in-sample,premium,866,0.06916039415148115,0.5572946777876372,1.970029976526192,3.6529268106100927,14,-10.321788114104853,-6.742309029989063,2021-11-22,1.7763568394002505e-15
13:30,hold,unseen,premium,413,0.08772071181121843,0.5535025097728188,2.5158388717403524,3.557951999662863,11,-3.960167505951244,-3.2528640748102036,2024-07-12,4.440892098500626e-16
13:30,hold,all,premium,1279,0.07515367890009061,0.5559242313071531,2.146025662673973,5.098143298930611,16,-10.321788114104853,-6.742309029989063,2021-11-22,1.7763568394002505e-15
13:30,hold,2020,index points per contract,158,-0.2876666425550085,10.180452934178096,-0.44856220147197723,-0.29132475850552275,8,-192.19885736752235,-75.84721307472019,2020-03-13,5.551115123125783e-17
13:30,hold,2021,index points per contract,158,0.4900528088455553,6.355844546143303,1.2239675014840554,1.239613356283979,8,-48.38705194654149,-45.847701886173155,2021-11-22,7.105427357601002e-15
13:30,hold,2022,index points per contract,219,1.5511982149417471,8.12926922995138,3.0291170791456685,2.4974567472684583,9,-121.00023144531106,-31.582420386100345,2022-09-21,0.0
13:30,hold,2023,index points per contract,248,1.1209239743707546,5.78130549240917,3.0778716800443315,3.8496735378498483,9,-36.02716358225311,-26.06907558351268,2023-03-22,4.440892098500626e-16
13:30,hold,2024H1,index points per contract,83,0.5022689722584411,6.6705069111948685,1.1953023746632745,0.671242567163646,6,-44.99955610594735,-22.13869656352861,2024-04-04,0.0
13:30,hold,2024H2,index points per contract,166,1.3787803663642726,8.019312833530638,2.7293435517758726,2.1018746613660677,8,-52.66046490627079,-34.934187056719395,2024-12-18,4.440892098500626e-16
13:30,hold,2025,index points per contract,247,1.0351368018001303,9.682802243020015,1.6970590631249192,2.353107850381494,9,-92.66270041290443,-39.48886167739127,2025-04-16,1.4210854715202004e-14
