sample,n,dSharpe,boot_lo,boot_hi,pct_draws_positive,Sharpe_V0,Sharpe_V9,max_abs_diff_vs_36
whole,865.0,0.13095692447414983,0.05266980309665783,0.21936214098613432,100.0,2.2525467094164875,2.383503633890637,5.273559366969494e-16
daily_era,489.0,0.17555194627816872,0.06328949647805021,0.30051137157784946,99.95,2.5131321677178393,2.688684113996008,5.134781488891349e-16
