book,unit,n,mean,Sharpe_mid,Sharpe_crossed,t_month_end,mean_other_days,t_other_days
15:30 sign(s),premium,866,0.0947363520468904,1.3383216004229939,0.8695877009703311,,,
"15:30 sign(s), long on month-ends",premium,866,0.14074926283514946,1.9969329535870863,1.5352446879988975,,,
"15:30 sign(s), flat on month-ends",premium,866,0.11245287142381727,1.6668565273482001,1.21710560924674,,,
"short straddle sold 11:00, hold",index points per contract,70,-1.807478818493854,,,-1.5382253326865607,1.3789846666306407,5.65428970895516
"short straddle sold 11:00, flatten",index points per contract,70,-0.5977737645090783,,,-0.7527013625297575,0.5342936114308938,2.498976709550628
"short straddle sold 13:30, hold",index points per contract,70,-1.7725181039205564,,,-1.71579837672183,1.0752683968760024,4.6732840044630555
"short straddle sold 13:30, flatten",index points per contract,70,-0.6818598580766347,,,-1.3068495115346082,0.5002106670289503,3.034156567715076
"short straddle sold 14:30, hold",index points per contract,70,-2.276980789740158,,,-2.041881793326348,0.8326927529634339,3.493041070779409
"short straddle sold 14:30, flatten",index points per contract,70,-0.5534261034618022,,,-1.2347842671726508,0.31281204976955596,2.3715472679385248
