,R_mid,R_ask,pts_ask,month_end
2020-01-03,-0.9412147674316763,-0.9454900568181818,-2.60009765625,False
2020-01-06,-0.22422466435698662,-0.2685546875,-0.469970703125,False
2020-01-08,6.83603367783646,6.468719649360768,10.349951207637787,False
2020-01-10,-1.0,-1.0,-2.600000023841858,False
2020-01-13,1.5550063278235937,1.3184316720179865,1.779882788658142,False
2020-01-15,0.6343005952380953,0.5321568341281897,1.4900391101837158,False
2020-01-17,0.9871471366647055,0.8857620806448396,2.170117139816284,False
2020-01-21,-1.0,-1.0,-1.75,False
2020-01-22,-1.0,-1.0,-2.450000047683716,False
2020-01-24,-1.0,-1.0,-4.200000047683716,False
2020-01-27,0.35534408588445965,0.3000239221418337,1.470117211341858,False
2020-01-29,0.5714518050755568,0.4831679967476492,2.150097608566284,False
2020-01-31,-0.9337554739273112,-0.937347044067768,-7.779980421066284,True
2020-02-03,1.191019162968637,1.061043482175362,3.1300781965255737,False
2020-02-05,-1.0,-1.0,-3.0,False
2020-02-07,-1.0,-1.0,-3.200000047683716,False
2020-02-10,0.1297772054156907,0.07183991770035392,0.14008784294128418,False
2020-02-12,-1.0,-1.0,-1.699999988079071,False
2020-02-14,1.2193170476693855,1.06396484375,2.659912109375,False
2020-02-18,-1.0,-1.0,-1.9000000357627869,False
2020-02-19,-1.0,-1.0,-1.7999999523162842,False
2020-02-21,-0.44444444979615216,-0.47619047619047616,-2.5,False
2020-02-24,0.763763427734375,0.679774674009429,5.710107326507568,False
2020-02-26,-0.6874365855602438,-0.7040895509577509,-8.589892387390137,False
2020-02-28,1.3480793348228088,1.206871816538495,35.11997032165527,True
2020-03-02,2.7699645739281746,2.540383385024825,39.62998056411743,False
2020-03-04,0.2096093750000001,0.13685094080869642,1.820117473602295,False
2020-03-06,1.2611034148254476,1.1147373204213213,24.97011661529541,False
2020-03-09,-0.0176185978022666,-0.06447559989722906,-1.9600582122802734,False
2020-03-11,-0.621301733083313,-0.6421420413357246,-20.420116424560547,False
2020-03-13,1.8375150740354242,1.444848879419192,71.52001953125,False
2020-03-16,0.6963083290181136,0.5832210847701149,25.3701171875,False
2020-03-18,0.6407583409737472,0.5651322295250614,28.200098037719727,False
2020-03-20,-0.015986577829696147,-0.2116836376404494,-9.419921875,False
