rule,buy_share,long_on_top20,Sharpe_mid,Sharpe_crossed
a0 sign(s),0.3302540415704388,7,0.9673095454705917,0.49093226316152744
blk2 sign(s),0.3995381062355658,11,1.3383216004229939,0.8695877009703311
blk2_inc sign(s),0.40993071593533487,12,1.2707081191811798,0.8046134630083878
lgbm sign(s),0.3348729792147806,12,1.4593971219265764,0.9818045863151208
xgb sign(s),0.32217090069284066,11,1.4980323951467007,1.0215326073475821
lasso_t sign(s),0.37066974595842955,11,1.4131037944414562,0.9346206653459997
lasso_f sign(s),0.4133949191685912,14,1.509829846463058,1.0444324874859765
enet sign(s),0.35450346420323325,9,1.0224751588133707,0.5449047373133905
average of the eight signs,0.35912240184757505,9,1.5274944044281895,1.0851955940680165
"ridge, only when all eight agree",0.2090069284064665,5,1.5887890857306362,1.1991145079812073
"ridge, only when they disagree",0.1905311778290993,6,0.10946155063981838,-0.15655026689998033
