cut,max |dw| on the cut day
2020-05-26,0.0
2020-12-18,0.0
2021-07-16,0.0
2022-02-04,0.0
2022-07-18,0.0
2022-11-21,0.0
2023-04-03,0.0
2023-08-11,0.0
2023-12-19,0.0
2024-04-30,0.0
