book,Sharpe_mid_866,mean_day_mid_866,t_mid_866,maxDD_mid_866,n_days_mid_866,Sharpe_mid_803,mean_day_mid_803,t_mid_803,maxDD_mid_803,n_days_mid_803,Sharpe_crossed_866,mean_day_crossed_866,t_crossed_866,maxDD_crossed_866,n_days_crossed_866,Sharpe_crossed_803,mean_day_crossed_803,t_crossed_803,maxDD_crossed_803,n_days_crossed_803,crossings_day,trades_day,pct_bars_active,pct_long_of_active,untradeable_bars,sign_placebo_pctile_mid,sign_placebo_pctile_crossed,placebo_pctile_mid,placebo_pctile_crossed,vs_close_mid_n,vs_close_mid_mean_diff,vs_close_mid_t_diff,vs_close_mid_robust_t_diff,vs_close_mid_robust_lag,vs_close_mid_dSharpe,vs_close_mid_pct_draws_positive,vs_close_mid_pctile_lo,vs_close_mid_pctile_hi,vs_close_mid_basic_lo,vs_close_mid_basic_hi,vs_close_crossed_n,vs_close_crossed_mean_diff,vs_close_crossed_t_diff,vs_close_crossed_robust_t_diff,vs_close_crossed_robust_lag,vs_close_crossed_dSharpe,vs_close_crossed_pct_draws_positive,vs_close_crossed_pctile_lo,vs_close_crossed_pctile_hi,vs_close_crossed_basic_lo,vs_close_crossed_basic_hi,agreement with always short %,vs_line2_mid_n,vs_line2_mid_mean_diff,vs_line2_mid_t_diff,vs_line2_mid_robust_t_diff,vs_line2_mid_robust_lag,vs_line2_mid_dSharpe,vs_line2_mid_pct_draws_positive,vs_line2_mid_pctile_lo,vs_line2_mid_pctile_hi,vs_line2_mid_basic_lo,vs_line2_mid_basic_hi,vs_line2_crossed_n,vs_line2_crossed_mean_diff,vs_line2_crossed_t_diff,vs_line2_crossed_robust_t_diff,vs_line2_crossed_robust_lag,vs_line2_crossed_dSharpe,vs_line2_crossed_pct_draws_positive,vs_line2_crossed_pctile_lo,vs_line2_crossed_pctile_hi,vs_line2_crossed_basic_lo,vs_line2_crossed_basic_hi,F_t,beats 15:30 sign(s) crossed (866),beats 15:30 sign(s) crossed (803),positive crossed (866)
oracle 1 sign(RV_bar - slice),9.828872139274338,0.7886793167377362,18.220586869736206,-6.669263121195115,866.0,10.36392536445512,0.8505557762078202,18.50042813906956,-6.669263121195115,803.0,5.912132515946986,0.4708052695683177,10.959805211196615,-9.889692350816802,866.0,6.173115014853026,0.507742669297837,11.019499534238879,-9.889692350816802,803.0,17.153579676674365,11.120092378752886,92.71204390103014,39.02388369678089,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True
oracle 2 sign(RV_bar - IV_rem),6.25937729249552,0.49594356830466446,11.60352134937723,-9.038290037830848,866.0,6.195431792474855,0.49109035375100935,11.059336750946775,-9.038290037830862,803.0,2.036886592642725,0.16511152727218523,3.7759438294807053,-32.33644468317036,866.0,2.2565317845697135,0.18261755900661364,4.028088070484981,-32.336444683170356,803.0,16.573903002309468,11.979214780600461,99.87484355444305,2.438789280894544,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True
oracle 3 sign(RV_rem - IV_rem),10.857396692452715,0.8517795971646036,20.127247237608977,-6.376331323081899,866.0,10.874721460942792,0.8582595546405615,19.412239652996284,-6.376331323081899,803.0,6.542510844186356,0.5163220842886942,12.12838924888993,-10.772925709512677,866.0,6.9038763964064325,0.5455247571087203,12.323966514732884,-10.772925709512677,803.0,16.876443418013857,11.979214780600461,99.87484355444305,29.18835550414498,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True
oracle 4 sign(RV_bar - IV^2 h),10.751622601924025,0.8536373235501619,19.931165125873655,-6.834714976463857,866.0,10.878369572537379,0.8653674455344195,19.41875182131336,-6.834714976463829,803.0,6.224003556072113,0.499676326379467,11.537946151299883,-10.69280616900815,866.0,6.69595612390719,0.5356265106898538,11.952812350190111,-10.69280616900815,803.0,17.83487297921478,11.979214780600461,99.87484355444305,28.58106805475227,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True
B sign(rv_hat - synthetic 30-min implied),1.6782929807136744,0.14139484822157847,3.111189423837564,-19.306831285485615,866.0,1.8637938702690937,0.15748096924595623,3.3270197681286104,-19.30683128548573,803.0,-2.6315137940994355,-0.22267422458270814,-4.878253069618,-195.58997178155403,866.0,-2.148912994154015,-0.18125842650200896,-3.835980000570884,-147.19713725125536,803.0,18.232101616628174,11.979214780600461,99.87484355444305,49.29631771737035,0.0,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
sign(s) on the realized-profile slice (the deck),1.7205907343516698,0.13805390326596778,3.1896002408301123,-22.75523162323171,866.0,1.7875554432921132,0.14888503141759415,3.1909281339143494,-22.75523162323171,803.0,-2.2432174183129217,-0.17952381754031166,-4.158436213119117,-156.60320371140264,866.0,-2.3312760192977766,-0.1936085006100995,-4.161512453116954,-156.60320371140264,803.0,17.03348729792148,11.120092378752886,92.71204390103014,56.438213914849435,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
C sign(s) with hurdle k=1.0,1.4590799309818852,0.10355004845045578,2.704816204304284,-17.706360734173813,866.0,1.5156701603894611,0.11167414938741559,2.7055913564359675,-17.706360734173813,803.0,-0.8399093706055365,-0.05942503086991707,-1.5570089256399158,-59.95688539676109,866.0,-0.8722915308569692,-0.06408726865921317,-1.5571095135715283,-59.95688539676109,803.0,9.311778290993072,5.862586605080831,48.87840569943198,62.93086468386843,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"C always short, theta hurdle k=1.0",1.9375368331458134,0.16304304097990469,3.5917710273778454,-16.756432361463972,866.0,1.9059481416971702,0.16043070607663001,3.4022684834449777,-16.756432361463983,803.0,-1.7567333221873458,-0.15145449119352863,-3.256600721864513,-131.8246459822628,866.0,-1.5606026542864546,-0.13428204528076218,-2.785799419039496,-106.31591928244774,803.0,16.266743648960738,11.889145496535797,99.12390488110138,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"C always short, trailing-decay hurdle k=1.0",1.9931388643043702,0.06906287030939809,3.6948450753970583,-10.661251103664455,866.0,2.071038057397655,0.07448125241337328,3.696967066703489,-10.661251103664455,803.0,-2.093935953588349,-0.07466022731475715,-3.881700911498197,-64.70401528551284,866.0,-2.1759145458549085,-0.08051775448889127,-3.884179910288395,-64.67109692140949,803.0,7.681293302540416,4.2702078521939955,35.60219505150669,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
C sign(s) with hurdle k=1.5,1.1869034437430108,0.07484839938422048,2.2002603143340136,-17.79926506164481,866.0,1.2327988936491092,0.08072068974686791,2.200643727144294,-17.79926506164481,803.0,-0.7475621120819044,-0.04710207332805661,-1.3858172342363428,-54.1522744653855,866.0,-0.7763661425482545,-0.05079750373860153,-1.3858750931458248,-54.1522744653855,803.0,6.916859122401847,4.375288683602771,36.478290170405316,64.79282132488783,0.0,,,92.0,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
