book,Sharpe_mid_866,mean_day_mid_866,t_mid_866,maxDD_mid_866,n_days_mid_866,Sharpe_mid_803,mean_day_mid_803,t_mid_803,maxDD_mid_803,n_days_mid_803,Sharpe_crossed_866,mean_day_crossed_866,t_crossed_866,maxDD_crossed_866,n_days_crossed_866,Sharpe_crossed_803,mean_day_crossed_803,t_crossed_803,maxDD_crossed_803,n_days_crossed_803,crossings_day,trades_day,pct_bars_active,pct_long_of_active,untradeable_bars,sign_placebo_pctile_mid,sign_placebo_pctile_crossed,placebo_pctile_mid,placebo_pctile_crossed,vs_close_mid_n,vs_close_mid_mean_diff,vs_close_mid_t_diff,vs_close_mid_robust_t_diff,vs_close_mid_robust_lag,vs_close_mid_dSharpe,vs_close_mid_pct_draws_positive,vs_close_mid_pctile_lo,vs_close_mid_pctile_hi,vs_close_mid_basic_lo,vs_close_mid_basic_hi,vs_close_crossed_n,vs_close_crossed_mean_diff,vs_close_crossed_t_diff,vs_close_crossed_robust_t_diff,vs_close_crossed_robust_lag,vs_close_crossed_dSharpe,vs_close_crossed_pct_draws_positive,vs_close_crossed_pctile_lo,vs_close_crossed_pctile_hi,vs_close_crossed_basic_lo,vs_close_crossed_basic_hi,agreement with always short %,vs_line2_mid_n,vs_line2_mid_mean_diff,vs_line2_mid_t_diff,vs_line2_mid_robust_t_diff,vs_line2_mid_robust_lag,vs_line2_mid_dSharpe,vs_line2_mid_pct_draws_positive,vs_line2_mid_pctile_lo,vs_line2_mid_pctile_hi,vs_line2_mid_basic_lo,vs_line2_mid_basic_hi,vs_line2_crossed_n,vs_line2_crossed_mean_diff,vs_line2_crossed_t_diff,vs_line2_crossed_robust_t_diff,vs_line2_crossed_robust_lag,vs_line2_crossed_dSharpe,vs_line2_crossed_pct_draws_positive,vs_line2_crossed_pctile_lo,vs_line2_crossed_pctile_hi,vs_line2_crossed_basic_lo,vs_line2_crossed_basic_hi,F_t,beats 15:30 sign(s) crossed (866),beats 15:30 sign(s) crossed (803),positive crossed (866)
"C always short, theta hurdle k=1.5",1.935130551054431,0.16254158479390174,3.5873103047987076,-16.95543940779917,866.0,1.9108955438777087,0.16063604315653476,3.41109998842957,-16.955439407799172,803.0,-1.7191693166444029,-0.14783467541547385,-3.186965242180577,-128.51679776937232,866.0,-1.5340735939087893,-0.13173455110314616,-2.7384429437799076,-104.31986826659883,803.0,16.16050808314088,11.809468822170901,98.45961297776066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"C always short, trailing-decay hurdle k=1.5",1.951923757016635,0.05881974272746022,3.618441248789022,-11.786929850910951,866.0,2.028160655569159,0.06343449215688735,3.620427506312723,-11.786929850910951,803.0,-0.9668394334952735,-0.030016640676158786,-1.7923095994600842,-27.675321314237816,866.0,-1.0041511971056296,-0.03237161995710274,-1.7924894679893388,-27.675321314237816,803.0,4.295612009237876,2.302540415704388,19.197073264657746,0.0,0.0,,,100.0,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
C sign(s) with hurdle k=2.0,1.2426998406249794,0.07470384443520411,2.303694674044918,-15.605483201033671,866.0,1.2907801207586365,0.08056479362501467,2.3041448126725452,-15.605483201033671,803.0,-0.30033830231310055,-0.018042082997338536,-0.5567617576118925,-31.907066979981817,866.0,-0.31188774043871936,-0.01945758888629536,-0.5567443344616044,-31.907066979981817,803.0,5.24364896073903,3.3394919168591226,27.842495426976026,64.62655601659752,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"C always short, theta hurdle k=2.0",1.9110492893702644,0.15996428070736865,3.5426688938380395,-16.037065374735803,866.0,1.9145666605783689,0.16055742793437128,3.417653222684193,-16.0370653747358,803.0,-1.6465915557568385,-0.1408379852737086,-3.052421890886108,-122.19948211534481,866.0,-1.4729859434845078,-0.12608462372199045,-2.629396646444049,-100.05007617929978,803.0,15.867205542725173,11.51270207852194,95.98536632328873,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"C always short, trailing-decay hurdle k=2.0",1.8070448084467237,0.048546071068107675,3.3498672526469777,-10.909694441655553,866.0,1.8774635955566479,0.0523547914632394,3.351421311122211,-10.909694441655553,803.0,-0.310303179072642,-0.008536337649550018,-0.5752344674071432,-17.09396729950589,866.0,-0.3222361197601314,-0.00920606277024946,-0.5752170116817844,-17.09396729950589,803.0,2.5427251732101617,1.325635103926097,11.052276884567247,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
C sign(s) unfiltered,1.7205907343516698,0.13805390326596778,3.1896002408301123,-22.75523162323171,866.0,1.7875554432921132,0.14888503141759415,3.1909281339143494,-22.75523162323171,803.0,-2.2432174183129217,-0.17952381754031166,-4.158436213119117,-156.60320371140264,866.0,-2.3312760192977766,-0.1936085006100995,-4.161512453116954,-156.60320371140264,803.0,17.03348729792148,11.120092378752886,92.71204390103014,56.438213914849435,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
C always short unfiltered,1.9020388792233835,0.1603462841343286,3.525965557128919,-16.815732212518803,866.0,1.8959086730073396,0.15966174946714293,3.384347236184007,-16.815732212518792,803.0,-1.9180993718242016,-0.16634557730839308,-3.5557382102326924,-144.5995245353336,866.0,-1.662000734157938,-0.1433217627122648,-2.9668030276273925,-113.42861749506827,803.0,16.406466512702078,11.994226327944572,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
"D pre-registered {11:30,12:30,15:00} + sign(s) close",2.7426838714591315,0.19458829758381957,5.084338164951958,-11.118109021965665,866.0,2.7098936629047627,0.19922205593438552,4.837374953223174,-11.118109021965665,803.0,0.7491250213208406,0.05328416416525208,1.3887145273493302,-19.192455112901797,866.0,0.8901922896015511,0.06552285444524779,1.5890637866044823,-19.192455112901797,803.0,6.6108545034642034,3.9260969976905313,32.733224222585925,9.0,0.0,,,100.0,100.0,866.0,0.08849845530779944,6.233080127331089,5.813538149416622,14.0,1.1681195731508986,100.0,0.6864226311855942,1.658571648566754,0.6776674977350432,1.649816515116203,866.0,-0.024471337970456163,-1.654045207434629,-1.5106749349530686,14.0,-0.405330890064138,4.1000000000000005,-0.8676621755316892,0.043280180547343367,-0.8539419606756194,0.05700039540341317,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True
D settlement leg only: sign(s) at 15:30,1.5745642983082329,0.10608984227602013,2.918899052992312,-12.608079715389422,866.0,1.6357229446623538,0.11441320474599431,2.9198950908060812,-12.608079715389422,803.0,1.1544559113849786,0.07775550213570825,2.140109660865268,-15.391111385766871,866.0,1.1990824696932747,0.08385587154361562,2.140457238283554,-15.391111385766871,803.0,0.9272517321016166,0.9272517321016166,7.730817367863676,38.10709838107098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True
D the deck's hybrid (all twelve bars),3.171428442632503,0.25196108703196146,5.879137160533252,-10.903205757793998,866.0,3.0767616388392653,0.2524200253320095,5.492263365347415,-10.903205757793998,803.0,-0.9688888283402216,-0.0787640904617952,-1.7961087308633263,-91.99430417148699,866.0,-0.691801068072081,-0.0578281290732269,-1.2349197332406672,-72.77666996723806,803.0,16.615473441108545,11.921478060046189,99.39347260999327,2.96396745447501,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
D settlement leg only (second half),1.1118427126259591,0.056217177747324064,2.0611140773655547,-12.608079715389444,866.0,1.1548046306797457,0.06062774088316641,2.061417786529826,-12.608079715389444,803.0,0.862175517060804,0.043553262405773174,1.5982855085472627,-14.569068767362392,866.0,0.8954214240185688,0.04697026804906547,1.5983982059590796,-14.569068767362392,803.0,0.5,0.5,4.168672378935208,46.88221709006928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True
F short when the trailing implied drift is negative,-1.949798861152465,-0.08409761667963249,-3.61450215495062,-84.75948807889883,866.0,-2.0259501461749037,-0.09069556169932967,-3.616481571856323,-84.75948807889883,803.0,-8.388113596497348,-0.36080599483973297,-15.549734526252486,-312.45799153120896,866.0,-8.807669165110648,-0.38911331448469333,-15.722387486567463,-312.20420202819525,803.0,15.468822170900692,10.178983833718245,84.8656975064985,64.01588201928531,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.98411798071469,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
F fade the last 30-min implied change,0.9073082338582169,0.07578775977936715,1.6819517293935518,-35.240270694878106,866.0,0.8563710029093269,0.07179116421967531,1.5286901094486878,-35.24027069487812,803.0,-3.168915287184847,-0.2681994309924893,-5.874478318043258,-233.36616330938898,866.0,-2.9511537844719533,-0.2501374447218883,-5.268043390607434,-199.91136833524428,803.0,17.317551963048498,10.97690531177829,91.51824395879464,44.58236903008626,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.41763096991373,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
F follow the last 30-min implied change,-0.9073082338582169,-0.07578775977936715,-1.6819517293935518,-106.12458567519084,866.0,-0.8563710029093269,-0.07179116421967531,-1.5286901094486878,-94.8560727088813,803.0,-5.023702706423043,-0.41977495055122355,-9.312849966208626,-375.89660383995243,866.0,-4.706716106593374,-0.393719773161239,-8.401861267707998,-325.4622958298039,803.0,17.317551963048498,10.97690531177829,91.51824395879464,55.41763096991373,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.58236903008626,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
F always short the package (the comparator),1.9020388792233835,0.1603462841343286,3.525965557128919,-16.815732212518803,866.0,1.8959086730073396,0.15966174946714293,3.384347236184007,-16.815732212518792,803.0,-1.9180993718242016,-0.16634557730839308,-3.5557382102326924,-144.5995245353336,866.0,-1.662000734157938,-0.1433217627122648,-2.9668030276273925,-113.42861749506827,803.0,16.406466512702078,11.994226327944572,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
F peeking: trade the next implied change (NOT F_t),10.164165833513138,0.4537895996022707,18.842148305899507,-2.9646927078307215,866.0,10.316017792776334,0.4687728591104199,18.414909326844178,-2.9646927078307215,803.0,2.184184209427067,0.0985035920767336,4.049001509374622,-50.227529709214764,866.0,2.9969129719580696,0.13567127365860063,5.349727166784803,-27.990936761444207,803.0,18.376443418013857,10.97690531177829,91.51824395879464,55.41763096991373,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.58236903008626,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True
"G line 1 only: 15:00 always short, 30-min hold",2.5050325353712974,0.05983996973164023,4.643784380902331,-5.946745072364557,866.0,2.4451088331241455,0.05963564325109424,4.364713047293902,-5.946745072364557,803.0,0.17829410636416654,0.004373295029984843,0.3305184162880084,-9.617119212440114,866.0,0.3427896077268341,0.008539720441656719,0.6119066166107567,-8.003611409302234,803.0,2.0,1.0,8.337344757870415,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True
"G line 2 only: 15:30 sign(s), cash-settled",1.5745642983082329,0.10608984227602013,2.918899052992312,-12.608079715389422,866.0,1.6357229446623538,0.11441320474599431,2.9198950908060812,-12.608079715389422,803.0,1.1544559113849786,0.07775550213570825,2.140109660865268,-15.391111385766871,866.0,1.1990824696932747,0.08385587154361562,2.140457238283554,-15.391111385766871,803.0,0.9272517321016166,0.9272517321016166,7.730817367863676,38.10709838107098,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True
G both lines,2.341104347093643,0.16592981200766038,4.33989724587933,-10.570389876069456,866.0,2.3698368701017705,0.17404884799708856,4.230346627832972,-10.570389876069427,803.0,1.2706195673029634,0.09043872827764073,2.355451762559965,-14.34500076465171,866.0,1.3754514798759034,0.10135748531397301,2.4552898990853422,-14.345000764651719,803.0,2.613163972286374,1.9272517321016167,16.06816212573409,18.334331935290592,0.0,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,866.0,0.05983996973164023,4.643784380902331,4.6342235364954165,14.0,0.7665400487854102,99.9,0.3580585203060542,1.1840243677990108,0.34905572977180954,1.175021577264766,866.0,0.012683226141932447,0.9456199775093956,0.9299700467412444,14.0,0.11616365591798478,72.85000000000001,-0.29916355285304763,0.517633857763298,-0.2853065459273284,0.5314908646890172,True,True,True,True
