frame,definition,hhmm,n,pct_short,pct_long,mean_gap,t_mean_gap,mean_ratio,median_ratio
866 all days,1 sign(RV_bar - slice),10:00,801,55.0561797752809,44.9438202247191,5.324592495725643e-07,1.83332545481521,1.0765549348121783,0.9432073777421566
866 all days,1 sign(RV_bar - slice),10:30,802,56.35910224438903,43.64089775561097,9.946852029051251e-08,0.46679602186151176,1.0655704206422465,0.9292004105938816
866 all days,1 sign(RV_bar - slice),11:00,802,56.48379052369077,43.51620947630923,3.325702606050063e-07,1.2132944745267114,1.0697549451473838,0.9084986494967764
866 all days,1 sign(RV_bar - slice),11:30,801,63.04619225967541,36.95380774032459,-2.9653077567180446e-07,-1.6463955766784044,0.9680889403003933,0.855549110277002
866 all days,1 sign(RV_bar - slice),12:00,803,55.79078455790785,44.20921544209215,1.2645843334715147e-07,0.7396541931362005,1.0538703423442206,0.9092885735980589
866 all days,1 sign(RV_bar - slice),12:30,803,60.02490660024906,39.97509339975094,-2.4672982300728653e-07,-1.6302763851173887,1.0048321647404972,0.8403510565892096
866 all days,1 sign(RV_bar - slice),13:00,803,49.56413449564134,50.43586550435866,1.7362423428023386e-07,1.0109854758092132,1.179752180513042,1.0114665958963633
866 all days,1 sign(RV_bar - slice),13:30,803,66.12702366127023,33.872976338729764,-5.876108420534868e-07,-3.039718442679258,0.9416026163832081,0.8147708972467477
866 all days,1 sign(RV_bar - slice),14:00,803,66.12702366127023,33.872976338729764,4.632189402050073e-07,2.2425791626300127,1.011525205951504,0.8089142484237143
866 all days,1 sign(RV_bar - slice),14:30,803,71.48194271481943,28.518057285180575,5.719688685717353e-07,1.6695007317073,0.9138227278746099,0.7605804152333371
866 all days,1 sign(RV_bar - slice),15:00,803,58.779576587795766,41.220423412204234,4.622080923069025e-07,2.9862846400019434,1.010427063208798,0.9017535018705815
866 all days,1 sign(RV_bar - slice),15:30,803,72.85180572851806,27.14819427148194,-1.767732099541621e-06,-11.721599374290175,0.8563478515608158,0.756083709053906
866 all days,2 sign(RV_bar - IV_rem),10:00,864,100.0,0.0,-8.113262319562937e-05,-12.715271696049586,0.1308132232166461,0.11582247496593118
866 all days,2 sign(RV_bar - IV_rem),10:30,865,100.0,0.0,-7.035911236689202e-05,-13.469509642722976,0.10882639466881998,0.09473393911528814
866 all days,2 sign(RV_bar - IV_rem),11:00,865,99.88439306358381,0.11560693641619046,-6.183302867447068e-05,-13.006533216137905,0.1064761015874207,0.09166357260833416
866 all days,2 sign(RV_bar - IV_rem),11:30,864,100.0,0.0,-5.592751670835293e-05,-12.823101042167059,0.09822882556954118,0.08552776312097846
866 all days,2 sign(RV_bar - IV_rem),12:00,866,100.0,0.0,-4.987089385799143e-05,-12.316070242541839,0.09822328210760138,0.08505291342087828
866 all days,2 sign(RV_bar - IV_rem),12:30,866,100.0,0.0,-4.6246185093004384e-05,-11.778244621005458,0.0943308244089994,0.07892888506357615
866 all days,2 sign(RV_bar - IV_rem),13:00,866,99.88452655889145,0.11547344110854896,-4.096428134338142e-05,-11.682317566383844,0.12185670200540397,0.10325989736217024
866 all days,2 sign(RV_bar - IV_rem),13:30,866,99.88452655889145,0.11547344110854896,-3.623167069194499e-05,-12.126019191346256,0.12237535656858031,0.10453030298424779
866 all days,2 sign(RV_bar - IV_rem),14:00,864,99.65277777777779,0.347222222222221,-2.737757671828157e-05,-13.84491962906062,0.1859335833069581,0.15037424087777312
866 all days,2 sign(RV_bar - IV_rem),14:30,865,99.30635838150289,0.6936416184971095,-2.095206579404383e-05,-12.304235541981074,0.22383500248817176,0.18738255592073363
866 all days,2 sign(RV_bar - IV_rem),15:00,862,99.18793503480279,0.8120649651972123,-1.2368561829099692e-05,-13.857642578325319,0.34050370200932023,0.30184844727667226
866 all days,2 sign(RV_bar - IV_rem),15:30,861,72.82229965156795,27.177700348432055,-1.9098894637717378e-06,-8.226763196738663,0.8551863547795646,0.7564534318441161
866 all days,3 sign(RV_rem - IV_rem),10:00,864,68.98148148148148,31.018518518518523,-1.0067953827104204e-05,-5.352584700649749,0.9265502047255731,0.8348361027389861
866 all days,3 sign(RV_rem - IV_rem),10:30,865,68.90173410404624,31.09826589595376,-6.8981158358249584e-06,-4.382290551643836,0.9222768814810669,0.8328783203888619
866 all days,3 sign(RV_rem - IV_rem),11:00,865,69.36416184971098,30.63583815028902,-5.07221601453581e-06,-3.2985984755904605,0.9242889463587931,0.8382792595578128
866 all days,3 sign(RV_rem - IV_rem),11:30,864,70.7175925925926,29.28240740740741,-5.0078678472760615e-06,-3.4553786080659488,0.9172975483717193,0.8337823851588311
866 all days,3 sign(RV_rem - IV_rem),12:00,866,68.12933025404158,31.870669745958423,-3.84476820478558e-06,-2.7061309349071716,0.929619178993434,0.8372502625286797
866 all days,3 sign(RV_rem - IV_rem),12:30,866,69.28406466512702,30.71593533487298,-4.6376384404727324e-06,-3.3288220511493387,0.926031941910285,0.8276160353543204
866 all days,3 sign(RV_rem - IV_rem),13:00,866,69.39953810623557,30.60046189376443,-4.024773899937876e-06,-3.5519577134853906,0.9286840702771433,0.8170901100343797
866 all days,3 sign(RV_rem - IV_rem),13:30,866,72.17090069284065,27.829099307159353,-4.077292324995388e-06,-3.936835938354889,0.9097597718020957,0.7950262749336163
866 all days,3 sign(RV_rem - IV_rem),14:00,864,71.29629629629629,28.70370370370371,-3.7332489204253356e-06,-5.073980704589815,0.8989536964721441,0.8009986072957713
866 all days,3 sign(RV_rem - IV_rem),14:30,865,73.52601156069363,26.47398843930636,-3.5674499909781623e-06,-5.313804027310145,0.8706532181782138,0.7838115069277556
866 all days,3 sign(RV_rem - IV_rem),15:00,862,75.1740139211137,24.82598607888631,-3.222459226994702e-06,-8.85247951862513,0.8594667925381396,0.7762555553191786
866 all days,3 sign(RV_rem - IV_rem),15:30,861,72.82229965156795,27.177700348432055,-1.9098894637717378e-06,-8.226763196738663,0.8551863547795646,0.7564534318441161
866 all days,4 sign(RV_bar - IV^2 h),10:00,864,24.189814814814813,75.81018518518519,3.1763512119898414e-06,10.557419326928335,1.5697586785997533,1.389869699591174
866 all days,4 sign(RV_bar - IV^2 h),10:30,865,46.82080924855491,53.179190751445084,5.328135718651583e-07,2.0243030395025,1.1970903413570197,1.0420733302681695
866 all days,4 sign(RV_bar - IV^2 h),11:00,865,56.99421965317919,43.00578034682081,-1.5313738342811458e-07,-0.464869011171022,1.064761015874207,0.9166357260833415
866 all days,4 sign(RV_bar - IV^2 h),11:30,864,68.86574074074075,31.134259259259256,-1.057121593218642e-06,-4.955093223737275,0.8840594301258706,0.7697498680888062
866 all days,4 sign(RV_bar - IV^2 h),12:00,866,76.09699769053118,23.903002309468825,-1.8455948448648157e-06,-6.24792818420757,0.785786256860811,0.6804233073670263
866 all days,4 sign(RV_bar - IV^2 h),12:30,866,85.33487297921478,14.665127020785217,-2.8201015841370217e-06,-8.902810034213257,0.6603157708629958,0.5525021954450331
866 all days,4 sign(RV_bar - IV^2 h),13:00,866,80.60046189376443,19.39953810623557,-2.9365142163234803e-06,-7.500271341130679,0.7311402120324239,0.6195593841730214
866 all days,4 sign(RV_bar - IV^2 h),13:30,866,88.56812933025404,11.431870669745958,-3.418230877193838e-06,-9.252500755958213,0.6118767828429016,0.522651514921239
866 all days,4 sign(RV_bar - IV^2 h),14:00,864,83.10185185185185,16.898148148148152,-2.134378561255064e-06,-6.825189463215036,0.7437343332278324,0.6014969635110925
866 all days,4 sign(RV_bar - IV^2 h),14:30,865,86.70520231213872,13.294797687861271,-2.4174724873151945e-06,-5.662174910012594,0.6715050074645154,0.5621476677622009
866 all days,4 sign(RV_bar - IV^2 h),15:00,862,86.89095127610209,13.10904872389791,-3.0827374083693393e-06,-9.51448533221639,0.6810074040186405,0.6036968945533445
866 all days,4 sign(RV_bar - IV^2 h),15:30,861,72.82229965156795,27.177700348432055,-1.9098894637717378e-06,-8.226763196738663,0.8551863547795646,0.7564534318441161
803 signal days,1 sign(RV_bar - slice),10:00,801,55.0561797752809,44.9438202247191,5.324592495725643e-07,1.83332545481521,1.0765549348121783,0.9432073777421566
803 signal days,1 sign(RV_bar - slice),10:30,802,56.35910224438903,43.64089775561097,9.946852029051251e-08,0.46679602186151176,1.0655704206422465,0.9292004105938816
803 signal days,1 sign(RV_bar - slice),11:00,802,56.48379052369077,43.51620947630923,3.325702606050063e-07,1.2132944745267114,1.0697549451473838,0.9084986494967764
803 signal days,1 sign(RV_bar - slice),11:30,801,63.04619225967541,36.95380774032459,-2.9653077567180446e-07,-1.6463955766784044,0.9680889403003933,0.855549110277002
803 signal days,1 sign(RV_bar - slice),12:00,803,55.79078455790785,44.20921544209215,1.2645843334715147e-07,0.7396541931362005,1.0538703423442206,0.9092885735980589
803 signal days,1 sign(RV_bar - slice),12:30,803,60.02490660024906,39.97509339975094,-2.4672982300728653e-07,-1.6302763851173887,1.0048321647404972,0.8403510565892096
803 signal days,1 sign(RV_bar - slice),13:00,803,49.56413449564134,50.43586550435866,1.7362423428023386e-07,1.0109854758092132,1.179752180513042,1.0114665958963633
803 signal days,1 sign(RV_bar - slice),13:30,803,66.12702366127023,33.872976338729764,-5.876108420534868e-07,-3.039718442679258,0.9416026163832081,0.8147708972467477
803 signal days,1 sign(RV_bar - slice),14:00,803,66.12702366127023,33.872976338729764,4.632189402050073e-07,2.2425791626300127,1.011525205951504,0.8089142484237143
803 signal days,1 sign(RV_bar - slice),14:30,803,71.48194271481943,28.518057285180575,5.719688685717353e-07,1.6695007317073,0.9138227278746099,0.7605804152333371
803 signal days,1 sign(RV_bar - slice),15:00,803,58.779576587795766,41.220423412204234,4.622080923069025e-07,2.9862846400019434,1.010427063208798,0.9017535018705815
803 signal days,1 sign(RV_bar - slice),15:30,803,72.85180572851806,27.14819427148194,-1.767732099541621e-06,-11.721599374290175,0.8563478515608158,0.756083709053906
803 signal days,2 sign(RV_bar - IV_rem),10:00,802,100.0,0.0,-5.9129434787799205e-05,-28.597620281153997,0.13276022904601958,0.11790472162872975
803 signal days,2 sign(RV_bar - IV_rem),10:30,802,100.0,0.0,-5.22484178974076e-05,-27.594145638814577,0.11041248157269734,0.09585545214837754
803 signal days,2 sign(RV_bar - IV_rem),11:00,802,99.87531172069825,0.12468827930174342,-4.592624228778597e-05,-26.146684348678594,0.10764760012261718,0.09356688218229697
803 signal days,2 sign(RV_bar - IV_rem),11:30,801,100.0,0.0,-4.154858457080164e-05,-24.81006786691856,0.09840609959955578,0.08587818207965509
803 signal days,2 sign(RV_bar - IV_rem),12:00,803,100.0,0.0,-3.6810043378541625e-05,-23.496601517507383,0.09917118724112244,0.08622953764024838
803 signal days,2 sign(RV_bar - IV_rem),12:30,803,100.0,0.0,-3.380609964216528e-05,-21.884550006285686,0.09515031437816181,0.0794507999808042
803 signal days,2 sign(RV_bar - IV_rem),13:00,803,99.87546699875467,0.12453300124533051,-3.0002293572477802e-05,-19.766899457152483,0.12340809879887905,0.1047843182834952
803 signal days,2 sign(RV_bar - IV_rem),13:30,803,99.87546699875467,0.12453300124533051,-2.70449946105493e-05,-18.23894103178344,0.12191695652942762,0.10557099016044119
803 signal days,2 sign(RV_bar - IV_rem),14:00,803,99.62640099626401,0.37359900373599153,-2.1739350983867668e-05,-17.425302964438607,0.18859942666383736,0.152140803145963
803 signal days,2 sign(RV_bar - IV_rem),14:30,803,99.25280199252802,0.7471980074719831,-1.52378142225012e-05,-23.213826709935052,0.2286669910315872,0.1893177029436914
803 signal days,2 sign(RV_bar - IV_rem),15:00,803,99.12826899128268,0.8717310087173136,-9.353305005286552e-06,-24.684970520377934,0.3452872361015471,0.3109781733920132
803 signal days,2 sign(RV_bar - IV_rem),15:30,803,72.85180572851806,27.14819427148194,-1.767732099541621e-06,-11.721599374290175,0.8563478515608158,0.756083709053906
803 signal days,3 sign(RV_rem - IV_rem),10:00,802,67.95511221945138,32.04488778054863,-5.582365797813959e-06,-5.054454027688853,0.9304607587763886,0.8458941844045786
803 signal days,3 sign(RV_rem - IV_rem),10:30,802,68.3291770573566,31.670822942643394,-4.846750987871102e-06,-4.991694939938574,0.9262168190712861,0.8442578702472083
803 signal days,3 sign(RV_rem - IV_rem),11:00,802,68.95261845386533,31.047381546134666,-3.994996959133328e-06,-4.810173507037426,0.9265070168224575,0.8416920700867265
803 signal days,3 sign(RV_rem - IV_rem),11:30,801,70.4119850187266,29.588014981273403,-4.03492521268548e-06,-5.639510256068614,0.9191288852207589,0.8350424536143268
803 signal days,3 sign(RV_rem - IV_rem),12:00,803,68.36861768368617,31.63138231631383,-3.0667482928776914e-06,-4.430653153682094,0.9315947334167495,0.8384660841323976
803 signal days,3 sign(RV_rem - IV_rem),12:30,803,69.36488169364881,30.635118306351185,-3.3178923660976143e-06,-5.318538985984646,0.9288153445427264,0.8237857666151069
803 signal days,3 sign(RV_rem - IV_rem),13:00,803,69.7384806973848,30.26151930261519,-3.1525241773911346e-06,-5.3223943976474315,0.929028772641211,0.8127507291461987
803 signal days,3 sign(RV_rem - IV_rem),13:30,803,72.47820672478207,27.52179327521793,-3.548519083099236e-06,-6.619065258997149,0.909801271360077,0.7950011153405152
803 signal days,3 sign(RV_rem - IV_rem),14:00,803,71.3574097135741,28.642590286425907,-3.778764022221021e-06,-7.33053732835205,0.902237668411076,0.8010812890212514
803 signal days,3 sign(RV_rem - IV_rem),14:30,803,73.47447073474471,26.525529265255287,-2.99314987528747e-06,-8.247936561308245,0.8740263603124432,0.7904205393712281
803 signal days,3 sign(RV_rem - IV_rem),15:00,803,75.34246575342466,24.65753424657534,-2.510015256294171e-06,-10.34684068750386,0.8620293646167652,0.7848644325943165
803 signal days,3 sign(RV_rem - IV_rem),15:30,803,72.85180572851806,27.14819427148194,-1.767732099541621e-06,-11.721599374290175,0.8563478515608158,0.756083709053906
803 signal days,4 sign(RV_bar - IV^2 h),10:00,802,23.44139650872818,76.55860349127181,3.194160023850927e-06,10.960485225418596,1.5931227485522348,1.4148566595447571
803 signal days,4 sign(RV_bar - IV^2 h),10:30,802,45.6359102244389,54.3640897755611,8.368729915527185e-07,4.069351025441838,1.2145372972996709,1.0544099736321528
803 signal days,4 sign(RV_bar - IV^2 h),11:00,802,55.48628428927681,44.51371571072319,3.30755194016867e-07,1.2236733191703466,1.0764760012261718,0.9356688218229696
803 signal days,4 sign(RV_bar - IV^2 h),11:30,801,68.66416978776529,31.335830212234704,-7.440822764908287e-07,-4.0070025774703755,0.8856548963960018,0.7729036387168958
803 signal days,4 sign(RV_bar - IV^2 h),12:00,803,75.21793275217932,24.78206724782067,-1.1581861915925355e-06,-6.016738674405911,0.7933694979289795,0.689836301121987
