hhmm,n,mean_var,p10_var,p50_var,p90_var,mean_prem,p10_prem,p50_prem,p90_prem
10:00,801,5.324592495725643e-07,-3.991390320427393e-06,-1.9604762926857974e-07,5.882887697839763e-06,0.004628622744302088,-0.03182335788568872,-0.0034308068749078578,0.049450716511676755
10:30,802,9.946852029051251e-08,-3.3463359413024783e-06,-2.0196105134913638e-07,3.8564070443017984e-06,0.003302388830569904,-0.027242916940196628,-0.0037462523853103837,0.043627690327219255
11:00,802,3.325702606050063e-07,-2.694597233028953e-06,-1.9438761622899352e-07,3.8749107353753335e-06,0.0034190906889416126,-0.0271469502290601,-0.0046329635932906895,0.041492776167949816
11:30,801,-2.9653077567180446e-07,-2.514636148932098e-06,-3.396651510418015e-07,2.7005349894219033e-06,-0.0016071805202701888,-0.028956884938139985,-0.007377682923211767,0.03237008638459296
12:00,803,1.2645843334715147e-07,-1.9003527687618367e-06,-1.4904368181042644e-07,2.6789615798605196e-06,0.002590857483179788,-0.026709381323460762,-0.004251795951929592,0.035458029994465796
12:30,803,-2.4672982300728653e-07,-2.0160590365493366e-06,-2.1929830194317165e-07,1.773149115744425e-06,0.0002399022334518958,-0.0270116716216094,-0.007494826279689593,0.03321023612215228
13:00,803,1.7362423428023386e-07,-1.6399397371881616e-06,1.7022007621460878e-08,3.114245272923427e-06,0.009748384283800414,-0.028634512791165904,0.0006124573470702367,0.053727536053128036
13:30,803,-5.876108420534868e-07,-2.4986044065889486e-06,-2.914746229280367e-07,1.8185140430856234e-06,-0.0040008680400006,-0.04186863099962764,-0.01197032281467704,0.04085098799677632
14:00,803,4.632189402050073e-07,-2.333680429175586e-06,-3.6970320992306763e-07,2.8625877393227217e-06,0.0006683962547521599,-0.0529536544290485,-0.018141936517820912,0.06020077957038739
14:30,803,5.719688685717353e-07,-2.6074034535078716e-06,-5.026415898417501e-07,2.677246731999732e-06,-0.010606294872586327,-0.07347646640670293,-0.02987970453698146,0.06390670033102122
15:00,803,4.622080923069025e-07,-1.9749161102829396e-06,-2.0888361807596816e-07,2.683120410032853e-06,0.0020027703907397154,-0.08041244328350373,-0.017530594876427198,0.103991979209403
15:30,803,-1.767732099541621e-06,-5.930100832761273e-06,-1.1123303867032985e-06,1.366314655858641e-06,-0.07182607421959204,-0.2674894337848902,-0.121958145473047,0.16431130810385647
