book,Sharpe_mid_866,mean_day_mid_866,t_mid_866,maxDD_mid_866,n_days_mid_866,Sharpe_mid_803,mean_day_mid_803,t_mid_803,maxDD_mid_803,n_days_mid_803,Sharpe_crossed_866,mean_day_crossed_866,t_crossed_866,maxDD_crossed_866,n_days_crossed_866,Sharpe_crossed_803,mean_day_crossed_803,t_crossed_803,maxDD_crossed_803,n_days_crossed_803,crossings_day,trades_day,pct_bars_active,pct_long_of_active,untradeable_bars,placebo_pctile_mid,placebo_pctile_crossed
C sign(s) with hurdle k=1.0,1.4590799309818852,0.10355004845045578,2.704816204304284,-17.706360734173813,866.0,1.5156701603894611,0.11167414938741559,2.7055913564359675,-17.706360734173813,803.0,-0.8399093706055365,-0.05942503086991707,-1.5570089256399158,-59.95688539676109,866.0,-0.8722915308569692,-0.06408726865921317,-1.5571095135715283,-59.95688539676109,803.0,9.311778290993072,5.862586605080831,48.87840569943198,62.93086468386843,0.0,,
"C always short, theta hurdle k=1.0",1.9375368331458134,0.16304304097990469,3.5917710273778454,-16.756432361463972,866.0,1.9059481416971702,0.16043070607663001,3.4022684834449777,-16.756432361463983,803.0,-1.7567333221873458,-0.15145449119352863,-3.256600721864513,-131.8246459822628,866.0,-1.5606026542864546,-0.13428204528076218,-2.785799419039496,-106.31591928244774,803.0,16.266743648960738,11.889145496535797,99.12390488110138,0.0,0.0,,
"C always short, trailing-decay hurdle k=1.0",1.9931388643043702,0.06906287030939809,3.6948450753970583,-10.661251103664455,866.0,2.071038057397655,0.07448125241337328,3.696967066703489,-10.661251103664455,803.0,-2.093935953588349,-0.07466022731475715,-3.881700911498197,-64.70401528551284,866.0,-2.1759145458549085,-0.08051775448889127,-3.884179910288395,-64.67109692140949,803.0,7.681293302540416,4.2702078521939955,35.60219505150669,0.0,0.0,,
C sign(s) with hurdle k=1.5,1.1869034437430108,0.07484839938422048,2.2002603143340136,-17.79926506164481,866.0,1.2327988936491092,0.08072068974686791,2.200643727144294,-17.79926506164481,803.0,-0.7475621120819044,-0.04710207332805661,-1.3858172342363428,-54.1522744653855,866.0,-0.7763661425482545,-0.05079750373860153,-1.3858750931458248,-54.1522744653855,803.0,6.916859122401847,4.375288683602771,36.478290170405316,64.79282132488783,0.0,92.0,99.5
"C always short, theta hurdle k=1.5",1.935130551054431,0.16254158479390174,3.5873103047987076,-16.95543940779917,866.0,1.9108955438777087,0.16063604315653476,3.41109998842957,-16.955439407799172,803.0,-1.7191693166444029,-0.14783467541547385,-3.186965242180577,-128.51679776937232,866.0,-1.5340735939087893,-0.13173455110314616,-2.7384429437799076,-104.31986826659883,803.0,16.16050808314088,11.809468822170901,98.45961297776066,0.0,0.0,,
"C always short, trailing-decay hurdle k=1.5",1.951923757016635,0.05881974272746022,3.618441248789022,-11.786929850910951,866.0,2.028160655569159,0.06343449215688735,3.620427506312723,-11.786929850910951,803.0,-0.9668394334952735,-0.030016640676158786,-1.7923095994600842,-27.675321314237816,866.0,-1.0041511971056296,-0.03237161995710274,-1.7924894679893388,-27.675321314237816,803.0,4.295612009237876,2.302540415704388,19.197073264657746,0.0,0.0,100.0,79.5
C sign(s) with hurdle k=2.0,1.2426998406249794,0.07470384443520411,2.303694674044918,-15.605483201033671,866.0,1.2907801207586365,0.08056479362501467,2.3041448126725452,-15.605483201033671,803.0,-0.30033830231310055,-0.018042082997338536,-0.5567617576118925,-31.907066979981817,866.0,-0.31188774043871936,-0.01945758888629536,-0.5567443344616044,-31.907066979981817,803.0,5.24364896073903,3.3394919168591226,27.842495426976026,64.62655601659752,0.0,,
"C always short, theta hurdle k=2.0",1.9110492893702644,0.15996428070736865,3.5426688938380395,-16.037065374735803,866.0,1.9145666605783689,0.16055742793437128,3.417653222684193,-16.0370653747358,803.0,-1.6465915557568385,-0.1408379852737086,-3.052421890886108,-122.19948211534481,866.0,-1.4729859434845078,-0.12608462372199045,-2.629396646444049,-100.05007617929978,803.0,15.867205542725173,11.51270207852194,95.98536632328873,0.0,0.0,,
"C always short, trailing-decay hurdle k=2.0",1.8070448084467237,0.048546071068107675,3.3498672526469777,-10.909694441655553,866.0,1.8774635955566479,0.0523547914632394,3.351421311122211,-10.909694441655553,803.0,-0.310303179072642,-0.008536337649550018,-0.5752344674071432,-17.09396729950589,866.0,-0.3222361197601314,-0.00920606277024946,-0.5752170116817844,-17.09396729950589,803.0,2.5427251732101617,1.325635103926097,11.052276884567247,0.0,0.0,,
C sign(s) unfiltered,1.7205907343516698,0.13805390326596778,3.1896002408301123,-22.75523162323171,866.0,1.7875554432921132,0.14888503141759415,3.1909281339143494,-22.75523162323171,803.0,-2.2432174183129217,-0.17952381754031166,-4.158436213119117,-156.60320371140264,866.0,-2.3312760192977766,-0.1936085006100995,-4.161512453116954,-156.60320371140264,803.0,17.03348729792148,11.120092378752886,92.71204390103014,56.438213914849435,0.0,,
C always short unfiltered,1.9020388792233835,0.1603462841343286,3.525965557128919,-16.815732212518803,866.0,1.8959086730073396,0.15966174946714293,3.384347236184007,-16.815732212518792,803.0,-1.9180993718242016,-0.16634557730839308,-3.5557382102326924,-144.5995245353336,866.0,-1.662000734157938,-0.1433217627122648,-2.9668030276273925,-113.42861749506827,803.0,16.406466512702078,11.994226327944572,100.0,0.0,0.0,,
