hhmm,n,Sharpe mid,Sharpe crossed,mean/bar mid,mean/bar crossed
10:00,864,3.9994741486530043,0.36266481629778,0.03530625535310394,0.003197799905782448
10:30,865,4.250752974158948,1.9223714657266309,0.03941899721917072,0.017474070539472676
11:00,865,4.325074400400894,1.5171304166913224,0.03331175525722479,0.011569172369250503
11:30,865,4.195645914763372,1.0779940439960582,0.028715464892053504,0.0071503681796667275
12:00,866,4.27632121379628,1.0835746451936532,0.02837501466088113,0.007135471947001347
12:30,866,4.4334579844687045,1.2490843120263653,0.03071431433703808,0.008519072765798254
13:00,866,3.872433198967312,1.56605072756752,0.038889418969296076,0.01553086204459776
13:30,866,3.969829138379542,0.8576753474363703,0.0379197820815523,0.008251377620341293
14:00,866,4.409946005646939,2.184010167815846,0.06273683422326846,0.03092585464296731
14:30,866,3.524852625308648,1.7801614428958739,0.06442690249001821,0.032378180605883246
15:00,866,4.512625763346419,2.876061057670221,0.10313849453205841,0.06535314174971928
15:30,866,4.3809306489029165,4.039665300268848,0.2859247648561061,0.263369076425204
