book,Sharpe_mid_866,mean_day_mid_866,t_mid_866,maxDD_mid_866,n_days_mid_866,Sharpe_mid_803,mean_day_mid_803,t_mid_803,maxDD_mid_803,n_days_mid_803,Sharpe_crossed_866,mean_day_crossed_866,t_crossed_866,maxDD_crossed_866,n_days_crossed_866,Sharpe_crossed_803,mean_day_crossed_803,t_crossed_803,maxDD_crossed_803,n_days_crossed_803,crossings_day,trades_day,pct_bars_active,pct_long_of_active,untradeable_bars,vs_line2_mid_n,vs_line2_mid_mean_diff,vs_line2_mid_t_diff,vs_line2_mid_robust_t_diff,vs_line2_mid_robust_lag,vs_line2_mid_dSharpe,vs_line2_mid_pct_draws_positive,vs_line2_mid_pctile_lo,vs_line2_mid_pctile_hi,vs_line2_mid_basic_lo,vs_line2_mid_basic_hi,vs_line2_crossed_n,vs_line2_crossed_mean_diff,vs_line2_crossed_t_diff,vs_line2_crossed_robust_t_diff,vs_line2_crossed_robust_lag,vs_line2_crossed_dSharpe,vs_line2_crossed_pct_draws_positive,vs_line2_crossed_pctile_lo,vs_line2_crossed_pctile_hi,vs_line2_crossed_basic_lo,vs_line2_crossed_basic_hi,placebo_pctile_mid,placebo_pctile_crossed
"G line 1 only: 15:00 always short, 30-min hold",2.5050325353712974,0.05983996973164023,4.643784380902331,-5.946745072364557,866.0,2.4451088331241455,0.05963564325109424,4.364713047293902,-5.946745072364557,803.0,0.17829410636416654,0.004373295029984843,0.3305184162880084,-9.617119212440114,866.0,0.3427896077268341,0.008539720441656719,0.6119066166107567,-8.003611409302234,803.0,2.0,1.0,8.337344757870415,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
"G line 2 only: 15:30 sign(s), cash-settled",1.5745642983082329,0.10608984227602013,2.918899052992312,-12.608079715389422,866.0,1.6357229446623538,0.11441320474599431,2.9198950908060812,-12.608079715389422,803.0,1.1544559113849786,0.07775550213570825,2.140109660865268,-15.391111385766871,866.0,1.1990824696932747,0.08385587154361562,2.140457238283554,-15.391111385766871,803.0,0.9272517321016166,0.9272517321016166,7.730817367863676,38.10709838107098,0.0,,,,,,,,,,,,,,,,,,,,,,,,
G both lines,2.341104347093643,0.16592981200766038,4.33989724587933,-10.570389876069456,866.0,2.3698368701017705,0.17404884799708856,4.230346627832972,-10.570389876069427,803.0,1.2706195673029634,0.09043872827764073,2.355451762559965,-14.34500076465171,866.0,1.3754514798759034,0.10135748531397301,2.4552898990853422,-14.345000764651719,803.0,2.613163972286374,1.9272517321016167,16.06816212573409,18.334331935290592,0.0,866.0,0.05983996973164023,4.643784380902331,4.6342235364954165,14.0,0.7665400487854102,99.9,0.3580585203060542,1.1840243677990108,0.34905572977180954,1.175021577264766,866.0,0.012683226141932447,0.9456199775093956,0.9299700467412444,14.0,0.11616365591798478,72.85000000000001,-0.29916355285304763,0.517633857763298,-0.2853065459273284,0.5314908646890172,100.0,100.0
