pair,corr level,corr log,median ratio,kind,implied share (synthetic / IV^2 h),realized share w,ratio
synthetic vs IV^2 h w (the realized-profile slice),0.9908513923208828,0.992499980675947,1.0668208743060679,collinearity,,,
synthetic vs IV^2 h (the whole remainder),0.8356474859785545,0.7986010002661514,0.12245544692043946,collinearity,,,
10:00,,,,share by clock,0.1370247318548405,0.12669885272025544,1.0814993894016078
10:30,,,,share by clock,0.12292896826770669,0.10537560713293422,1.1665789798262176
11:00,,,,share by clock,0.10926951096927691,0.1012644149337749,1.079051422365272
11:30,,,,share by clock,0.12125888893572305,0.10202361006798827,1.1885375243526126
12:00,,,,share by clock,0.10559782839968097,0.0954112288940486,1.1067652059795214
12:30,,,,share by clock,0.11273750434983462,0.09459255448242224,1.1918221784652638
13:00,,,,share by clock,0.11107126990202248,0.10420007555532086,1.0659423163570898
13:30,,,,share by clock,0.11016832267247145,0.1284747393653887,0.8575096024063309
14:00,,,,share by clock,0.1876810978080438,0.19263049134289964,0.9743062819372377
14:30,,,,share by clock,0.22465963388159524,0.2537574889389217,0.8853320342229183
15:00,,,,share by clock,0.3688755771601833,0.34661227600042116,1.0642311386563097
15:30,,,,share by clock,1.0,1.0,1.0
