bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days,qlike_pct_vs_incumbent_16_deck,d_ci_deck,qlike_pct_mean_13_bars_deck
live_feasible (incumbent),ridge,bar1600,0.0,,0.0,,866,40.184757505773675,1.9024666283565088,1.439631199377035,1.3383216004229939,,,
free_feasible,ridge,bar1600,2.0603957299120124,"[-0.0017, +0.0060]",1.663681830127353,3/13,866,39.4919168591224,1.6031314486668549,1.1333363110916361,1.3383216004229939,3.426800817353337,"[+0.0009, +0.0069]",1.9296730781780598
free_feasible_vol,ridge,bar1600,-0.47485666595502574,"[-0.0017, +0.0001]",-0.17165371151215414,7/13,866,39.838337182448036,1.798342548840101,1.331320067146255,1.3383216004229939,-0.6959751775090783,"[-0.0021, +0.0000]",-0.3381279069494147
free_vix_only,ridge,bar1600,-0.43079401907161197,"[-0.0022, +0.0011]",-0.008474277015274128,8/13,866,40.184757505773675,1.8278870075384133,1.3612316475864659,1.3383216004229939,-0.5868306199331652,"[-0.0029, +0.0016]",-0.06644135995581639
live_feasible (incumbent),enet,bar1600,0.0,,0.0,,866,37.75981524249423,1.4107677128902967,0.9427859527964674,1.3383216004229939,,,
free_feasible,enet,bar1600,2.371611486100078,"[+0.0005, +0.0048]",1.2311975150580197,2/13,866,37.41339491916859,1.6671276064440546,1.2003181397030342,1.3383216004229939,3.0725738601203423,"[+0.0012, +0.0054]",1.5706077242798506
free_feasible_vol,enet,bar1600,0.23294127613298077,"[-0.0003, +0.0009]",-0.39177433091550906,8/13,866,38.68360277136259,1.4697412272795243,1.0033751883981916,1.3383216004229939,0.26477717858683913,"[-0.0004, +0.0010]",-0.1816258743138117
free_vix_only,enet,bar1600,0.11140634284318995,"[-0.0009, +0.0011]",0.17883434588567346,6/13,866,38.4526558891455,1.8138617416336609,1.3490276824123086,1.3383216004229939,-0.026832814170607566,"[-0.0013, +0.0012]",0.4536780871035936
live_feasible (incumbent),lasso,bar1600,0.0,,0.0,,866,38.91454965357968,1.8262315571390573,1.3631530115787844,1.3383216004229939,,,
free_feasible,lasso,bar1600,1.8198954634638165,"[-0.0006, +0.0045]",1.933567994928546,1/13,866,38.91454965357968,1.5222747636734202,1.0560589208043434,1.3383216004229939,2.8480393564529694,"[+0.0009, +0.0053]",2.266744441329637
free_feasible_vol,lasso,bar1600,-0.18224635837780223,"[-0.0003, -0.0001]",-0.2525362089509034,6/13,866,38.799076212471135,1.852765242506432,1.389712595086798,1.3383216004229939,-0.26452021995629904,"[-0.0004, -0.0001]",-0.14460558774003374
free_vix_only,lasso,bar1600,-0.6315305544656091,"[-0.0035, +0.0015]",0.7625515376990203,7/13,866,37.99076212471132,1.9118510088393235,1.445977153060977,1.3383216004229939,0.23404469813521622,"[-0.0008, +0.0013]",1.2508524553781015
