construction,fill,n,Sharpe_real,short_share_pct,pctile_p50,median_p50,p95_p50,pctile_rate,median_rate,p95_rate
10:00 hold+flat,mid,864.0,-0.1943829526506595,60.06944444444444,14.799999999999999,-0.053671169633149204,0.18994864802937883,25.1,-0.10241453552189239,0.12860682315596741
10:00 hold+flat,crossed,864.0,-0.7819776303507915,60.06944444444444,22.35,-0.6838592249389825,-0.4529063542207389,22.15,-0.6801045226524878,-0.4597336387017113
10:00 hold+flip,mid,864.0,-0.0018605258505674646,60.06944444444444,67.5,-0.08912428853983866,0.23406467774227674,74.05000000000001,-0.12320583690554976,0.20770132121519397
10:00 hold+flip,crossed,864.0,-0.641210189545039,60.06944444444444,76.44999999999999,-0.781183249065438,-0.4572372854520891,72.65,-0.7530481135917118,-0.43036640873781845
11:00 hold+flat,mid,865.0,-0.1288247691738209,60.0,34.150000000000006,-0.07267510597424129,0.19807887531790372,40.1,-0.09469416276715033,0.15205733792677753
11:00 hold+flat,crossed,865.0,-0.5590167715339819,60.0,43.15,-0.5344263260125159,-0.27555622559232057,36.1,-0.508313358086421,-0.266237261326531
11:00 hold+flip,mid,865.0,0.09312357868166667,60.0,81.69999999999999,-0.09834976257178116,0.26913973967287663,84.85000000000001,-0.12529757204954745,0.22313494431504172
11:00 hold+flip,crossed,865.0,-0.3976534415763748,60.0,86.85000000000001,-0.6360297027932096,-0.2722603798137309,83.65,-0.5971836141519369,-0.25168948426613785
12:00 hold+flat,mid,866.0,-0.00801228116128388,60.046189376443415,20.549999999999997,0.1299025569996084,0.4098539669918788,22.7,0.11397485405593885,0.38626486125045084
12:00 hold+flat,crossed,866.0,-0.43961289646029533,60.046189376443415,30.349999999999998,-0.35658272047504014,-0.08087600841376123,22.650000000000002,-0.319187836598009,-0.05096189270829
12:00 hold+flip,mid,866.0,0.1969860505943195,60.046189376443415,73.2,0.056648781695988276,0.4334286348892767,72.89999999999999,0.05888881842767882,0.4303375412733852
12:00 hold+flip,crossed,866.0,-0.3022531209514158,60.046189376443415,81.85,-0.511675772674375,-0.13790160122611117,73.55000000000001,-0.4428066874813623,-0.07374546811344068
13:00 hold+flat,mid,866.0,-0.22545180900345757,60.046189376443415,67.4,-0.30151058840929124,-0.015468346040004027,69.85,-0.31715253944756655,-0.04271815628200344
13:00 hold+flat,crossed,866.0,-0.6620329855323129,60.046189376443415,77.05,-0.7883599704237667,-0.507235616699238,69.35,-0.7473900962163207,-0.48687153009973716
13:00 hold+flip,mid,866.0,0.004612088474206073,60.046189376443415,93.10000000000001,-0.3646305323942107,0.05431949817810606,93.7,-0.3635261611809498,0.033074822917765506
13:00 hold+flip,crossed,866.0,-0.49693426273219377,60.046189376443415,96.1,-0.932250717934803,-0.5167774937825442,93.65,-0.862769386353001,-0.4675906379335727
14:00 hold+flat,mid,866.0,0.5272097807770234,60.046189376443415,86.65,0.2806369770961537,0.6614137483066111,92.30000000000001,0.21770214684735278,0.5703325045470755
14:00 hold+flat,crossed,866.0,-0.12062341549987485,60.046189376443415,91.9,-0.4258567026964587,-0.062173092927008726,92.7,-0.4136147439761383,-0.06628766133487679
14:00 hold+flip,mid,866.0,0.7918361163014048,60.046189376443415,96.3,0.1931705002941856,0.7244632235652227,97.89999999999999,0.1611853000179453,0.6802519730763993
14:00 hold+flip,crossed,866.0,0.07560294454055716,60.046189376443415,98.05,-0.5968197065395044,-0.07584835552096092,98.1,-0.5450434589367088,-0.03916489808636253
15:00 hold+flat,mid,866.0,1.816199406569687,60.046189376443415,96.45,1.0894181404262648,1.7321125590639141,99.1,0.9879619147568983,1.559913148106048
15:00 hold+flat,crossed,866.0,1.0024551442438978,60.046189376443415,97.95,0.2716318613554882,0.8480034981380251,98.7,0.28062422438845447,0.8005469952946546
15:00 hold+flip,mid,866.0,1.9417892901641478,60.046189376443415,99.25,0.789192510189842,1.5625008382463843,99.55000000000001,0.7834274873431362,1.5115775992948073
15:00 hold+flip,crossed,866.0,1.1244620313140923,60.046189376443415,99.5,-0.055881018441513414,0.6924904428060299,99.5,0.022189328224319547,0.7334463329785675
