construction,fill,n_common,dSharpe,pct_draws_positive,pctile_lo,pctile_hi,basic_lo,basic_hi
14:00 hold+flat,mid,866.0,-0.8111118196459705,13.100000000000001,-2.046527456694561,0.5874821965327165,-2.2097058358246575,0.42430381740262013
14:00 hold+flat,crossed,866.0,-0.9902110963925428,7.049999999999999,-2.2333949957452126,0.3333211917980797,-2.3137433845831654,0.25297280296012703
14:00 hold+flip,mid,866.0,-0.546485484121589,18.0,-1.5635267245680569,0.5863965757379705,-1.6793675439811486,0.4705557563248788
14:00 hold+flip,crossed,866.0,-0.7939847363521108,7.3999999999999995,-1.7782859999893703,0.2510058367236342,-1.8389753094278558,0.1903165272851488
14:00 (a) hold uncond,mid,866.0,-1.3081388841622459,5.1,-2.6860560970807503,0.20521946403993496,-2.8214972323644267,0.06977832875625856
14:00 (a) hold uncond,crossed,866.0,-1.2315349989041473,5.75,-2.62323985608018,0.2581734001967292,-2.721243398005024,0.16016985827188535
14:00 (b) close uncond,mid,866.0,-0.6389341934492476,25.15,-2.1713532607692514,1.161847430261074,-2.439715817159569,0.8934848738707561
14:00 (b) close uncond,crossed,866.0,-1.4166274181788236,3.6999999999999997,-2.8463914805848836,0.1308833466765479,-2.964138183034195,0.01313664422723626
15:00 hold+flat,mid,866.0,0.4778778061466932,80.30000000000001,-0.718456265298437,1.7235555087101564,-0.76779989641677,1.6742118775918233
15:00 hold+flat,crossed,866.0,0.13286746335122993,62.849999999999994,-1.0402466357959024,1.3460373264797787,-1.080302399777319,1.3059815624983622
15:00 hold+flip,mid,866.0,0.6034676897411541,94.0,-0.17438893195634464,1.383849310204535,-0.17691393072222694,1.3813243114386529
15:00 hold+flip,crossed,866.0,0.2548743504214243,76.64999999999999,-0.47655579758067224,0.9987447640831297,-0.4889960632402811,0.9863044984235209
15:00 (a) hold uncond,mid,866.0,-0.5893154808794784,25.8,-2.1478223467800897,1.0952545879827114,-2.273885549741668,0.9691913850211329
15:00 (a) hold uncond,crossed,866.0,-0.5214252732208273,28.249999999999996,-2.0767650470280983,1.1363464325513801,-2.1791969789930348,1.0339145005864436
15:00 (b) close uncond,mid,866.0,1.1667109349483036,91.0,-0.5298152428591616,3.1020526071489205,-0.7686307372523133,2.863237112755769
15:00 (b) close uncond,crossed,866.0,-0.7084701223207627,21.3,-2.2269996183479996,0.9547099486025586,-2.371650193244084,0.8100593737064743
(d) close always short,mid,866.0,-1.1345424723144257,5.8999999999999995,-2.410550783387041,0.3343770013632966,-2.603461945992148,0.14146583875818974
(d) close always short,crossed,866.0,-1.1445333653145868,5.6000000000000005,-2.394858106707762,0.2970548851231782,-2.5861216157523517,0.10579137607858824
