construction,fill,n_common,dSharpe,pct_draws_positive,pctile_lo,pctile_hi,basic_lo,basic_hi
10:00 hold+flat,mid,864.0,-1.5564972733960736,1.6500000000000001,-2.9651795416970326,-0.12205661508724411,-2.990937931704903,-0.14781500509511458
10:00 hold+flat,crossed,864.0,-1.675209027936891,1.05,-3.0850226918003543,-0.28781833983866745,-3.0625997160351144,-0.2653953640734277
10:00 hold+flip,mid,864.0,-1.3639748465959813,1.8499999999999999,-2.642288043381522,-0.08621981798980928,-2.641729875202153,-0.08566164981044055
10:00 hold+flip,crossed,864.0,-1.5344415871311385,0.95,-2.795529606396131,-0.2919546171405681,-2.776928557121709,-0.2733535678661463
10:00 (a) hold uncond,mid,864.0,-1.630853325049677,1.7999999999999998,-3.1753175531997493,-0.09872408997708677,-3.162982560122267,-0.08638909689960483
10:00 (a) hold uncond,crossed,864.0,-1.5579352544460283,2.1,-3.121815434610021,-0.030190327888720433,-3.0856801810033363,0.0059449257179644555
10:00 (b) close uncond,mid,864.0,-1.1693588737598626,6.8500000000000005,-2.713237901854543,0.3812356838742218,-2.719953431393947,0.3745201543348178
10:00 (b) close uncond,crossed,864.0,-1.6109910503835478,1.7999999999999998,-3.0886188997612822,-0.11020390300108282,-3.111778197766013,-0.13336320100581345
11:00 hold+flat,mid,865.0,-1.4730804261910158,2.35,-2.8904881912815337,-0.01695885542175071,-2.929201996960281,-0.055672661100497844
11:00 hold+flat,crossed,865.0,-1.4348942173848145,2.5,-2.849088213181917,-0.001726475595855922,-2.8680619591737733,-0.020700221587711898
11:00 hold+flip,mid,865.0,-1.2511320783355282,3.0,-2.504612825079547,0.021270867567681904,-2.5235350242387384,0.002348668408490795
11:00 hold+flip,crossed,865.0,-1.2735308874272075,2.4,-2.5278229424838576,-0.009511354452183467,-2.5375504204022317,-0.019238832370557457
11:00 (a) hold uncond,mid,865.0,-1.5233250644239218,2.65,-2.9853654509340277,0.039298623239755866,-3.0859487520875994,-0.061284677913815866
11:00 (a) hold uncond,crossed,865.0,-1.2910452868163125,5.1499999999999995,-2.7588718984462477,0.2739834536542301,-2.856074027286855,0.17678132481362274
11:00 (b) close uncond,mid,865.0,-1.2725798718348997,5.8500000000000005,-2.7929641028194494,0.34309608578346856,-2.888255829453268,0.24780435914964993
11:00 (b) close uncond,crossed,865.0,-1.5677155333789652,2.55,-3.0399413640388024,0.00020716551126527367,-3.1356382322691956,-0.09548970271912793
12:00 hold+flat,mid,866.0,-1.3463338815842776,3.2,-2.689014463429555,0.05340715381831678,-2.746074916986872,-0.003653299739000193
12:00 hold+flat,crossed,866.0,-1.3092005773529634,3.2,-2.663338902637418,0.08002852578845379,-2.6984296804943804,0.04493774793149141
12:00 hold+flip,mid,866.0,-1.1413355498286744,3.3000000000000003,-2.315192541865243,0.08062944869035495,-2.363300548347704,0.032521442207894324
12:00 hold+flip,crossed,866.0,-1.1718408018440838,2.55,-2.335723806774458,0.0030136694211221763,-2.34669527310929,-0.007957796913709458
12:00 (a) hold uncond,mid,866.0,-1.2623659776017935,4.8500000000000005,-2.643924222692429,0.24052279398096552,-2.7652547491845523,0.11919226748884215
12:00 (a) hold uncond,crossed,866.0,-1.039402634716183,8.55,-2.4371924887912506,0.4748951497522522,-2.5537004191846187,0.3583872193588844
12:00 (b) close uncond,mid,866.0,-1.140675062720973,10.45,-2.7157754823782594,0.5127083791095651,-2.794058504551511,0.43442535693631346
12:00 (b) close uncond,crossed,866.0,-1.4804107627368381,3.0,-2.9809493646740397,0.07675982044665554,-3.037581345920332,0.02012783920036343
13:00 hold+flat,mid,866.0,-1.5637734094264515,1.6500000000000001,-2.874078581778902,-0.12764425207514735,-2.9999025667777555,-0.2534682370740011
13:00 hold+flat,crossed,866.0,-1.531620666424981,1.6,-2.806320585164502,-0.13226264703287063,-2.930978685817091,-0.2569207476854598
13:00 hold+flip,mid,866.0,-1.3337095119487878,1.7500000000000002,-2.5027872556182547,-0.10218907007378039,-2.5652299538237955,-0.16463176827932102
13:00 hold+flip,crossed,866.0,-1.366521943624862,1.0999999999999999,-2.5206957451786964,-0.179769313966857,-2.553274573282867,-0.21234814207102737
13:00 (a) hold uncond,mid,866.0,-1.7140276777326373,1.2,-3.0728104507201413,-0.23992221735886513,-3.1881331381064095,-0.35524490474513337
13:00 (a) hold uncond,crossed,866.0,-1.498710017222776,2.45,-2.8529643250750314,-0.017383659078165675,-2.9800363753673866,-0.14445570937052077
13:00 (b) close uncond,mid,866.0,-1.5452614762425165,3.25,-3.051499696608277,0.12217636908262902,-3.212699321567662,-0.039023255876756036
13:00 (b) close uncond,crossed,866.0,-1.8877512408607953,1.05,-3.3109392259272763,-0.3644630940198319,-3.4110393877017584,-0.46456325579431423
