construction,fill,n,mean_prem,t_prem,Sharpe_prem,mean_pts,t_pts,Sharpe_pts,maxDD_pts,worst_pts,crossings_per_day,premium_crossed_pts,half_spread_paid_pts,be_half_spread_pct_prem,realized_half_spread_pct_prem,be_half_spread_pts_per_crossing
10:00 hold+flat,mid,864.0,-0.011009242866746838,-0.35992728923423345,-0.1943829526506595,-0.019019180686747725,-0.028303118330021047,-0.015285430904435076,-632.1537105999887,-102.25991153717041,1.3993055555555556,30.728761578446548,0.7524884124652965,-0.06189374289684347,2.4488081322258664,-0.013591871061497134
10:00 hold+flat,crossed,864.0,-0.04545566760638921,-1.4479412155025462,-0.7819776303507915,-0.7715075931520443,-1.1462482576090909,-0.6190448111305277,-922.8802094347775,-102.70991134643555,1.3993055555555556,30.728761578446548,0.7524884124652965,-2.51070187512271,2.4488081322258664,-0.551350339523049
10:00 hold+flip,mid,864.0,-0.00010853990476029866,-0.0034450244572035624,-0.0018605258505674646,0.09443093277298396,0.13763200999102057,0.07432978071270702,-630.5745091307908,-102.25991153717041,1.7986111111111112,32.970833338178366,0.8407407269179303,0.28640747961816987,2.5499529183704315,0.052502140228994944
10:00 hold+flip,crossed,864.0,-0.0383729280885885,-1.1872905633195294,-0.641210189545039,-0.7463097884880241,-1.0862985501606495,-0.5866682687206312,-973.3187336809933,-102.70991134643555,1.7986111111111112,32.970833338178366,0.8407407269179303,-2.2635454215949085,2.5499529183704315,-0.41493671637944196
10:00 (a) hold uncond,mid,864.0,-0.0160564517342387,-0.497607943555498,-0.26873900430426306,-0.0785441080591193,-0.11023763919449997,-0.05953512956868312,-821.0378383398056,-102.25991153717041,1.0,22.87505787038417,0.5570601740231117,-0.3433613523697731,2.435229572661869,-0.0785441080591193
10:00 (a) hold uncond,crossed,864.0,-0.04057955089148545,-1.2307923821545186,-0.664703856859929,-0.635604282082231,-0.8934369236226403,-0.48251108603179665,-904.8589241504669,-102.70991134643555,1.0,22.87505787038417,0.5570601740231117,-2.7785909250316423,2.435229572661869,-0.635604282082231
10:00 (b) close uncond,mid,864.0,0.009734731165108488,0.35691373431973217,0.19275544698555153,0.4555845006252639,0.7752545354941369,0.41868530165017787,-323.67499823868275,-104.32500400580466,2.0,45.29453124014307,1.0541377102339606,1.0058267259900333,2.3272957714147013,0.22779225031263195
10:00 (b) close uncond,crossed,864.0,-0.03751046370164576,-1.3290326267312915,-0.7177596527974486,-0.5985532096086966,-1.0160757590419676,-0.5487436270240781,-701.3499753884971,-105.45000534132123,2.0,45.29453124014307,1.0541377102339606,-1.3214690454246678,2.3272957714147013,-0.2992766048043483
11:00 hold+flat,mid,865.0,-0.00773816072011394,-0.23867512369523097,-0.1288247691738209,-0.03996894815667516,-0.06506452291617301,-0.03511854112112585,-462.828615443781,-109.25996088981628,1.4,26.56936416282733,0.46005781472073815,-0.15043246015121026,1.7315349057708949,-0.028549248683339405
11:00 hold+flat,crossed,865.0,-0.03424399353251644,-1.0356967681700717,-0.5590167715339819,-0.5000267628774133,-0.8103575120471269,-0.43739002968338603,-562.6312507353723,-109.85996103286743,1.4,26.56936416282733,0.46005781472073815,-1.8819673659221052,1.7315349057708949,-0.3571619734838667
11:00 hold+flip,mid,865.0,0.005770740477756396,0.1725311196234309,0.09312357868166667,0.06358122319586015,0.10126352172735267,0.05465693118865687,-444.15483629889786,-109.25996088981628,1.8,28.818612717992135,0.5487283347831297,0.22062555133392978,1.9040761613085757,0.03532290177547786
11:00 hold+flip,crossed,865.0,-0.02513922885281224,-0.7367370806464653,-0.3976534415763748,-0.48514710607470113,-0.7677027304366126,-0.41436713433484984,-595.58041440323,-109.85996103286743,1.8,28.818612717992135,0.5487283347831297,-1.683450590846146,1.9040761613085757,-0.26952617004150065
11:00 (a) hold uncond,mid,865.0,-0.01170805063318029,-0.3317639397836978,-0.179069407406727,0.01692591974500976,0.025501425155535384,0.013764380461619754,-588.1333004236221,-109.25996088981628,1.0,19.420895956775357,0.2782947993002875,0.08715313537893099,1.4329658112565036,0.01692591974500976
11:00 (a) hold uncond,crossed,865.0,-0.027598680744365254,-0.7691862087718334,-0.4151678409654797,-0.26136887955527777,-0.39370475247784403,-0.21250192762174308,-618.3082938194275,-109.85996103286743,1.0,19.420895956775357,0.2782947993002875,-1.3458126758775726,1.4329658112565036,-0.26136887955527777
11:00 (b) close uncond,mid,865.0,0.0036210161022613412,0.13279454722914832,0.0716757851822951,0.1569942472384155,0.3132463153280411,0.16907452960289857,-229.89998225867748,-89.92500104941428,2.0,38.6847976663123,0.7305202220647321,0.4058293094683291,1.8883909601028819,0.07849712361920776
11:00 (b) close uncond,crossed,865.0,-0.03594133574533738,-1.2817763398826627,-0.6918380875281323,-0.5735259748263166,-1.1313603807473822,-0.6106511547818246,-527.5999616757035,-90.84999828413129,2.0,38.6847976663123,0.7305202220647321,-1.482561650634553,1.8883909601028819,-0.2867629874131583
12:00 hold+flat,mid,866.0,-0.0004870066306795662,-0.01485302309922022,-0.00801228116128388,0.08070797815394112,0.15078286946017197,0.08133796980922275,-394.21406687796116,-111.62001991271973,1.3995381062355658,23.20291571116277,0.4064376488280661,0.3478355011870902,1.7516662728405792,0.05766758175025826
