segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.1297106713254742,0.1193353348337983,0.01037533649167589,8.694270231131387,-0.005367227688048167,0.039910104392600836,False,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.1297106713254742,0.12074039813433111,0.008970273191143085,7.429388448067816,-0.006835466044177043,0.03856897018282493,False,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.1193353348337983,0.12074039813433111,-0.001405063300532805,-1.1637060356299187,-0.003064314200411019,0.00010621690281575416,False,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.1305225251392866,0.1188652747263759,0.011657250412910722,9.807111824496552,-0.005165996458063639,0.04362282582006172,False,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.15690692955974422,0.11781862747600406,0.03908830208374015,33.17667411437228,-0.0014759326018038601,0.11282566669545686,False,False,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.15690692955974422,0.1210655558718748,0.035841373687869424,29.60493051037638,-0.005260489176328052,0.10986168431703329,False,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11781862747600406,0.1210655558718748,-0.0032469283958707273,-2.6819588548430673,-0.007079541490270182,-7.785978248403292e-05,True,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.1595135289853862,0.11757588867662526,0.04193764030876094,35.668571831172024,-0.0019157780780873696,0.12283805682628635,False,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.134231049502326,0.12555276321957506,0.008678286282750951,6.912063151946552,-0.0031754001730060397,0.022581288293722333,False,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.134231049502326,0.13041977929267762,0.0038112702096484183,2.9223099673366804,-0.00867405763413247,0.0180612438525269,False,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12555276321957506,0.13041977929267762,-0.004867016073102533,-3.7318082421994943,-0.007648731797829566,-0.0022486530910079293,True,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.13082858063565028,0.12677662633321735,0.004051954302432933,3.196136716702692,-0.006811945629325768,0.016799902490973725,False,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.12303453065115261,0.11928904273109892,0.0037454879200536587,3.1398423814136303,-0.009012129166183895,0.01980026400790213,False,False,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.12303453065115261,0.12574815740662723,-0.0027136267554746314,-2.1579853028777793,-0.017040097071877675,0.01417247789713469,False,False,False
bar1000,10:00,reclasso,2000,deck period,calibration,1116,0.11928904273109892,0.12574815740662723,-0.00645911467552829,-5.136548167971708,-0.010168753275180688,-0.003481661858594552,True,False,False
bar1000,10:00,reclasso,2000,deck period,as scored,1116,0.1262425404789693,0.12108813403600417,0.005154406442965119,4.2567395096141425,-0.007511900395446459,0.020709819281065103,False,False,False
bar1030,10:30,reclasso,500,common,coefficients,3056,0.1499121826420498,0.14932314891389792,0.0005890337281518835,0.3944691311670166,-0.003963502521882011,0.005206209972435658,False,False,False
bar1030,10:30,reclasso,500,common,package,3056,0.1499121826420498,0.15170523058140992,-0.001793047939360108,-1.1819288843820719,-0.006495019293638489,0.0030260933731577414,False,False,False
bar1030,10:30,reclasso,500,common,calibration,3056,0.14932314891389792,0.15170523058140992,-0.002382081667511992,-1.570204045294068,-0.0035202085468089973,-0.0012787318341631146,True,False,False
bar1030,10:30,reclasso,500,common,as scored,3056,0.14991980936151056,0.1496566186299121,0.0002631907315984614,0.17586307509012303,-0.004521556928706206,0.005168292259122851,False,False,False
bar1030,10:30,reclasso,500,deck period,coefficients,1116,0.16735967417725342,0.15880219996639244,0.008557474210861001,5.38876301000366,0.0010587702932655224,0.016870642238483398,False,True,False
bar1030,10:30,reclasso,500,deck period,package,1116,0.16735967417725342,0.15986659522022548,0.007493078957027937,4.687082343065972,-0.0004707238278925032,0.016156901220479768,False,False,False
bar1030,10:30,reclasso,500,deck period,calibration,1116,0.15880219996639244,0.15986659522022548,-0.0010643952538330647,-0.6658021660915456,-0.0030546958738980503,0.0007854836802595119,False,False,False
bar1030,10:30,reclasso,500,deck period,as scored,1116,0.16625964731251763,0.1561827928390792,0.010076854473438424,6.451962018518245,0.0014563452418502897,0.01950431328108953,False,True,False
bar1030,10:30,reclasso,2000,common,coefficients,1556,0.15930253780061526,0.16791368327449624,-0.008611145473880946,-5.128316707700295,-0.01435730545152545,-0.0021557475300204958,True,False,False
bar1030,10:30,reclasso,2000,common,package,1556,0.15930253780061526,0.17226402830453277,-0.012961490503917506,-7.524200282257332,-0.01901156652052487,-0.006059790847706742,True,False,False
bar1030,10:30,reclasso,2000,common,calibration,1556,0.16791368327449624,0.17226402830453277,-0.004350345030036562,-2.5253937649396603,-0.006159479464046169,-0.002622745023431327,True,False,False
bar1030,10:30,reclasso,2000,common,as scored,1556,0.15902444574395266,0.16706237405119734,-0.008037928307244662,-4.811333702693215,-0.013120077958522146,-0.002388126497455831,True,False,False
bar1030,10:30,reclasso,2000,deck period,coefficients,1116,0.15165633957952807,0.16401395017448273,-0.01235761059495466,-7.534487512683087,-0.020468082285348976,-0.003157672549201341,True,False,False
bar1030,10:30,reclasso,2000,deck period,package,1116,0.15165633957952807,0.1669331596814593,-0.015276820101931248,-9.151459261348895,-0.024172571561229327,-0.005912468387676164,True,False,False
