segment,estimator,train_win,back_transform,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,clock,866,32.44803695150115,1.469303567897088,0.9950815482680618,1.3383216004229939
bar1600,reclasso,500,raw,866,33.25635103926097,1.592647360834625,1.11778845777064,1.3383216004229939
bar1600,reclasso,2000,clock,866,32.67898383371824,1.8714671884354814,1.396316790432113,1.3383216004229939
bar1600,reclasso,2000,raw,866,33.37182448036952,1.6369854436006777,1.1618517875308723,1.3383216004229939
none,reclasso,500,clock,866,30.600461893764436,0.9744930410825843,0.5007843755999382,1.3383216004229939
none,reclasso,500,pooled,866,39.37644341801386,0.5310902038141321,0.06181335521074815,1.3383216004229939
none,reclasso,500,raw,866,36.83602771362587,0.8068843555306738,0.3363058149305814,1.3383216004229939
none,reclasso,2000,clock,866,35.68129330254042,0.8917045611986051,0.41776683546867954,1.3383216004229939
none,reclasso,2000,pooled,866,43.99538106235566,1.14548303401353,0.6809252535229008,1.3383216004229939
none,reclasso,2000,raw,866,41.224018475750576,1.1528646631496569,0.682679484547549,1.3383216004229939
rth,reclasso,500,clock,866,30.831408775981522,1.0637853465096447,0.586642213805656,1.3383216004229939
rth,reclasso,500,raw,866,32.10161662817552,1.0029290446628443,0.5259383358986951,1.3383216004229939
rth,reclasso,2000,clock,866,31.524249422632796,1.023208447586134,0.546027274037356,1.3383216004229939
rth,reclasso,2000,raw,866,34.06466512702079,1.160038895574248,0.6844469462585506,1.3383216004229939
