arm,bar_end,sample,n,QLIKE_clock,QLIKE_pooled,diff,pct,ci_lo,ci_hi,improves,worse
blk2_clockhar_a1,all regular-hours bars,whole,67462,0.1670165728255623,0.1658623684874489,0.0011542043381134117,0.6958807767180488,-0.0002579992515396274,0.002582548816126379,False,False
blk2_clockhar_a1,all regular-hours bars,deck period,12984,0.1947982767539465,0.19694059623158194,-0.0021423194776353824,-1.0877998333650998,-0.005781445666530878,0.0011101249716485768,False,False
blk2_clockhar_a1,10:30,whole,5621,0.13881506405955157,0.13547546340205427,0.003339600657497289,2.4650963160659316,0.0013070148974196716,0.00551693271603937,False,True
blk2_clockhar_a1,10:30,deck period,1082,0.1674933746675363,0.15953522847157375,0.007958146195962556,4.988331588079652,0.0032154560150531378,0.01333629179558574,False,True
blk2_clockhar_a1,11:00,whole,5621,0.11547344883714897,0.11372942836358525,0.0017440204735636772,1.53348214148071,0.0002238200274742805,0.0032461155162768263,False,True
blk2_clockhar_a1,11:00,deck period,1082,0.13977567505372548,0.1367647097397268,0.0030109653139987168,2.2015659739481066,-0.0004474223040495659,0.006664524040530283,False,False
blk2_clockhar_a1,11:30,whole,5622,0.13431743427440374,0.1332029825612365,0.0011144517131672473,0.8366567262522879,-0.0006953741974707161,0.0030555246426886835,False,False
blk2_clockhar_a1,11:30,deck period,1082,0.15335348201578738,0.1521230428345123,0.0012304391812750517,0.8088447077761849,-0.002706552069515697,0.006168428587885046,False,False
blk2_clockhar_a1,12:00,whole,5622,0.13662968612536183,0.13253504806668864,0.0040946380586731786,3.0894756657973588,-0.000566566763821795,0.011594233816600732,False,False
blk2_clockhar_a1,12:00,deck period,1082,0.13667356543293396,0.1367974724795831,-0.00012390704664917026,-0.09057700000097829,-0.004469239899707731,0.004647875682907259,False,False
blk2_clockhar_a1,12:30,whole,5622,0.1527371070302595,0.1488677548035939,0.003869352226665606,2.599187602292094,0.001862494488025292,0.005985816760500922,False,True
blk2_clockhar_a1,12:30,deck period,1082,0.15511073911237783,0.15101278767288273,0.004097951439495127,2.713645316164833,-0.00041824123277818184,0.009039640651263564,False,False
blk2_clockhar_a1,13:00,whole,5622,0.1622512118832377,0.16119160198905394,0.0010596098941837923,0.6573604834920291,-0.0015286615304430826,0.0036298631240891913,False,False
blk2_clockhar_a1,13:00,deck period,1082,0.19571182036019985,0.19686883148308124,-0.0011570111228813925,-0.5877066035111937,-0.007246398903987229,0.005480865643557425,False,False
blk2_clockhar_a1,13:30,whole,5622,0.19134053842336354,0.18409138505197287,0.007249153371390624,3.937801526857998,0.001124359457376458,0.016237381570830774,False,True
blk2_clockhar_a1,13:30,deck period,1082,0.20869727318495354,0.2024496582743302,0.006247614910623402,3.0860091164775127,-0.000454539112164084,0.014288870889969642,False,False
blk2_clockhar_a1,14:00,whole,5622,0.14924837038914057,0.14617905328346037,0.003069317105680191,2.09969693792474,0.0010731578299918252,0.005120926788793487,False,True
blk2_clockhar_a1,14:00,deck period,1082,0.20422922415433933,0.19979325599274578,0.0044359681615935955,2.220279227920816,-0.0018583319514756224,0.011595985964289672,False,False
blk2_clockhar_a1,14:30,whole,5622,0.40647691943577513,0.4059279805138225,0.0005489389219526115,0.13523061929797647,-0.00960391352275119,0.01095165240925637,False,False
blk2_clockhar_a1,14:30,deck period,1082,0.4941008534452418,0.5133870662614362,-0.019286212816194307,-3.7566612179460392,-0.047088647627384565,0.0037250035880089035,False,False
blk2_clockhar_a1,15:00,whole,5622,0.17692457611060836,0.18956252833370155,-0.012637952223093218,-6.66690423164522,-0.01918346260833882,-0.007343138139370328,True,False
blk2_clockhar_a1,15:00,deck period,1082,0.23414704528685132,0.27153545836288573,-0.03738841307603439,-13.769256251633893,-0.05759856208728849,-0.019932191934899465,True,False
blk2_clockhar_a1,15:30,whole,5622,0.12901800201829577,0.12493957503590758,0.004078426982388183,3.2643195570467127,0.001859607978905991,0.006305178506400249,False,True
blk2_clockhar_a1,15:30,deck period,1082,0.13371720780177748,0.1282477371507129,0.005469470651064602,4.264769712573599,-0.0002874664569311629,0.011177196856818332,False,False
blk2_clockhar_a1,16:00,whole,5622,0.11095233093099276,0.11463094242132627,-0.003678611490333491,-3.2090912040247797,-0.005751905558799638,-0.0016877784786557691,True,False
blk2_clockhar_a1,16:00,deck period,1082,0.11456906053163399,0.11477190605551237,-0.00020284552387838704,-0.17673795866061126,-0.0055362289742024425,0.004087570232086608,False,False
blk2_clockhar_a100,all regular-hours bars,whole,67462,0.1642534887766471,0.1658623684874489,-0.0016088797108017516,-0.9700088847600765,-0.002579116407320561,-0.0006249490455727229,True,False
blk2_clockhar_a100,all regular-hours bars,deck period,12984,0.19300254941360626,0.19694059623158194,-0.003938046817975648,-1.9996115038389082,-0.006452811094119355,-0.0016278606520685032,True,False
blk2_clockhar_a100,10:30,whole,5621,0.1360911348028196,0.13547546340205427,0.0006156714007653325,0.4544523305583296,-0.0006029159981566149,0.0018545141095316655,False,False
blk2_clockhar_a100,10:30,deck period,1082,0.16106242100143434,0.15953522847157375,0.0015271925298605544,0.9572760477367994,-0.0007074415093401543,0.0037923129087089618,False,False
blk2_clockhar_a100,11:00,whole,5621,0.11434264754347637,0.11372942836358525,0.0006132191798911042,0.5391912970235674,-0.0003508480298921058,0.001734548580049559,False,False
blk2_clockhar_a100,11:00,deck period,1082,0.1373047106307052,0.1367647097397268,0.000540000890978439,0.39483935000929704,-0.0013266647823652804,0.0025213984467012665,False,False
blk2_clockhar_a100,11:30,whole,5622,0.13235389398156028,0.1332029825612365,-0.0008490885796762374,-0.6374396153523751,-0.0021074811960603663,0.00044891331070320573,False,False
blk2_clockhar_a100,11:30,deck period,1082,0.1494566035571424,0.1521230428345123,-0.0026664392773699044,-1.752817474385259,-0.004913462632261643,-0.0004382677603209695,True,False
blk2_clockhar_a100,12:00,whole,5622,0.13207391195365079,0.13253504806668864,-0.0004611361130378375,-0.34793522148632283,-0.001538429875722917,0.0006479671274961667,False,False
blk2_clockhar_a100,12:00,deck period,1082,0.1357522032253231,0.1367974724795831,-0.001045269254260026,-0.7640998297070375,-0.0031201374328940035,0.0011390380949686367,False,False
blk2_clockhar_a100,12:30,whole,5622,0.1495475227727755,0.1488677548035939,0.0006797679691816293,0.45662539216667125,-0.0006855355404505696,0.001979491328626142,False,False
blk2_clockhar_a100,12:30,deck period,1082,0.15249378389341423,0.15101278767288273,0.0014809962205315254,0.9807091461284684,-0.001219073629637769,0.004568182537550543,False,False
blk2_clockhar_a100,13:00,whole,5622,0.1599155970060019,0.16119160198905394,-0.0012760049830520264,-0.7916076069140849,-0.003108841443541717,0.0004259699259392373,False,False
blk2_clockhar_a100,13:00,deck period,1082,0.19448618960099892,0.19686883148308124,-0.0023826418820823494,-1.2102687175684852,-0.006453362998389987,0.002169038340072695,False,False
blk2_clockhar_a100,13:30,whole,5622,0.186511510370385,0.18409138505197287,0.0024201253184121,1.3146325764939233,-0.0014700958307048563,0.007800152282745659,False,False
blk2_clockhar_a100,13:30,deck period,1082,0.20617851321192665,0.2024496582743302,0.0037288549375964807,1.8418677360984632,-0.003079937784248642,0.01432327293642439,False,False
blk2_clockhar_a100,14:00,whole,5622,0.14563961268317702,0.14617905328346037,-0.0005394406002833796,-0.36902729096030845,-0.0018479550830574189,0.0007933059662302217,False,False
blk2_clockhar_a100,14:00,deck period,1082,0.19770450204184875,0.19979325599274578,-0.0020887539508970005,-1.0454576860055977,-0.0064819097381516606,0.002800083228360035,False,False
blk2_clockhar_a100,14:30,whole,5622,0.40371432649203154,0.4059279805138225,-0.0022136540217909517,-0.5453317159829472,-0.010860116529752962,0.006641221580356661,False,False
blk2_clockhar_a100,14:30,deck period,1082,0.499162743100288,0.5133870662614362,-0.01422432316114816,-2.7706820245262267,-0.032620980769386056,0.0006856530657546909,False,False
blk2_clockhar_a100,15:00,whole,5622,0.17647730872491327,0.18956252833370155,-0.013085219608788334,-6.902851383029358,-0.018483223351289803,-0.008664652433746329,True,False
blk2_clockhar_a100,15:00,deck period,1082,0.2400495263821166,0.27153545836288573,-0.0314859319807691,-11.595513959981844,-0.04714416287070059,-0.01826242938766101,True,False
blk2_clockhar_a100,15:30,whole,5622,0.12527664481442852,0.12493957503590758,0.0003370697785209075,0.2697862374063893,-0.0013158847944528041,0.001842480280420684,False,False
blk2_clockhar_a100,15:30,deck period,1082,0.12997258048099697,0.1282477371507129,0.0017248433302841004,1.3449308101686943,-0.0022572471860589005,0.005567627310286668,False,False
blk2_clockhar_a100,16:00,whole,5622,0.10908386708895215,0.11463094242132627,-0.005547075332374096,-4.839073303598787,-0.007392548153746083,-0.0038227153416306513,True,False
blk2_clockhar_a100,16:00,deck period,1082,0.11240681583708004,0.11477190605551237,-0.002365090218432337,-2.060687410112716,-0.006556077326036006,0.0006254308834760621,False,False
blk2_clockhar_a1000,all regular-hours bars,whole,67462,0.16405775164648884,0.1658623684874489,-0.0018046168409600427,-1.0880206628042945,-0.0023852390706843012,-0.0012596749515773136,True,False
blk2_clockhar_a1000,all regular-hours bars,deck period,12984,0.19450341914703814,0.19694059623158194,-0.0024371770845437583,-1.2375188920814923,-0.0036669524160368987,-0.0013215084483082218,True,False
blk2_clockhar_a1000,10:30,whole,5621,0.1355675970373305,0.13547546340205427,9.213363527624932e-05,0.06800761773578275,-0.00048344600569148635,0.0006882721638478333,False,False
blk2_clockhar_a1000,10:30,deck period,1082,0.15938962191971182,0.15953522847157375,-0.0001456065518619191,-0.0912692157443229,-0.0010570144207535498,0.0006759920732596677,False,False
blk2_clockhar_a1000,11:00,whole,5621,0.11399935012022255,0.11372942836358525,0.0002699217566372633,0.2373367742378356,-0.00023546376169590716,0.0007899467567982413,False,False
blk2_clockhar_a1000,11:00,deck period,1082,0.13673736388932758,0.1367647097397268,-2.7345850399208066e-05,-0.01999481478171468,-0.0009594394366412422,0.0008508354942640226,False,False
blk2_clockhar_a1000,11:30,whole,5622,0.13238277128661943,0.1332029825612365,-0.0008202112746170737,-0.6157604423309392,-0.0014562962451091122,-0.00022830077210436367,True,False
blk2_clockhar_a1000,11:30,deck period,1082,0.14991900148236392,0.1521230428345123,-0.002204041352148394,-1.4488543688585496,-0.0034976181542284335,-0.001015524320833302,True,False
blk2_clockhar_a1000,12:00,whole,5622,0.13226510094455063,0.13253504806668864,-0.0002699471221379952,-0.203679800985294,-0.0007437730830691893,0.00021820883697539002,False,False
blk2_clockhar_a1000,12:00,deck period,1082,0.13651959418273987,0.1367974724795831,-0.0002778782968432624,-0.20313116302988382,-0.0011997994744079553,0.0006836626941006531,False,False
