distribution,mean_r,Kelly_f,half_Kelly_f,gaussian_mu_over_var,live_share_of_Kelly,ann_log_growth_at_Kelly,ann_log_growth_at_half,ann_log_growth_at_live
D1 realized only,0.0037644215284731264,2.509542590704172,1.254771295352086,2.8545412299336896,0.03984789912329809,1.2635892376746094,0.9230959041813195,0.09318445967948755
D2 realized + pre-2020 replay tail,0.002292113785574615,0.9884685504764944,0.4942342752382472,1.2356055417444134,0.10116659751268231,0.3120830201644511,0.2254963134451998,0.05539874670481502
"D2- as D2, mean at its 2.5% bound",0.0004212900762017617,0.22115700748380127,0.11057850374190063,0.22777861162893556,0.45216744944120546,0.01186056700788887,0.008863697065270707,0.00826668175841102
D3 realized + a 5% jump once in 10 years,0.0033662603140627847,0.8487014619385979,0.42435073096929893,1.9597181414030524,0.1178270622647223,0.4946346028044926,0.3169562078616878,0.08261562413587324
D3 realized + a 5% jump once in 25 years,0.003605119128611442,0.936544299435065,0.4682721497175325,2.43850155575659,0.10677551511479086,0.630002166650742,0.3820543966327829,0.08895591906602117
D3 realized + a 5% jump once in 50 years,0.003684764007520149,0.9677132048641734,0.4838566024320867,2.634618821951709,0.10333640121613906,0.6911595843680295,0.40640802753928834,0.09107002158684001
