sizing,f,median_annual_growth,p05_annual_growth,prob_drawdown_20pct,prob_drawdown_50pct,prob_below_start,prob_ruin
live 10%,0.1,0.05755674001188327,0.007946023859207951,0.0172,0.0,0.0273,0.0
quarter Kelly (D2),0.2471171376191236,0.13747785110143673,0.0088740267295504,0.6323,0.005,0.0381,0.0
half Kelly (D2),0.4942342752382472,0.2578255225929662,-0.01482684703135806,0.9963,0.2672,0.0636,0.0
Kelly (D2),0.9884685504764944,0.37905865760689994,-0.19284006621394434,1.0,0.9349,0.1575,0.0
"live 10%, third Fridays x1.1 (the rule)",0.1,0.059693689589774834,0.010210467178203064,0.0172,0.0,0.0255,0.0
"live 10%, third Fridays x1.8 (point ratio)",0.1,0.07230391272983572,0.021548877164792923,0.0093,0.0,0.0082,0.0
