third_friday_multiplier,sample,third_friday_contracts_mean,other_day_contracts_mean,third_fridays_with_more_contracts,stress_jump_cost_max_third_friday,days,ann_return,ann_vol,Sharpe,max_drawdown,worst_day,worst_20,worst_day_date
1.0,all,3.9027777777777777,3.746701846965699,0,0.09967563532309621,1279,0.0831895355068351,0.052016231418787896,1.5992995501167282,-0.059966806052203905,-0.022569023955966196,-0.03975865652936386,2022-09-21
1.0,HOLDOUT,2.7,2.6906666666666665,0,0.09621268079134795,413,0.08458719918372294,0.044241874783864085,1.91192619202868,-0.02326570569000945,-0.01244294176108608,-0.02036088142171258,2025-04-04
1.1,all,3.9027777777777777,3.746701846965699,0,0.09967563532309621,1279,0.0831895355068351,0.052016231418787896,1.5992995501167282,-0.059966806052203905,-0.022569023955966196,-0.03975865652936386,2022-09-21
1.1,HOLDOUT,2.7,2.6906666666666665,0,0.09621268079134795,413,0.08458719918372294,0.044241874783864085,1.91192619202868,-0.02326570569000945,-0.01244294176108608,-0.02036088142171258,2025-04-04
1.5,all,5.597222222222222,3.746701846965699,69,0.14914358686763005,1279,0.08995159520209166,0.052659510518198435,1.7081737812774687,-0.05936261110630621,-0.022569023955966196,-0.03975865652936386,2022-09-21
1.5,HOLDOUT,3.65,2.6906666666666665,19,0.12828357438846394,413,0.08907479013090391,0.0444578552536483,2.0035782118300514,-0.022350409979315866,-0.01244294176108608,-0.019657126722004994,2025-04-04
1.8,all,6.736111111111111,3.746701846965699,69,0.17941614358157318,1279,0.09388610161439398,0.05313148537299818,1.7670520776011962,-0.059362611106306196,-0.022569023955966196,-0.03975865652936386,2022-09-21
1.8,HOLDOUT,4.45,2.6906666666666665,19,0.16035446798557995,413,0.09281382057300591,0.044711511755070335,2.0758372269191,-0.02143511426862227,-0.01244294176108608,-0.01895337202229741,2025-04-04
