group,days,mean_r,sd_r,worst_r,hit,Kelly_f_D1,Kelly_f_D2
third Fridays,72,0.012340148669260044,0.020367589417654198,-0.0493246005972659,0.75,18.109739649426537,1.4994721333673455
other sessions,1207,0.00325286199729114,0.03700672949517547,-0.23703382878018583,0.579950289975145,2.164884511973695,0.8055227652724342
