,days,ann_return,ann_vol,Sharpe,max_drawdown,worst_day,worst_20,worst_day_date
"live book, all",1279,0.09486342251752279,0.05767014984670657,1.6449310912088824,-0.0632065138225687,-0.023703382878018583,-0.04118408612349661,2022-09-21
"third Fridays x1.1, all",1279,0.09661400623491961,0.0578035580166628,1.6714197109989162,-0.06305612043267242,-0.023703382878018583,-0.04118408612349661,2022-09-21
"third Fridays x1.8, all",1279,0.10886809225669743,0.059101911377718565,1.8420401255878966,-0.06200336670339852,-0.023703382878018583,-0.04118408612349661,2022-09-21
"live book, HOLDOUT",413,0.1011886813200131,0.052084312988462014,1.9427861387444805,-0.026609428443029742,-0.014517227183565906,-0.023502779023695325,2025-04-04
"third Fridays x1.1, HOLDOUT",413,0.10272085045821243,0.05215508309792092,1.9695271171432043,-0.026280498126677945,-0.014517227183565906,-0.023245980969202648,2025-04-04
"third Fridays x1.8, HOLDOUT",413,0.11344603442560769,0.05286071482316201,2.146131296277874,-0.02476301898091879,-0.014517227183565906,-0.021448394587753952,2025-04-04
