segment,estimator,train_win,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,866,36.83602771362587,1.4273824425639654,0.9587698238577381,1.3383216004229939
bar1600,reclasso,2000,866,40.993071593533486,1.7007971468454077,1.237811686268674,1.3383216004229939
bar1600,reclasticnet,500,866,35.79676674364896,0.7569792728059397,0.2828615627906897,1.3383216004229939
bar1600,reclasticnet,2000,866,39.4919168591224,1.8903977044010467,1.425619404932454,1.3383216004229939
bar1600,ridge,500,866,38.68360277136259,1.0880434771572611,0.6139881251481664,1.3383216004229939
bar1600,ridge,2000,866,40.300230946882216,1.9127548247626733,1.4434185793547407,1.3383216004229939
blk_close,reclasso,500,866,33.8337182448037,1.0960766995264213,0.6201033403222038,1.3383216004229939
blk_close,reclasso,2000,866,38.91454965357968,1.3367787373345013,0.8665075016073844,1.3383216004229939
blk_close,reclasticnet,500,866,34.18013856812933,1.0599091461065044,0.5853769454888532,1.3383216004229939
blk_close,reclasticnet,2000,866,39.37644341801386,1.1636315954906906,0.6930702849649689,1.3383216004229939
blk_close,ridge,500,866,36.489607390300236,0.9236261673983286,0.44931622921297276,1.3383216004229939
blk_close,ridge,2000,866,40.184757505773675,1.4106757472663687,0.9428065866534103,1.3383216004229939
none,reclasso,500,866,31.062355658198616,1.2477364272166096,0.767970968550841,1.3383216004229939
none,reclasso,2000,866,39.03002309468822,1.464341571170715,0.9953351652885631,1.3383216004229939
none,reclasticnet,500,866,30.2540415704388,1.3218760621538177,0.8412420146442214,1.3383216004229939
none,reclasticnet,2000,866,39.37644341801386,1.6591246926294427,1.1916894119044161,1.3383216004229939
none,ridge,500,866,30.600461893764436,1.2127589398954957,0.7323820065618367,1.3383216004229939
none,ridge,2000,866,39.03002309468822,1.3399729252975014,0.8663081880779964,1.3383216004229939
