segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1000,reclasso,500,500,all bars,common,3119,2012-03-23,0.11913028380270119,0.11586535247725611,0.0032649313254450602,2.817866821823161,-0.0024212919484134354,0.011427068064093524,1.0250203562330165,False
bar1000,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.12854336479503814,0.1162846287944019,0.01225873600063623,10.542008972063195,-0.0010061413869257773,0.03240516218199518,1.6086808859254493,False
bar1000,reclasso,500,500,10:00,common,3119,2012-03-23,0.11913028380270119,0.11586535247725611,0.0032649313254450602,2.817866821823161,-0.0024212919484134354,0.011427068064093524,1.0250203562330165,False
bar1000,reclasso,500,500,10:00,deck period,1116,2020-01-03,0.12854336479503814,0.1162846287944019,0.01225873600063623,10.542008972063195,-0.0010061413869257773,0.03240516218199518,1.6086808859254493,False
bar1000,reclasso,2000,500,all bars,common,1619,2018-01-19,0.12622801093988528,0.1232649323786283,0.0029630785612569676,2.403829300092738,-0.004377639520195974,0.010424709953998162,0.8082403610943889,False
bar1000,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.1257113626841062,0.1162846287944019,0.009426733889704336,8.106603587625806,0.0017339051679925702,0.018760183034965617,2.276299530881852,False
bar1000,reclasso,2000,500,10:00,common,1619,2018-01-19,0.12622801093988528,0.1232649323786283,0.0029630785612569676,2.403829300092738,-0.004377639520195974,0.010424709953998162,0.8082403610943889,False
bar1000,reclasso,2000,500,10:00,deck period,1116,2020-01-03,0.1257113626841062,0.1162846287944019,0.009426733889704336,8.106603587625806,0.0017339051679925702,0.018760183034965617,2.276299530881852,False
bar1000,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.12622801093988528,0.12262518427444044,0.003602826665444839,2.93808053114241,-0.0029419877305149845,0.011173311697257953,1.1024827945540765,False
bar1000,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.1257113626841062,0.11819937667229824,0.007511986011807965,6.35535162984367,0.00045811187496991876,0.01716371909496652,2.0464926499968676,False
bar1000,reclasso,2000,2000,10:00,common,1619,2018-01-19,0.12622801093988528,0.12262518427444044,0.003602826665444839,2.93808053114241,-0.0029419877305149845,0.011173311697257953,1.1024827945540765,False
bar1000,reclasso,2000,2000,10:00,deck period,1116,2020-01-03,0.1257113626841062,0.11819937667229824,0.007511986011807965,6.35535162984367,0.00045811187496991876,0.01716371909496652,2.0464926499968676,False
bar1000,reclasticnet,500,500,all bars,common,3119,2012-03-23,0.12054514300884674,0.11539332189728724,0.005151821111559519,4.464574749087478,-0.00245561894293786,0.016921810605862987,1.1662022330084556,False
bar1000,reclasticnet,500,500,all bars,deck period,1116,2020-01-03,0.13405319166858884,0.11612142466360595,0.01793176700498288,15.44225542954688,-0.0008752178030433922,0.048034592578610785,1.5754765860618891,False
bar1000,reclasticnet,500,500,10:00,common,3119,2012-03-23,0.12054514300884674,0.11539332189728724,0.005151821111559519,4.464574749087478,-0.00245561894293786,0.016921810605862987,1.1662022330084556,False
bar1000,reclasticnet,500,500,10:00,deck period,1116,2020-01-03,0.13405319166858884,0.11612142466360595,0.01793176700498288,15.44225542954688,-0.0008752178030433922,0.048034592578610785,1.5754765860618891,False
