sample,family,param,rule,n_days,n_bars,frac_dense,n_no_signal,mean_gross,Sharpe_gross,turnover,notional_pts,cost_prem_0.2bp,mean_net_0.2bp,Sharpe_net_0.2bp,cost_prem_0.5bp,mean_net_0.5bp,Sharpe_net_0.5bp,cost_prem_1bp,mean_net_1bp,Sharpe_net_1bp,Sharpe_gain_vs_book,bound_Sharpe_gain,turnover_vs_book,bound_turnover,share_of_bound_Sharpe_gain,share_of_bound_turnover
whole,reference,every bar at 30 minutes,the book of record,865,7785,0.0,0,0.04590784013473822,2.252546709416487,2.055879436038417,8450.398636211392,0.010921810173229551,0.034986029961508666,1.708878643902667,0.027304525433073885,0.018603314701664337,0.9020325604270627,0.05460905086614777,-0.008701210731409548,-0.41622121013513214,0.0,-0.5920738892711002,0.0,7.317014309547652,-0.0,0.0
daily_era,reference,every bar at 30 minutes,the book of record,489,4401,0.0,0,0.053293323690799435,2.5131321677178398,2.1241286608815755,9110.18219552825,0.011004170518465415,0.04228915317233402,1.9855459266650373,0.02751042629616354,0.0257828973946359,1.202240028308802,0.05502085259232708,-0.001727528901527647,-0.07956243245017251,0.0,-0.17290114322766437,0.0,7.510602684338959,-0.0,0.0
whole,reference,every bar at 1 minute,the density bound,865,7785,1.0,0,0.02316484402231563,1.6604728201453869,9.372893745586069,38518.74529349966,0.05010036200574333,-0.026935517983427706,-1.9141045458977288,0.12525090501435834,-0.1020860609920427,-6.9710546706232215,0.2505018100287167,-0.22733696600640105,-13.783127068697725,-0.5920738892711002,-0.5920738892711002,7.317014309547652,7.317014309547652,1.0,1.0
daily_era,reference,every bar at 1 minute,the density bound,489,4401,1.0,0,0.03254516511980761,2.3402310244901754,9.634731345220535,41381.90840127837,0.05040512250594894,-0.01785995738614133,-1.2805543891174196,0.12601280626487235,-0.09346764114506474,-6.520695566166675,0.2520256125297447,-0.21948044740993708,-13.92574740653757,-0.17290114322766437,-0.17290114322766437,7.510602684338959,7.510602684338959,1.0,1.0
whole,comb_ratio_hot,q=0.8,dense when comb f_t / slice_t > 0.8,865,7785,0.7159922928709056,575,0.03181348764724564,2.0665281350239564,7.453540140049572,31112.682414201256,0.040291668004407484,-0.00847818035716184,-0.543340018401691,0.1007291700110187,-0.06891568236377306,-4.246239139018945,0.2014583400220374,-0.16964485237479177,-9.427259034054165,-0.18601857439253067,-0.5920738892711002,5.397660704011155,7.317014309547652,0.31418135094850647,0.7376862304298057
daily_era,comb_ratio_hot,q=0.8,dense when comb f_t / slice_t > 0.8,489,4401,0.8116337196091797,575,0.03814832232686833,2.5682524890703022,8.350202703322623,35920.08284940604,0.04467637698437623,-0.0065280546575078955,-0.4362676022835595,0.11169094246094056,-0.07354262013407223,-4.760546237661324,0.22338188492188113,-0.1852335625950128,-10.886947229619473,0.055120321352462476,-0.17290114322766437,6.226074042441047,7.510602684338959,-0.31879674317643936,0.828971296194858
whole,comb_ratio_calm_control,q=0.8,CONTROL dense when comb f_t / slice_t < 0.8,865,7785,0.21014771997430956,575,0.042179606060284695,2.172593847030628,3.456871729452657,14318.653486561823,0.0183901547474212,0.023789451312863488,1.223210425277553,0.04597538686855301,-0.0037957808082683146,-0.19404002240829846,0.09195077373710601,-0.04977116767682132,-2.4993074501023207,-0.07995286238585919,-0.5920738892711002,1.40099229341424,7.317014309547652,0.13503865621280622,0.19147048702448846
daily_era,comb_ratio_calm_control,q=0.8,CONTROL dense when comb f_t / slice_t < 0.8,489,4401,0.18836628039082026,575,0.04769016648373871,2.366884755693186,3.4086573027794893,14572.007747400583,0.016732916040038126,0.030957250443700582,1.5309769036287417,0.04183229010009532,0.005857876383643391,0.2877809249773694,0.08366458020019064,-0.035974413716451936,-1.742027848027248,-0.14624741202465374,-0.17290114322766437,1.2845286418979138,7.510602684338959,0.8458441008228915,0.1710287038051422
whole,comb_ratio_hot,q=1,dense when comb f_t / slice_t > 1,865,7785,0.37174052665382146,575,0.03688865062179299,2.095718051631709,4.931857463566777,20680.41212333596,0.026920788896964466,0.009967861724828523,0.5577879717131836,0.06730197224241116,-0.03041332162061818,-1.6470959230228686,0.13460394448482232,-0.09771529386302934,-4.90750553757709,-0.15682865778477817,-0.5920738892711002,2.87597802752836,7.317014309547652,0.2648802128022388,0.3930534922933828
daily_era,comb_ratio_hot,q=1,dense when comb f_t / slice_t > 1,489,4401,0.4762553965007953,575,0.03627482560644411,2.0526262778615525,5.845238475453237,25148.184940640935,0.03175273981322476,0.004522085793219351,0.2523352387785524,0.07938184953306189,-0.04310702392661779,-2.329246368762277,0.15876369906612378,-0.12248887345967971,-6.12746816875092,-0.46050588985628726,-0.17290114322766437,3.7211098145716615,7.510602684338959,2.6634056968028528,0.4954475653905759
whole,comb_ratio_calm_control,q=1,CONTROL dense when comb f_t / slice_t < 1,865,7785,0.5543994861913937,575,0.037104443085737335,2.110681644187351,5.978554405935452,24750.923777427124,0.031761033854864215,0.005343409230873127,0.30536255221070674,0.07940258463716052,-0.0422981415514232,-2.4096236155790294,0.15880516927432103,-0.12170072618858373,-6.7211579519443525,-0.141865065229136,-0.5920738892711002,3.9226749698970353,7.317014309547652,0.23960702844671217,0.5361032251609114
daily_era,comb_ratio_calm_control,q=1,CONTROL dense when comb f_t / slice_t < 1,489,4401,0.5237446034992047,575,0.04956366320416294,2.746792561299577,5.913621530648876,25343.905656165683,0.029656553211189592,0.019907109992973324,1.1123721425448834,0.07414138302797398,-0.024577719823811062,-1.3820125689482452,0.14828276605594795,-0.09871910285178505,-5.516552829608348,0.2336603935817374,-0.17290114322766437,3.7894928697673005,7.510602684338959,-1.3514103447775903,0.5045524346094244
whole,comb_ratio_hot,q=1.25,dense when comb f_t / slice_t > 1.25,865,7785,0.1084136159280668,575,0.03591496886773536,1.812303468267793,2.928250786030116,12182.144735006295,0.015874423066886207,0.020040545800849165,1.0023621433027068,0.03968605766721552,-0.0037710887994801484,-0.18563237866789675,0.07937211533443105,-0.04345714646669567,-2.0698113384388974,-0.44024324114869406,-0.5920738892711002,0.872371349991699,7.317014309547652,0.7435613174745399,0.11922504358825427
daily_era,comb_ratio_hot,q=1.25,dense when comb f_t / slice_t > 1.25,489,4401,0.15610088616223586,575,0.03947497802886625,1.9320171585798167,3.3769843609594874,14478.585757567127,0.018159727586400564,0.021315250442465693,1.0339716612811296,0.045399318966001405,-0.005924340937135157,-0.2826615669082019,0.09079863793200281,-0.051323659903136566,-2.3642145242810275,-0.581115009138023,-0.17290114322766437,1.252855700077912,7.510602684338959,3.360966840877684,0.16681160656925112
whole,comb_ratio_calm_control,q=1.25,CONTROL dense when comb f_t / slice_t < 1.25,865,7785,0.8177263969171483,575,0.03807812483979497,2.51979901687414,7.982161083472114,33249.19116575678,0.04280739968494248,-0.004729274845147512,-0.3135328695777996,0.10701849921235619,-0.06894037437256122,-4.491062276776735,0.21403699842471238,-0.1759588735849174,-10.626754581864839,0.26725230745765316,-0.5920738892711002,5.926281647433697,7.317014309547652,-0.45138337004975243,0.80993167386604
daily_era,comb_ratio_calm_control,q=1.25,CONTROL dense when comb f_t / slice_t < 1.25,489,4401,0.8438991138377642,575,0.04636351078174079,3.074148188636027,8.381875645142625,36013.5048392395,0.04324956543801379,0.0031139453437269904,0.2086102893618779,0.10812391359503448,-0.06176040281329368,-4.140450458978294,0.21624782719006896,-0.16988431640832816,-10.973505196358811,0.5610160209181871,-0.17290114322766437,6.257746984261049,7.510602684338959,-3.2447212924409627,0.833188393430749
whole,comb_ratio_hot,q=1.5,dense when comb f_t / slice_t > 1.5,865,7785,0.037508028259473344,575,0.04212225831432495,2.0957060993345866,2.3616770339120015,9767.662579498841,0.012696992736482251,0.029425265577842696,1.4562567296467233,0.03174248184120562,0.010379776473119327,0.5090115073146403,0.06348496368241124,-0.021362705368086304,-1.0286129093947074,-0.15684061008190042,-0.5920738892711002,0.3057975978735845,7.317014309547652,0.26490039997370307,0.04179267457145227
daily_era,comb_ratio_hot,q=1.5,dense when comb f_t / slice_t > 1.5,489,4401,0.0570324926153147,575,0.04525849726008005,2.150431524855404,2.5863763392033094,11102.399419828798,0.013719333286946456,0.0315391639731336,1.4909477080642188,0.03429833321736614,0.01096016404271391,0.5135154394072192,0.06859666643473228,-0.023338169174652233,-1.0738732593487925,-0.362700642862436,-0.17290114322766437,0.46224767832173397,7.510602684338959,2.097734208644628,0.06154601671122993
whole,comb_ratio_calm_control,q=1.5,CONTROL dense when comb f_t / slice_t < 1.5,865,7785,0.8886319845857418,575,0.031870835393205385,2.1853083265129842,8.54873483559023,35663.67332126424,0.045984830015346444,-0.01411399462214105,-0.9635411424910494,0.11496207503836608,-0.08309123964516069,-5.502231629316452,0.22992415007673217,-0.19805331468352677,-11.85674610048676,-0.06723838290350281,-0.5920738892711002,6.492855399551813,7.317014309547652,0.11356417521853518,0.8873640428828422
