sample,bar,n,gamma_start_mean,gamma_end_mean,gamma_ratio_mean,gamma_ratio_median,gamma_ratio_p90,delta_drift_mean_abs,delta_start_mean_abs
whole,11:00-11:30,865,0.03450505774658187,0.03489526389612757,1.0127109969084322,1.0379381682720714,1.1021329885828501,0.19890668522305535,0.042961780805384965
whole,11:30-12:00,865,0.03489526389612757,0.0354639869830227,1.0163023893768592,1.0433098086774606,1.1389493693040003,0.1776944981243706,0.20540348635454778
whole,12:00-12:30,865,0.0354639869830227,0.0359917499649725,1.0111996455994112,1.0358515271651472,1.1741581019181342,0.166738372017775,0.28375934071223075
whole,12:30-13:00,865,0.0359917499649725,0.036448399339504375,1.0106107806161713,1.0320122760899344,1.2038302154099672,0.15367324388885412,0.336414288048152
whole,13:00-13:30,865,0.036448399339504375,0.036915778520316814,1.0056169381854092,1.0339625673992843,1.2291608716335214,0.1642811679509717,0.3818450832690143
whole,13:30-14:00,865,0.036915778520316814,0.03709768026392287,0.9857184783063357,1.016132767169257,1.2662317145887358,0.15991108304133522,0.43484698365347985
whole,14:00-14:30,865,0.03709768026392287,0.03735248279724604,0.9919840750416787,1.0282539785916818,1.3752688278847318,0.18732853221934093,0.4876133797227574
whole,14:30-15:00,865,0.03735248279724604,0.03759677016676815,1.0455655412977214,0.9813613386450751,1.4671500243435482,0.1893545032255269,0.551079133721572
whole,15:00-15:30,865,0.03759677016676815,0.03699113736754348,0.8452026642572963,0.8255785148414108,1.5098785753553496,0.20122031141535424,0.6150295695418019
daily_era,11:00-11:30,489,0.032408476504416125,0.03277504626427399,1.0107706170035484,1.0383427711572637,1.096393064923399,0.20128898374490165,0.038404192781697766
daily_era,11:30-12:00,489,0.03277504626427399,0.03335042138072947,1.0144075441585605,1.0379922695308055,1.1361799088079503,0.18054964108381988,0.20767500422982588
daily_era,12:00-12:30,489,0.03335042138072947,0.03361608817265432,1.0061391592128022,1.0367817381534992,1.1554561326147323,0.16847646363718138,0.2886752525818068
daily_era,12:30-13:00,489,0.03361608817265432,0.03392413832328558,1.0073524958675724,1.0341430338536646,1.2018208711176708,0.15560809756419444,0.3445835006981249
daily_era,13:00-13:30,489,0.03392413832328558,0.03454021167219069,1.0123978229334745,1.038508786327757,1.2745217589795357,0.1805951655370122,0.3838788945949803
daily_era,13:30-14:00,489,0.03454021167219069,0.03437282310063082,0.97282379780148,1.008413409677105,1.2764643668911488,0.1683207708557634,0.44180633567050337
daily_era,14:00-14:30,489,0.03437282310063082,0.03444335185323154,0.9813111631267477,1.0163348437056086,1.399985039588943,0.18657907581962174,0.5108738598956462
daily_era,14:30-15:00,489,0.03444335185323154,0.034747196375748954,1.083966356077825,0.9648917864015835,1.5035073857763184,0.19698572053259195,0.578493658849487
daily_era,15:00-15:30,489,0.034747196375748954,0.03409554437898986,0.7972274726316353,0.6857847344368547,1.5439708839603854,0.19739783629730634,0.6473205493247911
