book,sample,cadence_min,N_sub,source,n,mean_gross,sd_gross,Sharpe_gross,turnover,notional_pts,cost_prem_0.2bp,mean_net_0.2bp,Sharpe_net_0.2bp,cost_prem_0.5bp,mean_net_0.5bp,Sharpe_net_0.5bp,cost_prem_1bp,mean_net_1bp,Sharpe_net_1bp,MaxDD_gross,worst_day_gross,worst_date_gross,MaxDD_net_headline,worst_day_net_headline
exit_1530_crossed,whole,30,1.0,built (the tape),865,0.04590784013473822,0.3235290821279116,2.252546709416487,2.055879436038417,8450.398636211392,0.010921810173229551,0.034986029961508666,1.708878643902667,0.027304525433073885,0.018603314701664337,0.9020325604270627,0.05460905086614777,-0.008701210731409548,-0.41622121013513214,-6.070172381929874,-2.2028675866604797,2024-04-04,-8.274990354502343,-2.2761817177013297
exit_1530_crossed,whole,15,2.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.034536342078526926,0.23516202795463056,2.331360376376748,2.779441574270081,11423.069770390564,0.0147855743137119,0.019750767764815026,1.3257108523479082,0.03696393578427975,-0.002427593705752827,-0.1612584560871361,0.0739278715685595,-0.03939152949003257,-2.5597654992168404,-4.344821762907079,-1.0922618293810977,2023-07-27,-8.162208882151349,-1.174583907327613
exit_1530_crossed,whole,10,3.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.030745842726456488,0.22005771934088764,2.2179413822960647,3.321557551445303,13650.347859126565,0.01768286797634393,0.013062974750112555,0.9372255947563795,0.04420716994085983,-0.013461327214403337,-0.9549818362491774,0.08841433988171966,-0.05766849715526316,-3.98443647364251,-3.93492624763146,-0.9145997004322655,2023-07-27,-12.00586300441912,-1.0087327716456291
exit_1530_crossed,whole,5,6.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.02695534337438606,0.21526738051698927,1.9877735744738068,4.518270037057916,18567.32271987532,0.024084118490589113,0.002871224883796947,0.2106879811672638,0.060210296226472775,-0.03325495285208672,-2.407323710970819,0.12042059245294555,-0.0934652490785595,-6.517474483466427,-3.6152076164591387,-0.9497157302876835,2024-03-06,-28.80706116005452,-1.0574405643587999
exit_1530_crossed,whole,3,10.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.02543914363355789,0.2164421912992913,1.8657817281412805,5.682578362927046,23351.615952839165,0.03031766044899505,-0.0048785168154371564,-0.3559603697851901,0.07579415112248761,-0.05035500748892973,-3.610236101724389,0.15158830224497521,-0.12614915861141734,-8.585563363208392,-3.487320163990211,-0.9998989435299162,2024-03-06,-43.5570814779242,-1.1389849889978245
exit_1530_crossed,whole,2,15.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.024681043763143794,0.21768839241846744,1.7998177073930348,6.827264350805009,28055.744913203634,0.036450366049835294,-0.011769322286691489,-0.8532437723495968,0.09112591512458823,-0.06644487136144442,-4.707454647483939,0.18225183024917646,-0.15757078648603262,-10.40778257707614,-3.4233764377557554,-1.0249905501510326,2024-03-06,-57.474813727649426,-1.1953489680739346
exit_1530_crossed,whole,1,30.0,built (the bound),865,0.02316484402231563,0.2214613176406539,1.6604728201453869,9.372893745586069,38518.74529349966,0.05010036200574333,-0.026935517983427706,-1.9141045458977288,0.12525090501435834,-0.1020860609920427,-6.9710546706232215,0.2505018100287167,-0.22733696600640105,-13.783127068697725,-3.2954889852868283,-1.0751737633932652,2024-03-06,-88.30444275811709,-1.3161295826542654
exit_1530_crossed,whole,1,30.0,INTERPOLATION formula at N = 30 (diagnostic),865,0.023922943892729715,0.21936468997076203,1.7312036912727504,9.372893745586069,38518.74529349966,0.05010036200574333,-0.026177418113013624,-1.8781296652927582,0.12525090501435834,-0.10132796112162863,-6.982890382201337,0.2505018100287167,-0.22657886613598696,-13.84212809337747,-3.3594327115212854,-1.0500821567721488,2024-03-06,-87.64868637020872,-1.291037976033149
exit_1530_crossed,daily_era,30,1.0,built (the tape),489,0.053293323690799435,0.33663382173958073,2.5131321677178398,2.1241286608815755,9110.18219552825,0.011004170518465415,0.04228915317233402,1.9855459266650373,0.02751042629616354,0.0257828973946359,1.202240028308802,0.05502085259232708,-0.001727528901527647,-0.07956243245017251,-2.4206059081086444,-2.2028675866604797,2024-04-04,-3.0996820336841573,-2.2761817177013297
exit_1530_crossed,daily_era,15,2.0,"INTERPOLATION (1/N variance, log-linear turnover)",489,0.04291924440530353,0.22909542503597008,2.9739654679897107,2.867634346209622,12301.445880044977,0.014883982765903685,0.028035261639399837,1.9323015789384501,0.03720995691475921,0.005709287490544303,0.38979401873973785,0.07441991382951842,-0.03150066942421491,-2.109115216373175,-1.8115339782866702,-1.0922618293810977,2023-07-27,-4.933230628680336,-1.174583907327613
exit_1530_crossed,daily_era,10,3.0,"INTERPOLATION (1/N variance, log-linear turnover)",489,0.03946121797680487,0.21187752257537448,2.956554369598945,3.4244031547535854,14691.866482249148,0.017793752146263775,0.02166746583054111,1.6161377051031762,0.04448438036565943,-0.0050231623888545495,-0.3712058866799489,0.08896876073131886,-0.04950754275451397,-3.579396292696821,-1.7773186781046277,-0.9145997004322655,2023-07-27,-7.59609869550609,-1.0087327716456291
exit_1530_crossed,daily_era,5,6.0,"INTERPOLATION (1/N variance, log-linear turnover)",489,0.036003191548306245,0.2089084571469255,2.7358056981230083,4.652967561488433,19968.276379935174,0.02422499222015214,0.011778199328154106,0.8925890519750196,0.06056248055038034,-0.024559289002074103,-1.8442488439950113,0.12112496110076068,-0.08512176955245446,-6.216343826713856,-1.7542565544554076,-0.9497157302876835,2024-03-06,-13.630462704831572,-1.0574405643587999
exit_1530_crossed,daily_era,3,10.0,"INTERPOLATION (1/N variance, log-linear turnover)",489,0.03461998097690679,0.21194133077792754,2.5930532677835254,5.847914244972684,25102.246124254918,0.030491563524423452,0.004128417452483346,0.3086227536252475,0.07622890881105862,-0.04160892783415182,-3.0763793573372045,0.15245781762211724,-0.11783783664521043,-8.385656487898473,-1.8467664630446645,-0.9998989435299162,2024-03-06,-21.238241387451264,-1.1389849889978245
exit_1530_crossed,daily_era,2,15.0,"INTERPOLATION (1/N variance, log-linear turnover)",489,0.03392837569120707,0.214331325498159,2.5129143654199293,7.0225704527357005,30150.639513071354,0.03666064373162447,-0.0027322680404174085,-0.20201390553546272,0.09165160932906118,-0.05772323363785411,-4.206194661202881,0.18330321865812235,-0.14937484296691528,-10.327696932804702,-1.9640248893666072,-1.0249905501510326,2024-03-06,-28.481156523422147,-1.1953489680739346
exit_1530_crossed,daily_era,1,30.0,built (the bound),489,0.03254516511980761,0.22076387942075856,2.3402310244901754,9.634731345220535,41381.90840127837,0.05040512250594894,-0.01785995738614133,-1.2805543891174196,0.12601280626487235,-0.09346764114506474,-6.520695566166675,0.2520256125297447,-0.21948044740993708,-13.92574740653757,-2.2041047888320016,-1.0751737633932652,2024-03-06,-45.72470575409763,-1.3161295826542654
exit_1530_crossed,daily_era,1,30.0,INTERPOLATION formula at N = 30 (diagnostic),489,0.03323677040550734,0.21727963091707245,2.4282873227859767,9.634731345220535,41381.90840127837,0.05040512250594894,-0.017168352100441608,-1.2511149799577543,0.12601280626487235,-0.092776035859365,-6.576532539528304,0.2520256125297447,-0.21878884212423735,-14.077262731385275,-2.08361903721147,-1.0500821567721488,2024-03-06,-45.383594049142125,-1.291037976033149
hold_settlement_crossed,whole,30,1.0,built (the tape),865,0.08764943962539411,0.38839747325579227,3.5823912734402135,2.3527384483566958,9667.025734118042,0.012479247986398297,0.07517019163899581,3.061495674264937,0.03119811996599574,0.05645131965939836,2.2858143511286637,0.06239623993199148,0.025253199693402624,1.0114052827884268,-3.8029384196495997,-2.3155274867929365,2023-11-30,-6.009831897124826,-2.3856820011065767
hold_settlement_crossed,whole,15,2.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.08462798713836213,0.27320174447278667,4.917346520378061,3.1748645176060917,13043.906073291737,0.01688099968693904,0.06774698745142309,3.9180112525679265,0.042202499217347596,0.042425487921014526,2.431763172392328,0.08440499843469519,0.00022298870366692776,0.012533126534102323,-1.7531476052032673,-1.5868007749353938,2023-11-30,-3.838887573018056,-1.6790745807877268
hold_settlement_crossed,whole,10,3.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.08362083630935147,0.25212832420916476,5.264936527660676,3.7900885665427437,15570.911051253146,0.020180677768787268,0.06344015854056419,3.9760126806105,0.05045169442196815,0.0331691418873833,2.0579057743217195,0.1009033888439363,-0.01728255253458486,-1.0459585050976032,-1.596119191938996,-1.3438918709828793,2023-11-30,-6.730076718294729,-1.4522102905718894
hold_settlement_crossed,whole,5,6.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.0826136854803408,0.2442645572016712,5.368980318115361,5.146605528010764,21142.774618565923,0.02746928406644795,0.055144401413892846,3.568713381957084,0.06867321016611988,0.01394047531422092,0.8906131488029335,0.13734642033223976,-0.05473273485189896,-3.3684600770206727,-1.4838595426792338,-1.1009829670303652,2023-11-30,-12.363836371262098,-1.2434535252998358
hold_settlement_crossed,whole,3,10.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.08221082514873654,0.24517447268778156,5.322970112748069,6.464886587817053,26557.70736826705,0.03456587301064845,0.04764495213808809,3.071332907729245,0.0864146825266211,-0.004203857377884582,-0.26635721147547314,0.1728293650532422,-0.0906185399045057,-5.442201486350663,-1.4620393407747532,-1.0931017641040521,2021-01-06,-17.64568155254233,-1.2013649477547181
hold_settlement_crossed,whole,2,15.0,"INTERPOLATION (1/N variance, log-linear turnover)",865,0.0820093949829344,0.24650195767008606,5.281332440842764,7.759909090414016,31877.266017817015,0.04154732794949181,0.04046206703344261,2.5925933383143094,0.10386831987372949,-0.0218589248907951,-1.3684771719644204,0.20773663974745898,-0.12572724476452463,-7.3140767400389075,-1.498375079877242,-1.1243661032176278,2021-01-06,-24.41274844186798,-1.2677978145387225
