book,sample,leg,comparison,n_days,Sharpe_dense,Sharpe_30,diff,ci_lo,ci_hi,excludes_zero,B,block,seed
exit_1530_crossed,whole,gross,1 minute - 30 minute,865,1.6604728201453869,2.252546709416487,-0.5920738892711002,-1.7988891838733914,0.5023943962450101,False,2000,21,0
exit_1530_crossed,whole,net 0.5 bp,1 minute - 30 minute,865,-6.9710546706232215,0.9020325604270627,-7.873087231050285,-9.661611858429008,-6.089473888432776,True,2000,21,0
exit_1530_crossed,daily_era,gross,1 minute - 30 minute,489,2.3402310244901754,2.5131321677178398,-0.17290114322766437,-1.8793693217762726,1.2912051859252311,False,2000,21,0
exit_1530_crossed,daily_era,net 0.5 bp,1 minute - 30 minute,489,-6.520695566166675,1.202240028308802,-7.722935594475477,-10.698864763516836,-5.1695572742592875,True,2000,21,0
hold_settlement_crossed,whole,gross,1 minute - 30 minute,865,5.1641760137240045,3.5823912734402135,1.581784740283791,0.34156890700913156,2.7931635110056003,True,2000,21,0
hold_settlement_crossed,whole,net 0.5 bp,1 minute - 30 minute,865,-3.679901594520411,2.2858143511286637,-5.965715945649075,-7.540118367537543,-4.494504050879816,True,2000,21,0
hold_settlement_crossed,daily_era,gross,1 minute - 30 minute,489,4.651317252369178,3.3233348969887193,1.3279823553804584,-0.19751791792896575,2.842003828937949,False,2000,21,0
hold_settlement_crossed,daily_era,net 0.5 bp,1 minute - 30 minute,489,-4.190772333009403,2.0752834573280015,-6.266055790337404,-8.770624656498995,-4.093823722901553,True,2000,21,0
