sample,window,model,n_days,QLIKE,d_vs_P,ci_lo,ci_hi,t_hac,improves,bias_mean_y_over_mean_f
long,250,P,6190,0.15352461878400084,0.0,0.0,0.0,,False,0.9822488112830641
long,250,D,6190,0.15126479173566398,-0.0022598270483368582,-0.0031687835521596497,-0.0013693887544517632,-4.777668132053359,True,0.972713491676093
long,250,C,6190,0.15249946508495354,-0.001025153699047265,-0.002222791531496119,0.00020441617253989217,-1.664220285997688,False,0.9689346111395207
long,250,S10,6190,0.15004731131846297,-0.003477307465537873,-0.0045228829164360015,-0.0024246303158587217,-6.604905905297098,True,0.9743878518969461
long,250,S30,6190,0.14966217645440422,-0.003862442329596653,-0.0048173350581999196,-0.002899770604033079,-7.845341973129668,True,0.9767655548853195
long,250,S100,6190,0.1498208499893262,-0.0037037687946746044,-0.004554097759499874,-0.0028158062254508907,-8.152499727825546,True,0.9791044512419818
long,250,S300,6190,0.15029551426344193,-0.00322910452055891,-0.004022860656331002,-0.002420121383717611,-7.67679032550878,True,0.9805161952363823
long,250,S1000,6190,0.15081637754889524,-0.0027082412351055927,-0.0033998337238174813,-0.0019755426912044507,-7.138009756447321,True,0.9816331219617684
long,250,CP0,6190,0.1545896252577861,0.0010650064737852587,-0.0003157633713514718,0.002682239927846977,1.3914294201582953,False,0.9664782830523648
long,250,CP10,6190,0.15297643006792724,-0.0005481887160736123,-0.0019350012867105837,0.0010392895128915243,-0.728283726765936,False,0.9814463483926648
long,250,CP30,6190,0.15413677040179907,0.0006121516177982004,-0.0010333020182182883,0.0024754848770410114,0.7018675008113644,False,0.9972513604515386
long,250,CP100,6190,0.16244499476089475,0.008920375976893918,0.006264385877452655,0.01194368668929892,6.425910988875195,False,1.0257235511940355
long,250,CP300,6190,0.18456462583199348,0.03104000704799265,0.025994035872888618,0.03709477406043902,11.05289560396702,False,1.0644601521133976
long,250,CP1000,6190,0.2467590623007298,0.09323444351672891,0.07856652726397395,0.11087525265711813,10.91028141084154,False,1.0931783709542997
long,250,C+clock smear,6190,0.15195428782917456,-0.0015703309548262831,-0.0029155215326008353,-0.0001068611472663055,-2.220802585755468,True,0.9717423605191913
long,250,D+clock smear,6190,0.15073682173241226,-0.002787797051588575,-0.003998879661736776,-0.001673649944504856,-4.7000230958756,True,0.9728377058323986
long,250,Ssel,6190,0.14969715874190526,-0.0038274600420956048,-0.004681750571878481,-0.0029375183652905097,-8.466716736226296,True,0.9785757710646321
long,250,CPsel,6190,0.1512053215099619,-0.0023192972740389427,-0.0035688836190933006,-0.001076230362572267,-3.6037998959828137,True,0.9853168830660191
long,250,Csel+clock smear,6190,0.15020484562484884,-0.0033197731591519753,-0.004542531857939911,-0.0021939763719081543,-5.646890564531508,True,0.9766037732506972
long,1000,P,6190,0.15332791428463932,0.0,0.0,0.0,,False,0.9793372720369241
long,1000,D,6190,0.15179150725962992,-0.0015364070250093692,-0.0024157982934951785,-0.0006675611368603034,-3.515327873699812,True,0.9725296103552539
long,1000,C,6190,0.14982672340662756,-0.003501190878011727,-0.00471023447259717,-0.002089718050225846,-5.390548981893817,True,0.9720988283444938
long,1000,S10,6190,0.14940558156863212,-0.0039223327160071535,-0.005090842147958138,-0.002575591691992698,-6.379008705045078,True,0.973732010641939
long,1000,S30,6190,0.1492285766528902,-0.004099337631749098,-0.0052011508201883225,-0.0028405851785151736,-7.024740709556829,True,0.9747845159342808
long,1000,S100,6190,0.149241796492916,-0.00408611779172329,-0.005094759721297103,-0.003010172432732957,-7.718327265072742,True,0.9759856422538986
long,1000,S300,6190,0.14958760236033078,-0.0037403119243085326,-0.004636531680160239,-0.002835537160648477,-7.970802504168876,True,0.976779632765322
long,1000,S1000,6190,0.15022644038868244,-0.0031014738959568716,-0.0038723451842490202,-0.002294677081672336,-7.5017498012239745,True,0.9771980856092805
long,1000,CP0,6190,0.14993804572110153,-0.0033898685635377537,-0.004698563113861264,-0.0019289774036168376,-4.848518700172681,True,0.9720794603111214
long,1000,CP10,6190,0.15001498635525468,-0.0033129279293846077,-0.004675450546405831,-0.0017969824691136044,-4.590754578730584,True,0.975369236989056
long,1000,CP30,6190,0.15044916081789358,-0.002878753466745712,-0.004296055939640916,-0.001224482048406613,-3.763834037377701,True,0.9804811834665327
long,1000,CP100,6190,0.15269801591273488,-0.0006298983719044133,-0.002304292142337381,0.0013180423039129603,-0.6927564609861063,False,0.992965145537367
long,1000,CP300,6190,0.15955170389417975,0.006223789609540462,0.003903269572489818,0.00885490104776826,4.9453337298460855,False,1.0143387188952093
long,1000,CP1000,6190,0.17799754383670674,0.024669629552067404,0.020728010136331486,0.029201609155146087,11.118358314131697,False,1.0541272345925135
long,1000,C+clock smear,6190,0.1485021672206216,-0.0048257470640177295,-0.006181723867350078,-0.0034256812071900605,-7.004974620698043,True,0.9731142572239232
long,1000,D+clock smear,6190,0.14968578890352766,-0.0036421253811116374,-0.004776459632015967,-0.002543903810586595,-6.507663880392635,True,0.9717465040007613
long,1000,Ssel,6190,0.14806783686831262,-0.005260077416326663,-0.00611063758928762,-0.004394409984735707,-12.138497224253735,True,0.9797953387578968
long,1000,CPsel,6190,0.15014287084946543,-0.003185043435173857,-0.004716464448457358,-0.0010474474322532653,-3.377244195858921,True,0.9819452423642728
long,1000,Csel+clock smear,6190,0.14800777277941687,-0.005320141505222428,-0.006576732576939905,-0.004155589137338098,-8.723172370218384,True,0.9833337690367623
long,expanding,P,6190,0.15401332471723977,0.0,0.0,0.0,,False,0.9874560105616704
long,expanding,D,6190,0.1523602524306055,-0.0016530722866342762,-0.002054458533557446,-0.0012450534109486346,-7.941258023249023,True,0.9816760104453386
long,expanding,C,6190,0.1495229793915627,-0.0044903453256770545,-0.005304944826737129,-0.003616656013950203,-10.690386058117104,True,0.9850590984263633
long,expanding,S10,6190,0.14943613898284785,-0.004577185734391897,-0.005379189750401232,-0.0037304971150671144,-11.159864669068075,True,0.9855504365031382
long,expanding,S30,6190,0.14941902214250075,-0.004594302574739022,-0.0053772694474378616,-0.003774854457172855,-11.505557250530993,True,0.985771765848137
long,expanding,S100,6190,0.149472398253477,-0.004540926463762802,-0.005297807583058383,-0.0037785718734063014,-12.042870345194695,True,0.9860543746500884
long,expanding,S300,6190,0.1496674957014043,-0.004345829015835441,-0.005038829752327083,-0.003652417127854072,-12.621774155868172,True,0.9864265924269043
long,expanding,S1000,6190,0.15011778710715487,-0.0038955376100849285,-0.004495343281777334,-0.0033005293496535266,-12.968693268721621,True,0.9869835003998287
long,expanding,CP0,6190,0.14955365811459068,-0.004459666602649114,-0.005438225296055458,-0.0034437542420763896,-8.733820700817413,True,0.9865862838718731
long,expanding,CP10,6190,0.14959483148787375,-0.004418493229366018,-0.0053988463040557,-0.00339559293551412,-8.704203255219403,True,0.9882263939329625
long,expanding,CP30,6190,0.14979818338104664,-0.004215141336193128,-0.005199500592357524,-0.0032004638865505645,-8.297961330870024,True,0.9908119637123965
long,expanding,CP100,6190,0.150785746004834,-0.0032275787124058106,-0.004190388996981368,-0.0021387455533737154,-6.048493364449054,True,0.9975790264692183
long,expanding,CP300,6190,0.15385721926738224,-0.000156105449857508,-0.0013675886095529067,0.0012331458876800136,-0.23186810348093825,False,1.0109409778533665
long,expanding,CP1000,6190,0.1633354220848193,0.009322097367579503,0.007134036840242966,0.01174788653659963,7.5325259636927395,False,1.0386035446680617
long,expanding,C+clock smear,6190,0.14830549068355514,-0.005707834033684663,-0.0070638707327096845,-0.004341373133736196,-8.620312168672324,True,0.9847239018809673
long,expanding,D+clock smear,6190,0.15018963391393844,-0.003823690803301352,-0.004958413815096336,-0.002763795486845826,-6.919936442473363,True,0.9803858439934314
long,expanding,Ssel,6190,0.14941024341424017,-0.004603081302999594,-0.0053492914362053235,-0.0038493653724136845,-12.27151168972779,True,0.9849119164597668
long,expanding,CPsel,6190,0.1498532158874153,-0.004160108829824486,-0.00502566560289331,-0.003253721964187557,-9.394717771790264,True,0.9876022145693181
long,expanding,Csel+clock smear,6190,0.14859824554437087,-0.0054150791728689055,-0.0066946539272919455,-0.004167548338687429,-8.57250592217055,True,0.9849396983086205
deck,250,P,1087,0.18246170589701813,0.0,0.0,0.0,,False,0.9407357757341837
deck,250,D,1087,0.1804748624568651,-0.0019868434401530783,-0.004777068720847486,0.0006533608171012545,-1.480870303949205,False,0.9214116364719858
