forecast,window,map,n_days,QLIKE,d_vs_production,ci_lo,ci_hi,improves,QLIKE_14:00,QLIKE_14:30,QLIKE_15:00,QLIKE_15:30
blk2,-,production,738,0.1814863476167273,0.0,0.0,0.0,False,0.5182515787083322,0.23446254835142272,0.1281778824777405,0.09789774189943119
blk2,250,pooled,738,0.1824251778163811,0.0009388301996538036,-0.0003528122484561274,0.0022026821968690663,False,0.5169017616900738,0.23813939805688394,0.13040315776622044,0.1006013040674073
blk2,250,per clock,738,0.18495593605086819,0.003469588434140893,0.0014235052246548386,0.005604829170058113,False,0.5320886923760314,0.23848052788548021,0.13188776356971443,0.10239355542076355
blk2,250,clock intercept,738,0.18548232111133264,0.0039959734946053435,0.0016891282073224262,0.006507549275013734,False,0.5392428940118774,0.23928750334470913,0.13306182727513652,0.10394896851253968
blk2,250,per clock+clock smear,738,0.18329815138155298,0.0018118037648256786,-0.0006536891993669969,0.004352175763608022,False,0.5088932464742026,0.23759235954708055,0.1302434843787183,0.10011459478722204
blk2,expanding,pooled,738,0.18194862406829504,0.0004622764515677209,-0.0002112740764901485,0.0011629595616305445,False,0.5185043800687674,0.2361946115048216,0.1286351940355078,0.09906973823075692
blk2,expanding,per clock,738,0.1830229821892057,0.0015366345724784067,0.0001712886605386933,0.0028805348574637434,False,0.5248858584681433,0.2348353376257353,0.13042382458233684,0.10208281786212839
blk2,expanding,clock intercept,738,0.1830425177831565,0.0015561701664292048,0.00022648558021994732,0.0029486139086178213,False,0.5256806119535586,0.236121948262473,0.13031820636933508,0.10146392878013691
blk2,expanding,per clock+clock smear,738,0.18200366643206584,0.0005173188153385036,-0.0015866610526226144,0.002616960945258539,False,0.5076787607704184,0.2348940573056495,0.12835381469670593,0.09854743630594068
a0,-,production,738,0.19707462728451808,0.0,0.0,0.0,False,0.6691733337513086,0.28472497579437606,0.13604745395151766,0.1010826285480983
a0,250,pooled,738,0.19741727717315097,0.0003426498886329186,-0.001534898998369506,0.0022210866180719623,False,0.6536396304816574,0.28782062410835446,0.13679702032450397,0.10358896028153285
a0,250,per clock,738,0.20037646784306848,0.0033018405585504137,0.0009704038218925409,0.005645489803744929,False,0.6664557521615225,0.29068366128269635,0.14180461802031677,0.10550777507901944
a0,250,clock intercept,738,0.20274811198397316,0.0056734846994551,0.0028163481225216194,0.008622879334805043,False,0.6945722122448553,0.29252012120842547,0.14259333744588473,0.10755279466706275
a0,250,per clock+clock smear,738,0.19561818000005549,-0.001456447284462572,-0.005456908954641372,0.0024599233295554608,False,0.6199908256364626,0.28727188421447397,0.13964607924102715,0.10206524692025594
a0,expanding,pooled,738,0.19722651502873548,0.00015188774421741604,-0.0013919881625355558,0.0015480309298423704,False,0.658258555038911,0.28706763113129796,0.13601128320698283,0.10185023679633527
a0,expanding,per clock,738,0.19915861712862412,0.0020839898441060768,0.0004551822076342238,0.0037298805458802374,False,0.6686108235306172,0.28855319792242295,0.14074746327434656,0.10596025473784722
a0,expanding,clock intercept,738,0.19990565509259323,0.00283102780807519,0.0009954254158867383,0.004653186559611288,False,0.677553141324964,0.2893728678910986,0.14036042709376587,0.10584477461244982
a0,expanding,per clock+clock smear,738,0.195021358525717,-0.0020532687588010654,-0.00601234284028128,0.001470289162994777,False,0.6258652352008874,0.28658667035878255,0.13792988467419398,0.10115424810318052
xgb,-,production,738,0.19332833986008155,0.0,0.0,0.0,False,0.6755307745841576,0.27506571790279394,0.12470160724246979,0.09723292357808881
xgb,250,pooled,738,0.19449923244041506,0.0011708925803334837,-0.00048374722672321564,0.0029178972164906557,False,0.6677148253494984,0.2802085361581387,0.12853823659079483,0.09928912211582765
xgb,250,per clock,738,0.19739465100580567,0.004066311145724099,0.0013975565264239974,0.00699561165366872,False,0.6848330184040444,0.2807040516129401,0.13238546487698397,0.10069143728409598
xgb,250,clock intercept,738,0.2000933338481192,0.006764993988037626,0.003460498488646371,0.010233057851544762,False,0.7129963267854185,0.28227456684145236,0.13368772372187693,0.10465490311333352
xgb,250,per clock+clock smear,738,0.1920142958993151,-0.0013140439607664577,-0.005250724528413594,0.0025289766527680324,False,0.6308774603570676,0.2789517655348832,0.1285413673942122,0.09650948556791221
xgb,expanding,pooled,738,0.19376686019207176,0.000438520331990186,-0.0008096114673248038,0.0016992485943799847,False,0.6685995919902257,0.278775653407609,0.12685154681695476,0.09726314481931195
xgb,expanding,per clock,738,0.1960384061742359,0.0027100663141543324,0.0008720973166686235,0.004467029376387556,False,0.6836554771835399,0.27701114509878333,0.13230370562751823,0.10318433754673138
xgb,expanding,clock intercept,738,0.1970628138558016,0.0037344739957200527,0.0017061944334959057,0.005760091485899926,False,0.6940564666240024,0.2788457569666219,0.13221418877049324,0.10300695777485012
xgb,expanding,per clock+clock smear,738,0.19095782014525287,-0.002370519714828705,-0.006296394523515078,0.0011935195277145052,False,0.6317859285169307,0.276385244652613,0.12686878475695046,0.09562218030356283
lgbm,-,production,738,0.19056154999485933,0.0,0.0,0.0,False,0.6648873633526383,0.2698341944570382,0.12069885648471364,0.09562019784216362
lgbm,250,pooled,738,0.1916950167160559,0.0011334667211965828,-0.0003973625962965663,0.0027334985054585062,False,0.6599391358463861,0.2741401682354594,0.12397991331393972,0.09791321398110628
lgbm,250,per clock,738,0.19481996353996675,0.004258413545107422,0.0015903492599033061,0.007184981126810884,False,0.6777460911403016,0.27531221677878526,0.12769100960378696,0.09963425701562444
lgbm,250,clock intercept,738,0.19728091082097726,0.006719360826117949,0.003587175933739735,0.010048171667279537,False,0.7043962566857908,0.2765852648188456,0.12913075921185074,0.10300027036565534
lgbm,250,per clock+clock smear,738,0.18959605955120085,-0.0009654904436584546,-0.0048782849582800596,0.0028728099976885664,False,0.6237577549998308,0.27368317497686934,0.12416139000327067,0.09575416515234349
lgbm,expanding,pooled,738,0.19104508648342916,0.00048353648856984616,-0.0005899155704370774,0.00159336070287282,False,0.661423417215483,0.27256270555611817,0.12247348853124868,0.09625353432715543
lgbm,expanding,per clock,738,0.19362657530283886,0.00306502530797957,0.0012905940270275624,0.004803807196228102,False,0.6779583985126467,0.2720579945325364,0.1276928847689851,0.10166334693540868
lgbm,expanding,clock intercept,738,0.19448261497135677,0.003921064976497462,0.0019433100073509707,0.0059438523193444635,False,0.6876036256798175,0.2733061059572165,0.1274554252785537,0.10151526356116326
lgbm,expanding,per clock+clock smear,738,0.18853562299304383,-0.002025927001815511,-0.005816330007781223,0.0015205846469337114,False,0.6243329997144873,0.27129688333689045,0.12292893812183997,0.09491711322643995
