window,family,clock,P,S10,S30,S100,S300,S1000,C,CP0,CP10,CP30,CP100,CP300,CP1000
250,Ssel,10:00,0.1721072796934866,0.22697318007662834,0.1825287356321839,0.12,0.0389272030651341,0.10390804597701149,0.15555555555555556,,,,,,
250,Ssel,10:30,0.3158620689655172,0.09471264367816092,0.09149425287356322,0.13885057471264367,0.08398467432950192,0.1924904214559387,0.08260536398467433,,,,,,
250,Ssel,11:00,0.4407662835249042,0.11218390804597701,0.08659003831417625,0.07954022988505748,0.058084291187739466,0.15908045977011495,0.06375478927203065,,,,,,
250,Ssel,11:30,0.33379310344827584,0.1189272030651341,0.07969348659003832,0.09226053639846743,0.12689655172413794,0.1564750957854406,0.09195402298850575,,,,,,
250,Ssel,12:00,0.3995402298850575,0.1825287356321839,0.12919540229885057,0.05946360153256705,0.06452107279693486,0.08766283524904214,0.07708812260536399,,,,,,
250,Ssel,12:30,0.5831417624521072,0.029578544061302683,0.055019157088122606,0.08873563218390805,0.07846743295019157,0.11846743295019158,0.04659003831417625,,,,,,
250,Ssel,13:00,0.40597701149425286,0.15938697318007664,0.18068965517241378,0.04950191570881226,0.022988505747126436,0.10160919540229885,0.07984674329501916,,,,,,
250,Ssel,13:30,0.28015325670498087,0.1672030651340996,0.17655172413793102,0.0821455938697318,0.050268199233716476,0.06099616858237548,0.18268199233716476,,,,,,
250,Ssel,14:00,0.5026819923371647,0.1621455938697318,0.09961685823754789,0.019157088122605363,0.010727969348659003,0.016704980842911877,0.1889655172413793,,,,,,
250,Ssel,14:30,0.1757854406130268,0.11340996168582375,0.3025287356321839,0.1428352490421456,0.12398467432950191,0.07877394636015325,0.06268199233716475,,,,,,
250,Ssel,15:00,0.1728735632183908,0.2343295019157088,0.18911877394636015,0.1406896551724138,0.09241379310344827,0.08904214559386973,0.08153256704980844,,,,,,
250,Ssel,15:30,0.16628352490421455,0.14835249042145593,0.1699616858237548,0.15846743295019158,0.11187739463601533,0.1828352490421456,0.06222222222222222,,,,,,
250,CPsel,10:00,0.24950191570881225,,,,,,,0.09272030651340996,0.4335632183908046,0.2231417624521073,0.0010727969348659004,0.0,0.0
250,CPsel,10:30,0.534712643678161,,,,,,,0.06482758620689655,0.2110344827586207,0.1353256704980843,0.05409961685823755,0.0,0.0
250,CPsel,11:00,0.6450574712643679,,,,,,,0.10375478927203065,0.1704214559386973,0.07770114942528736,0.0030651340996168583,0.0,0.0
250,CPsel,11:30,0.7725670498084292,,,,,,,0.053946360153256705,0.11310344827586206,0.05210727969348659,0.008275862068965517,0.0,0.0
250,CPsel,12:00,0.5796168582375479,,,,,,,0.04045977011494253,0.19264367816091954,0.17088122605363984,0.016398467432950193,0.0,0.0
250,CPsel,12:30,0.7442145593869732,,,,,,,0.006130268199233717,0.072183908045977,0.12919540229885057,0.0389272030651341,0.009348659003831418,0.0
250,CPsel,13:00,0.5509578544061303,,,,,,,0.0015325670498084292,0.19402298850574712,0.16367816091954024,0.02007662835249042,0.06973180076628352,0.0
250,CPsel,13:30,0.4579310344827586,,,,,,,0.06681992337164751,0.1924904214559387,0.2548659003831418,0.01992337164750958,0.007969348659003832,0.0
250,CPsel,14:00,0.4715708812260536,,,,,,,0.18850574712643678,0.007203065134099617,0.03693486590038314,0.05241379310344828,0.13440613026819923,0.10896551724137932
