window,proxy,QLIKE_ridge,QLIKE_average,clocks_improving,clocks_t_proxy_gt2,hit_10:00,hit_13:00,hit_15:00,hit_15:30,hit_all_clocks,pct_buy_1530,Sharpe_mid_1530
1000,C,0.18175540154925593,0.16736881514877744,10,12,0.6712962962962963,0.6793981481481481,0.7268518518518519,0.6377314814814815,0.675733024691358,45.601851851851855,1.4896804235837742
1000,C+clock smear,0.18175540154925593,0.1648441919073513,11,12,0.6585648148148148,0.6516203703703703,0.75,0.6620370370370371,0.6720679012345679,36.9212962962963,1.6229898430341445
1000,CPsel,0.18175540154925593,0.16678223471583728,11,12,0.6527777777777778,0.6585648148148148,0.7199074074074074,0.6597222222222222,0.6715856481481481,36.45833333333333,1.3408423360139536
1000,P,0.18175540154925593,0.1671526605498073,10,12,0.6527777777777778,0.6689814814814815,0.7152777777777778,0.7106481481481481,0.6731288580246914,25.115740740740737,0.6784582835317539
1000,Ssel,0.18175540154925593,0.16625355768487649,11,12,0.6631944444444444,0.6712962962962963,0.7268518518518519,0.6793981481481481,0.6769868827160493,34.49074074074074,1.4009210911737855
expanding,C,0.18175540154925593,0.16716123423989906,10,12,0.6481481481481481,0.6655092592592593,0.7361111111111112,0.6967592592592593,0.6746720679012346,33.449074074074076,1.5416990703594418
expanding,C+clock smear,0.18175540154925593,0.1658568384095238,11,12,0.6585648148148148,0.6597222222222222,0.7557870370370371,0.6574074074074074,0.6721643518518519,35.995370370370374,1.4382914324405225
expanding,CPsel,0.18175540154925593,0.16869130824889558,11,12,0.6481481481481481,0.6689814814814815,0.7233796296296297,0.6863425925925926,0.6704282407407407,35.18518518518518,1.1877516839941062
expanding,P,0.18175540154925593,0.1682314877168015,10,12,0.6643518518518519,0.6689814814814815,0.7106481481481481,0.7129629629629629,0.6712962962962963,25.810185185185187,0.725865389782224
expanding,Ssel,0.18175540154925593,0.16707078421277224,11,12,0.6481481481481481,0.6678240740740741,0.7314814814814815,0.6967592592592593,0.6739969135802469,30.439814814814813,1.4074400324908176
