stage,forecast,window,n_days,hit_10:00,hit_13:00,hit_15:00,hit_15:30,hit_all_clocks,pct_buy_1530,Sharpe_mid_1530
first (proxy),P,250,864,0.6388888888888888,0.6631944444444444,0.6643518518518519,0.7037037037037037,0.6577932098765432,21.875,0.3162487276000159
first (proxy),D,250,864,0.6481481481481481,0.6678240740740741,0.6828703703703703,0.5925925925925926,0.6650270061728395,45.949074074074076,1.0134700999501172
first (proxy),C,250,864,0.6215277777777778,0.6504629629629629,0.6759259259259259,0.5659722222222222,0.6570216049382716,49.76851851851852,0.7384749506576989
first (proxy),C+clock smear,250,864,0.6180555555555556,0.6388888888888888,0.7291666666666666,0.6469907407407407,0.6617476851851852,35.18518518518518,0.889084742244728
first (proxy),Ssel,250,864,0.6423611111111112,0.6481481481481481,0.6863425925925926,0.6307870370370371,0.6624228395061729,40.74074074074074,1.0718741428085585
first (proxy),CPsel,250,864,0.6296296296296297,0.6296296296296297,0.6574074074074074,0.6284722222222222,0.6521026234567902,41.2037037037037,0.8724618914413081
first (proxy),Csel+clock smear,250,864,0.6296296296296297,0.6504629629629629,0.7280092592592593,0.6388888888888888,0.6630015432098766,35.532407407407405,0.7871781688484264
first (proxy),P,1000,864,0.6342592592592593,0.6701388888888888,0.6631944444444444,0.7048611111111112,0.6597222222222222,21.52777777777778,0.2583788529910676
first (proxy),D,1000,864,0.6527777777777778,0.6875,0.6817129629629629,0.5462962962962963,0.6618441358024691,57.291666666666664,0.7518738480554067
first (proxy),C,1000,864,0.6574074074074074,0.6840277777777778,0.6782407407407407,0.5763888888888888,0.6669560185185185,52.19907407407407,0.8573235115677916
first (proxy),C+clock smear,1000,864,0.6365740740740741,0.6608796296296297,0.7337962962962963,0.6226851851851852,0.6681134259259259,35.300925925925924,1.2512269008641788
first (proxy),Ssel,1000,864,0.65625,0.6805555555555556,0.6736111111111112,0.65625,0.667920524691358,33.7962962962963,0.9655369870703931
first (proxy),CPsel,1000,864,0.6273148148148148,0.6435185185185185,0.6678240740740741,0.6261574074074074,0.6556712962962963,36.574074074074076,0.500379913917451
first (proxy),Csel+clock smear,1000,864,0.6493055555555556,0.6666666666666666,0.7384259259259259,0.6284722222222222,0.6666666666666666,36.342592592592595,1.1320318183102316
first (proxy),P,expanding,864,0.6238425925925926,0.6666666666666666,0.6655092592592593,0.7037037037037037,0.65625,23.03240740740741,0.0889926220609133
first (proxy),D,expanding,864,0.6087962962962963,0.6678240740740741,0.7094907407407407,0.6770833333333334,0.6610725308641975,34.49074074074074,0.9171963856616933
first (proxy),C,expanding,864,0.6238425925925926,0.6689814814814815,0.6979166666666666,0.6840277777777778,0.665991512345679,32.175925925925924,0.5724649911803451
first (proxy),C+clock smear,expanding,864,0.6435185185185185,0.6516203703703703,0.7337962962962963,0.6180555555555556,0.6643518518518519,35.06944444444444,0.6310529724562295
first (proxy),Ssel,expanding,864,0.6261574074074074,0.6620370370370371,0.6921296296296297,0.6898148148148148,0.6627121913580247,29.28240740740741,0.6553299350547727
first (proxy),CPsel,expanding,864,0.6215277777777778,0.6527777777777778,0.6759259259259259,0.6990740740740741,0.6559606481481481,31.828703703703702,1.1020194215249544
first (proxy),Csel+clock smear,expanding,864,0.6400462962962963,0.6608796296296297,0.7337962962962963,0.6180555555555556,0.6616512345679012,37.38425925925926,0.5344701996473762
production,blk2,-,864,0.6388888888888888,0.6365740740740741,0.7314814814814815,0.6597222222222222,0.6493055555555556,39.93055555555556,1.3621143315065039
second,blk2 | production,-,738,0.6219512195121951,0.6246612466124661,0.7168021680216802,0.6639566395663956,0.6418247515808492,38.482384823848236,1.4254465994927308
second,blk2 | pooled,250,738,0.6246612466124661,0.6327913279132791,0.7127371273712737,0.6463414634146342,0.6352755194218609,39.15989159891599,1.3404291866663303
second,blk2 | per clock,250,738,0.573170731707317,0.6273712737127372,0.6856368563685636,0.6355013550135501,0.6366305329719963,44.3089430894309,0.9025105318657185
second,blk2 | clock intercept,250,738,0.5785907859078591,0.6233062330623306,0.6734417344173442,0.6097560975609756,0.6333559168925023,45.25745257452575,0.8145547503377188
second,blk2 | per clock+clock smear,250,738,0.5989159891598916,0.6395663956639567,0.7018970189701897,0.6693766937669376,0.6320009033423668,37.39837398373984,1.5342689618440448
second,blk2 | pooled,expanding,738,0.6205962059620597,0.6395663956639567,0.7140921409214093,0.6490514905149052,0.6418247515808492,38.88888888888889,1.2273243677569505
second,blk2 | per clock,expanding,738,0.5636856368563685,0.6273712737127372,0.6639566395663956,0.6355013550135501,0.6393405600722674,44.3089430894309,0.932461804519766
second,blk2 | clock intercept,expanding,738,0.5785907859078591,0.6300813008130082,0.6639566395663956,0.6314363143631436,0.6403568202348691,43.08943089430895,1.2108416562919002
second,blk2 | per clock+clock smear,expanding,738,0.5948509485094851,0.6449864498644986,0.6964769647696477,0.6788617886178862,0.636743450767841,37.80487804878049,1.6342637228806502
