window,proxy,clock,n_days,QLIKE_ridge,QLIKE_proxy,QLIKE_average,d_average_vs_ridge,ci_lo,ci_hi,improves,b_ridge,t_ridge,b_proxy,t_proxy
1000,P,10:00,864,0.16072670595907776,0.16405122615916123,0.151455893191863,-0.00927081276721478,-0.016703745517905735,-0.0024279735768747415,True,0.5039940191902368,8.071329916597946,0.4622265686538962,8.114958170629837
1000,P,10:30,864,0.1336195219805391,0.1278961490839211,0.12262176926525746,-0.010997752715281663,-0.015904163282117568,-0.00607248968562234,True,0.4192912088854427,6.242901184209431,0.5694424457084043,9.108754144692282
1000,P,11:00,864,0.14873927548421217,0.12263628098705455,0.1273479039720465,-0.021391371512165656,-0.0291003320058973,-0.01481714205019026,True,0.17133373606956437,3.0061728691403125,0.8394486613223109,14.535837550180569
1000,P,11:30,864,0.13195371818434212,0.10860062218319122,0.11220837066217335,-0.019745347522168753,-0.025938185215316715,-0.013791752904079432,True,0.20040522636838143,2.960344032288165,0.8257113254210999,13.587916998853272
1000,P,12:00,864,0.1384761387473531,0.13254536847153092,0.12760197880704596,-0.01087415994030717,-0.016935070779012403,-0.004934844069014377,True,0.34033950121129175,5.679164959369514,0.6904588672900663,11.630700267011155
1000,P,12:30,864,0.16350191995450125,0.14019236681304104,0.14337944997169152,-0.02012246998280973,-0.030859134003530738,-0.011045725608863178,True,0.22351114642755732,4.125320747792913,0.7825098866465547,14.426139360123395
1000,P,13:00,864,0.16879940362481316,0.16201633922808747,0.15454189902780457,-0.014257504597008615,-0.023582827897568093,-0.0029620836138791688,True,0.3285907490613619,4.020522740638311,0.6674356453552914,8.500921442138083
1000,P,13:30,864,0.18098710072565735,0.18420893026086316,0.1711872721685587,-0.009799828557098666,-0.021158240245674382,-7.659815048717589e-05,True,0.3790302081588909,6.142520749685846,0.6528695064596179,10.386587179573494
1000,P,14:00,864,0.484675562493117,0.5398191299317143,0.49526029338137445,0.010584730888257421,-0.011932745563275084,0.03339179352018971,False,0.37465093579604947,3.9831581787874097,0.6051600346747078,6.398910713661638
1000,P,14:30,864,0.23250934007925073,0.1753842259364547,0.18902973326227546,-0.04347960681697529,-0.05766462213182027,-0.03008135988782868,True,0.06028292314774464,1.1068960903589868,0.9858161609746223,16.769725454454726
1000,P,15:00,864,0.12703114250308853,0.11968743128761211,0.10940670348234571,-0.01762443902074282,-0.02844942317249195,-0.00822303895314029,True,0.35565137890218934,5.497084563540052,0.6253408845165275,9.223422695552578
1000,P,15:30,864,0.1100449888551186,0.14596298636465743,0.10179065940525105,-0.00825432944986755,-0.020904433499520893,0.0027977224895786514,False,0.5472152117936431,9.661473395842082,0.4175980974422877,8.310497397106328
1000,C,10:00,864,0.16072670595907776,0.16380051564002684,0.15301501380811222,-0.0077116921509655595,-0.01510153682901139,-0.0001837120225778149,True,0.4699573801962673,6.359475726457863,0.5119829213987858,7.355360707291289
1000,C,10:30,864,0.1336195219805391,0.13190797169297513,0.12357800969365246,-0.010041512286886668,-0.01565370489037433,-0.004549196320600086,True,0.43646050887060417,7.082035214069905,0.5508173825693811,9.743349197224013
1000,C,11:00,864,0.14873927548421217,0.125980670766959,0.12889951899696367,-0.01983975648724852,-0.029142300834859858,-0.012498481516508769,True,0.2067187616127969,3.5058643042131115,0.7982865123588193,13.276018903579093
1000,C,11:30,864,0.13195371818434212,0.11114258072410096,0.11304581683304825,-0.018907901351293853,-0.025232693493631893,-0.012707787025911129,True,0.20473644297964055,2.8374283001164686,0.8094075787202253,12.973604617691157
1000,C,12:00,864,0.1384761387473531,0.12867609600323088,0.12545829361541724,-0.013017845131935872,-0.018988380901510643,-0.007464604210730342,True,0.3049663228079208,5.470532491010826,0.720004989166616,13.351852730074286
1000,C,12:30,864,0.16350191995450125,0.14131402430179413,0.14355207836428382,-0.019949841590217395,-0.029032738460962656,-0.01224271940149572,True,0.23669230278059794,4.340021596647329,0.7451115575022351,14.282262165829081
1000,C,13:00,864,0.16879940362481316,0.15825024342451677,0.152193122154187,-0.016606281470626153,-0.02649836500867503,-0.004866931338929682,True,0.2555451750972747,3.3063444922584075,0.7318799634871905,9.972678534483855
1000,C,13:30,864,0.18098710072565735,0.17300909649117055,0.1661525849335224,-0.01483451579213499,-0.02550651194584081,-0.005768570123777713,True,0.3738430999633724,6.349212475203305,0.6484926459941363,10.909044914790567
1000,C,14:00,864,0.484675562493117,0.5690764402007956,0.5060812514021427,0.021405688909025562,-0.0012212452579114994,0.0441560011560937,False,0.38102084346335885,3.912916980192876,0.6022123763001195,6.147370319526408
1000,C,14:30,864,0.23250934007925073,0.165564974467399,0.18127234935353567,-0.05123699072571507,-0.06656980876314927,-0.03649776215818412,True,0.08103636588073215,1.5514499982627414,0.9181989884709321,17.41415989152189
1000,C,15:00,864,0.12703114250308853,0.11645219334584832,0.1097130081711113,-0.017318134331977236,-0.026571323105413037,-0.008880175784893885,True,0.3528193061259358,5.469778188094441,0.6339623304514597,9.05626738269609
1000,C,15:30,864,0.1100449888551186,0.12771418432641718,0.10546473445935273,-0.004580254395765866,-0.015034584297119192,0.0037870850768590997,False,0.5356452485306517,7.7560452593788405,0.4519274316365046,7.177605032505859
1000,C+clock smear,10:00,864,0.16072670595907776,0.1574954234605287,0.1514079696180549,-0.009318736341022874,-0.01674886777606818,-0.0026460824315425436,True,0.42655004457503964,5.254287087258878,0.5587632533778701,7.2678694607968755
1000,C+clock smear,10:30,864,0.1336195219805391,0.12711678019021963,0.12137088346704174,-0.012248638513497388,-0.017137403303007805,-0.007292245121077999,True,0.46568571301345685,7.584585214050659,0.5369753555336934,9.358986833775983
1000,C+clock smear,11:00,864,0.14873927548421217,0.12388495999638936,0.12764652428021084,-0.021092751204001364,-0.030001494394435436,-0.013945463647860793,True,0.20549455882489687,3.3642509711287043,0.7989441703619857,12.924601149427545
1000,C+clock smear,11:30,864,0.13195371818434212,0.10787607018201338,0.11116640837119611,-0.020787309813145995,-0.027099179665138466,-0.014749228093895646,True,0.19876103386583321,2.6772471177340176,0.7998953499720491,12.5185866553553
1000,C+clock smear,12:00,864,0.1384761387473531,0.12805674556601335,0.12480220503320082,-0.013673933714152318,-0.019871209448813838,-0.007546493543153321,True,0.29600990975920916,5.34697077693217,0.7339081434825514,13.623082665662412
1000,C+clock smear,12:30,864,0.16350191995450125,0.13936931285630708,0.14274184893855832,-0.020760071015942922,-0.02903418112240733,-0.013756592848236633,True,0.2214506309050449,4.220655443781094,0.7649182650375628,15.067466188844561
1000,C+clock smear,13:00,864,0.16879940362481316,0.15973189225920545,0.1535144483752504,-0.015284955249562769,-0.02475238758612908,-0.004361653282498908,True,0.3094929141239099,4.139196895026631,0.6853637556979348,9.955419555613867
