tag,surprise_tercile,s_rank_quintile,n,hit,mean_crossed,sum_crossed
sub_live_ridge,1,1,25,0.12,-0.5387900966425111,-13.469752416062779
sub_live_ridge,1,2,21,0.6190476190476191,0.6687194382126352,14.04310820246534
sub_live_ridge,1,3,14,0.2857142857142857,-0.07920901839537371,-1.1089262575352319
sub_live_ridge,1,4,17,0.4117647058823529,0.07716953749177392,1.3118821373601568
sub_live_ridge,1,5,20,0.25,-0.28115604276002826,-5.623120855200566
sub_live_ridge,2,1,9,0.3333333333333333,0.08166645266600615,0.7349980739940554
sub_live_ridge,2,2,10,0.4,-0.03886172790955038,-0.3886172790955038
sub_live_ridge,2,3,17,0.6470588235294118,0.5451875375175432,9.268188137798235
sub_live_ridge,2,4,6,0.3333333333333333,-0.0594922367302085,-0.356953420381251
sub_live_ridge,2,5,2,0.5,0.50844171046146,1.01688342092292
sub_live_ridge,3,1,15,0.13333333333333333,-0.4750844334420262,-7.126266501630393
sub_live_ridge,3,2,12,0.8333333333333334,1.012500200411005,12.150002404932062
sub_live_ridge,3,3,11,0.45454545454545453,0.012697271445871072,0.1396699859045818
sub_live_ridge,3,4,17,0.5882352941176471,0.42118899783202923,7.160212963144497
sub_live_ridge,3,5,11,0.5454545454545454,0.3687757772214089,4.056533549435498
blk2,1,1,21,0.42857142857142855,-0.017808453503548316,-0.37397752357451464
blk2,1,2,22,0.3181818181818182,0.395521524588222,8.701473540940883
blk2,1,3,17,0.35294117647058826,-0.1893854300541974,-3.2195523109213555
blk2,1,4,15,0.4,-0.1492512125231821,-2.2387681878477315
blk2,1,5,17,0.4117647058823529,0.07749009754395894,1.317331658247302
blk2,2,1,13,0.38461538461538464,0.29648813009903674,3.8543456912874774
blk2,2,2,17,0.4117647058823529,0.1467838890832105,2.495326114414578
blk2,2,3,14,0.35714285714285715,-0.13247961536835576,-1.8547146151569804
blk2,2,4,7,0.2857142857142857,0.12668981269493412,0.8868286888645388
blk2,2,5,2,1.0,0.9106908595134813,1.8213817190269626
blk2,3,1,9,0.4444444444444444,0.2563151407863116,2.306836267076805
blk2,3,2,11,0.45454545454545453,-0.1994902607386127,-2.1943928681247398
blk2,3,3,7,0.7142857142857143,1.024318923350324,7.170232463452269
blk2,3,4,11,0.2727272727272727,-0.13216337585805196,-1.4537971344385716
blk2,3,5,16,0.5625,0.5075058101112312,8.120092961779699
