,sign_crossed,s,label,"crossed_PRIMARY regime MZ sign(s_reg) [qlike_box63, expanding]","crossed_PRIMARY regime MZ sign(s_reg) [qlike_box63, expanding], exposure-matched","crossed_regime MZ sign(s_reg) [qlike_box63, trailing252]","crossed_regime MZ sign(s_reg) [qlike_ewm21, expanding]","crossed_regime MZ sign(s_reg) [qlike_ewm21, trailing252]","crossed_regime MZ sign(s_reg) [qlike_ewm42, expanding]","crossed_regime MZ sign(s_reg) [qlike_ewm42, trailing252]","crossed_regime MZ sign(s_reg) [qlike_ewm63, expanding]","crossed_regime MZ sign(s_reg) [qlike_ewm63, trailing252]",crossed_regime factor on rv_hat: sign(rv_hat x e^mean_T log(rv/rv_hat) - iv_var),crossed_regime factor on raw: sign(raw x e^mean_T log(rv/raw) - iv_var),"crossed_reference: sign(raw - iv_var), no recalibration","crossed_two-sided (a) long only in top tercile, short always, natural exposure","crossed_two-sided (a) long only in top tercile, short always, exposure-matched","crossed_two-sided (b) long always, short only outside top tercile, natural exposure","crossed_two-sided (b) long always, short only outside top tercile, exposure-matched","crossed_two-sided (c) both restrictions, natural exposure","crossed_two-sided (c) both restrictions, exposure-matched","crossed_two-sided (d) size 2/1/0.5 long, 0.5/1/2 short by tercile, natural exposure","crossed_two-sided (d) size 2/1/0.5 long, 0.5/1/2 short by tercile, exposure-matched","crossed_joint: skip Q1/Q5-of-s buys in the calm tercile, natural exposure","crossed_joint: skip Q1/Q5-of-s buys in the calm tercile, exposure-matched",tag
2021-08-11,-0.9184027438975662,-1.2811461541992173e-07,0.0,-0.9184027438975662,-0.8687593523355356,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-1.1213056756888888,-0.9184027438975662,-1.1213056756888888,-1.8368054877951323,-1.2016484499594322,-0.9184027438975662,-0.9184027438975662,sub_live_ridge
2021-08-13,-0.7647058328542755,-3.596252179141241e-07,0.0,-0.7647058328542755,-0.7233703824297201,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.9336524703453364,-0.7647058328542755,-0.9336524703453364,-1.529411665708551,-1.0005496878467155,-0.7647058328542755,-0.7647058328542755,sub_live_ridge
2021-08-16,-1.140891520837569,-4.308466461019421e-07,0.0,-1.140891520837569,-1.079221708900403,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.3929489498598224,-1.140891520837569,-1.3929489498598224,-2.281783041675138,-1.4927552609089687,-1.140891520837569,-1.140891520837569,sub_live_ridge
2021-08-18,-2.7942271523925766,-1.3929087315338385e-06,0.0,-2.7942271523925766,-2.6431878468578427,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-3.4115564069909365,-2.7942271523925766,-3.4115564069909365,-5.588454304785153,-3.65599814331739,-2.7942271523925766,-2.7942271523925766,sub_live_ridge
2021-08-20,-1.0,1.626886540671789e-08,0.0,1.0,0.9459459459459459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.5,-0.4610244988864143,0.0,0.0,sub_live_ridge
2021-08-23,1.4312065972222223,3.832621037596692e-08,0.0,-1.604864329604391,-1.5181149063825319,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,-1.604864329604391,0.0,0.0,1.4312065972222223,1.4312065972222223,0.0,0.0,0.7156032986111112,0.6598213042873052,0.0,0.0,sub_live_ridge
2021-08-25,-1.0,3.020916994606577e-08,0.0,1.0,0.9459459459459459,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.5,-0.4610244988864143,0.0,0.0,sub_live_ridge
2021-08-27,-0.7000557899500434,1.0058721035863917e-07,0.0,-0.7000557899500434,-0.7667277699452857,-0.7000557899500434,-0.7000557899500434,-0.7000557899500434,-0.7000557899500434,-0.7000557899500434,-0.7000557899500434,-0.7000557899500434,0.6684827261031643,0.6684827261031643,-0.7000557899500434,0.0,0.0,-0.7000557899500434,-0.7000557899500434,0.0,0.0,-0.3500278949750217,-0.32274286975425165,0.0,0.0,sub_live_ridge
2021-08-30,0.24377442533113913,-9.003145108083409e-08,0.0,0.24377442533113913,0.23059742936729377,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.29763156581127453,0.24377442533113913,0.29763156581127453,0.48754885066227827,0.3189571920220512,0.24377442533113913,0.24377442533113913,sub_live_ridge
2021-08-31,-0.09146577812232182,1.6215406587304494e-07,0.0,-0.09146577812232182,-0.100176804610162,-0.09146577812232182,-0.09146577812232182,-0.09146577812232182,-0.09146577812232182,-0.09146577812232182,-0.09146577812232182,-0.09146577812232182,0.025390625,0.025390625,-0.09146577812232182,0.0,0.0,-0.09146577812232182,-0.09146577812232182,0.0,0.0,-0.04573288906116091,-0.04216796452409937,0.0,0.0,sub_live_ridge
