s_rank_q,sign_buys,reg_buys,dropped,added,tag
1.0,49,31,18,0,sub_live_ridge
2.0,43,41,2,0,sub_live_ridge
3.0,42,42,0,0,sub_live_ridge
4.0,40,40,0,0,sub_live_ridge
5.0,33,33,0,0,sub_live_ridge
