tag,measure,edges,bins,bin,n_buys,hit,mean_crossed,share_long_pnl,rho_hit,rho_mean
sub_live_ridge,qlike_box63,expanding,3,1,124,0.3629032258064516,0.012649087176297756,0.06092875007511929,0.5,0.5
sub_live_ridge,qlike_box63,expanding,3,2,73,0.4520547945205479,0.17718314351334308,0.5024428387008352,,
sub_live_ridge,qlike_box63,expanding,3,3,100,0.43,0.11240110833901838,0.4366284112240455,,
sub_live_ridge,qlike_box63,expanding,5,1,87,0.3563218390804598,-0.11646845880354995,-0.3936125881908688,0.8999999999999998,0.3
sub_live_ridge,qlike_box63,expanding,5,2,51,0.4117647058823529,0.3421447428415679,0.6778310287007603,,
sub_live_ridge,qlike_box63,expanding,5,3,46,0.43478260869565216,0.12454576397944682,0.22255030340115092,,
sub_live_ridge,qlike_box63,expanding,5,4,79,0.4177215189873418,0.04293246216345298,0.13175111070419554,,
sub_live_ridge,qlike_box63,expanding,5,5,34,0.47058823529411764,0.27369327933112825,0.3614801453847625,,
sub_live_ridge,qlike_box63,trailing252,3,1,128,0.40625,0.07942069715204596,0.3371787193161629,0.5,0.5
sub_live_ridge,qlike_box63,trailing252,3,2,52,0.3269230769230769,0.013820483394682191,0.023836531974610838,,
sub_live_ridge,qlike_box63,trailing252,3,3,134,0.4552238805970149,0.14377030763042833,0.6389847487092263,,
sub_live_ridge,qlike_box63,trailing252,5,1,86,0.36046511627906974,-0.11965707104874279,-0.34131337828653513,0.19999999999999998,0.3
sub_live_ridge,qlike_box63,trailing252,5,2,55,0.4727272727272727,0.38367708727558464,0.6999145891028229,,
sub_live_ridge,qlike_box63,trailing252,5,3,31,0.3548387096774194,0.027799667831971152,0.028583657063625475,,
sub_live_ridge,qlike_box63,trailing252,5,4,33,0.42424242424242425,0.13688309621659484,0.14982360826995908,,
sub_live_ridge,qlike_box63,trailing252,5,5,109,0.44036697247706424,0.12806488097760316,0.4629915238501276,,
sub_live_ridge,qlike_ewm21,expanding,3,1,151,0.4105960264900662,0.11328474942068499,0.5673680655980642,0.5,0.5
sub_live_ridge,qlike_ewm21,expanding,3,2,93,0.3763440860215054,0.0064132678106163165,0.019782392602370198,,
