s_rank_q,sign_buys,reg_buys,dropped,added,tag
1.0,43,37,6,0,blk2
2.0,50,49,1,0,blk2
3.0,38,38,0,0,blk2
4.0,33,33,0,0,blk2
5.0,35,35,0,0,blk2
