entry,policy,days,mean_pts,sd,Sharpe,vs_hold,vs_hold_lo,vs_hold_hi,vs_P2,vs_P2_lo,vs_P2_hi,worst,buy_days_mean
10:00,P0 hold,864,1.0905277735827517,7.938662720013214,2.1806684993193253,0.0,0.0,0.0,-0.12027926130850419,-0.43565955067581763,0.18844827817057042,-48.80068994725224,0.9981668886275666
10:00,P2 buy g (neutral),864,1.11615386313384,7.70047611840714,2.3009477606278295,0.12027926130850419,-0.18844827817057053,0.4356595506758174,0.0,0.0,0.0,-48.80068994725224,1.0623435302859436
10:00,P7 buy g + 1 (net long one),864,1.1413516677978601,8.899455511263627,2.0358993879839127,-0.1447691113354126,-1.0180058142052268,0.6238408439262921,-0.2650483726439168,-0.9136532861306003,0.27499970670664725,-48.80068994725224,1.1254475976184464
10:00,P8 P7 + sell 1 - g on sell days,864,1.34762950910378,10.135602387344129,2.11067427723451,-0.06999422208481532,-1.1882989056299407,0.9231977900852154,-0.1902734833933195,-1.0902701131146135,0.6101802215435779,-56.312397160229715,1.1254475976184464
10:00,P9 buy g + the book's premium (net long its premium),864,1.2765875943708764,17.411623538054837,1.1638891551199473,-1.016779344199378,-2.4071561156869397,0.15857340186659877,-1.1370586055078822,-2.3504452606584456,-0.11754858693198626,-57.68325022493219,1.4641253963404344
10:00,P10 buy back the held legs + one straddle,864,0.9159584460718588,8.745088384224713,1.6626921214062604,-0.5179763779130648,-1.4071584957546173,0.2552552720576053,-0.638255639221569,-1.313482618043827,-0.09412262339571835,-48.80068994725224,0.5609845727741996
10:00,P7r control: P7 on SELL days,864,0.9125833244175036,10.27856396841685,1.4094197600670357,-0.7712487392522895,-1.9441437944146331,0.4901127632272372,-0.8915280005607937,-2.227329525035513,0.5089059290946953,-37.889102348196616,0.9981668886275666
10:00,P11 P7 + month-end override,864,1.3843092041415725,8.901337787747254,2.4687555819875873,0.288087082668262,-0.7104877921437446,1.201573300826687,0.1678078213597578,-0.6174773826215565,0.9242512148555988,-48.80068994725224,1.106109651694058
10:30,P0 hold,865,1.4865053480493218,7.69485007414168,3.066666746417187,0.0,0.0,0.0,0.1457477492128021,-0.16458090614792562,0.4553869776241737,-78.6340269883718,1.324783163647997
10:30,P2 buy g (neutral),865,1.3895040543393669,7.551627779510185,2.9209189972043847,-0.1457477492128021,-0.45538697762417374,0.16458090614792562,0.0,0.0,0.0,-78.6340269883718,1.0822799293731098
10:30,P7 buy g + 1 (net long one),865,1.4043837111420792,8.76359489930651,2.543921818170264,-0.5227449282469228,-1.4809610192553162,0.27500587771346524,-0.37699717903412067,-1.096462626475267,0.22111573331413195,-78.6340269883718,1.1194790713798903
