segment,estimator,train_win,back_transform,deck_days,pct_buy,Sharpe_mid,Sharpe_crossed,ridge_Sharpe_mid_same_days
bar1600,reclasso,500,clock,866,34.18013856812933,0.7524137647045399,0.27824798435345477,1.3383216004229939
bar1600,reclasso,500,raw,866,35.68129330254042,0.7428527955452733,0.2687682470991257,1.3383216004229939
bar1600,reclasso,2000,clock,866,34.98845265588915,1.428028940794276,0.9548587875162399,1.3383216004229939
bar1600,reclasso,2000,raw,866,35.33487297921478,1.4204465263772683,0.946524553176312,1.3383216004229939
none,reclasso,500,clock,866,28.17551963048499,1.0726040436693578,0.5916993632563258,1.3383216004229939
none,reclasso,500,pooled,866,36.027713625866056,0.9975380794554207,0.5248867188445635,1.3383216004229939
none,reclasso,500,raw,866,33.25635103926097,1.2777516848267114,0.8013454435124011,1.3383216004229939
none,reclasso,2000,clock,866,33.6027713625866,1.0066151844794808,0.531629631768618,1.3383216004229939
none,reclasso,2000,pooled,866,41.10854503464203,0.8349502921358463,0.36370806457545235,1.3383216004229939
none,reclasso,2000,raw,866,38.22170900692841,0.8324900530531911,0.35903263530288626,1.3383216004229939
