,cell  sign(c * rv_hat - iv) | mid,cell  sign(c * rv_hat - iv) | crossed,T0    sign(rv_hat - iv) | mid,T0    sign(rv_hat - iv) | crossed,always short | mid,always short | crossed,c
2020-01-03,-2.400097608566284,-2.60009765625,-2.400097608566284,-2.60009765625,2.400097608566284,2.200097680091858,0.9442931157433425
2020-01-06,-0.36997075378894806,-0.469970703125,-0.36997075378894806,-0.469970703125,0.36997075378894806,0.26997068524360657,0.9489802004975088
2020-01-08,10.424951195716858,10.349951207637787,10.424951195716858,10.349951207637787,-10.424951195716858,-10.499951183795929,0.9729541110689495
2020-01-10,-2.4499999284744263,-2.600000023841858,-2.4499999284744263,-2.600000023841858,2.4499999284744263,2.3000000715255737,0.9942271508100937
2020-01-13,-1.904882788658142,-2.029882788658142,-1.904882788658142,-2.029882788658142,-1.904882788658142,-2.029882788658142,0.9934430470774175
2020-01-15,1.6650390028953552,1.4900391101837158,1.6650390028953552,1.4900391101837158,-1.6650390028953552,-1.8400390148162842,0.9914163080102975
2020-01-17,-2.295117199420929,-2.420117139816284,-2.295117199420929,-2.420117139816284,-2.295117199420929,-2.420117139816284,0.9982082846187577
2020-01-21,-1.550000011920929,-1.75,-1.550000011920929,-1.75,1.550000011920929,1.350000023841858,0.9916324805479131
2020-01-22,-2.299999952316284,-2.450000047683716,-2.299999952316284,-2.450000047683716,2.299999952316284,2.150000035762787,0.9924859249131369
2020-01-24,3.924999952316284,3.6499998569488525,3.924999952316284,3.6499998569488525,3.924999952316284,3.6499998569488525,1.0211304327524142
2020-01-27,-1.6701172590255737,-1.8701171875,-1.6701172590255737,-1.8701171875,-1.6701172590255737,-1.8701171875,1.0186546002782295
2020-01-29,2.4000977277755737,2.150097608566284,2.4000977277755737,2.150097608566284,-2.4000977277755737,-2.650097608566284,1.0277195293885246
2020-01-31,7.329980373382568,6.879980564117432,7.329980373382568,6.879980564117432,7.329980373382568,6.879980564117432,1.0519085408461364
2020-02-03,3.305078148841858,3.1300781965255737,3.305078148841858,3.1300781965255737,-3.305078148841858,-3.480078101158142,1.0424439479551637
2020-02-05,-2.800000011920929,-3.0,-2.800000011920929,-3.0,2.800000011920929,2.600000023841858,1.0506156484766471
2020-02-07,-2.9749999046325684,-3.200000047683716,2.9749999046325684,2.75,2.9749999046325684,2.75,1.0428785274898404
2020-02-10,0.24008792638778687,0.14008784294128418,0.24008792638778687,0.14008784294128418,-0.24008792638778687,-0.3400878310203552,1.0415161508621613
2020-02-12,-1.574999988079071,-1.699999988079071,-1.574999988079071,-1.699999988079071,1.574999988079071,1.449999988079071,1.0313953485985674
2020-02-14,-2.834912121295929,-3.009912133216858,-2.834912121295929,-3.009912133216858,-2.834912121295929,-3.009912133216858,1.0305833467295207
2020-02-18,-1.725000023841858,-1.9000000357627869,-1.725000023841858,-1.9000000357627869,1.725000023841858,1.550000011920929,1.0333418327122823
2020-02-19,-1.675000011920929,-1.7999999523162842,-1.675000011920929,-1.7999999523162842,1.675000011920929,1.5499999821186066,1.0320429389895331
2020-02-21,2.200000047683716,1.9000000953674316,2.200000047683716,1.9000000953674316,2.200000047683716,1.9000000953674316,1.0223003204828067
2020-02-24,-6.110107183456421,-6.510107517242432,-6.110107183456421,-6.510107517242432,-6.110107183456421,-6.510107517242432,1.022472531577936
2020-02-26,7.939892292022705,7.289892673492432,7.939892292022705,7.289892673492432,7.939892292022705,7.289892673492432,0.9830909682937314
2020-02-28,-36.86997127532959,-38.61997032165527,-36.86997127532959,-38.61997032165527,-36.86997127532959,-38.61997032165527,1.2046431854574629
2020-03-02,40.57998037338257,39.62998056411743,40.57998037338257,39.62998056411743,-40.57998037338257,-41.52998065948486,1.6126004922082615
2020-03-04,2.6201171875,1.820117473602295,-2.6201171875,-3.420116901397705,-2.6201171875,-3.420116901397705,1.7627040296723773
2020-03-06,26.420117378234863,24.97011661529541,-26.420117378234863,-27.8701171875,-26.420117378234863,-27.8701171875,1.7018742385770407
2020-03-09,-0.5100584030151367,-1.9600582122802734,0.5100584030151367,-0.93994140625,0.5100584030151367,-0.93994140625,1.7770190584167165
2020-03-11,-18.670117378234863,-20.420116424560547,18.670117378234863,16.920117378234863,18.670117378234863,16.920117378234863,1.73883390960792
2020-03-13,-78.3700180053711,-85.22001838684082,-78.3700180053711,-85.22001838684082,-78.3700180053711,-85.22001838684082,1.4412472912860668
2020-03-16,28.270118713378906,25.3701171875,-28.270118713378906,-31.17011833190918,-28.270118713378906,-31.17011833190918,1.812033061814942
2020-03-18,30.500097274780273,28.200098037719727,30.500097274780273,28.200098037719727,-30.500097274780273,-32.80009651184082,1.740329878438142
2020-03-20,-0.5699214935302734,-9.419921875,-0.5699214935302734,-9.419921875,0.5699214935302734,-8.280078887939453,1.7886959601337107
