date,c
2002-07-23,1.5774116279972545
2002-07-24,1.5984202951642645
2002-07-25,1.6219691613936698
2002-07-26,1.553550404493428
2002-07-29,1.5567376751219832
2002-07-30,1.5548532904296568
2002-07-31,1.536462239642858
2002-08-01,1.6026475868274508
2002-08-02,1.6046422391518764
2002-08-05,1.595279133442264
2002-08-06,1.600577914598649
2002-08-07,1.6575001379276828
2002-08-08,1.6569458751460109
2002-08-09,1.6466761126599492
2002-08-12,1.6457009460232566
2002-08-13,1.646358654669287
2002-08-14,1.6787698953455157
2002-08-15,1.6743214441769911
2002-08-16,1.6702385344469253
2002-08-19,1.672871925720071
2002-08-20,1.6741988786316924
2002-08-21,1.6678953021024525
2002-08-22,1.6992011702568046
2002-08-23,1.6978136998346185
2002-08-26,1.692002423024434
2002-08-27,1.6881575894080318
2002-08-28,1.6756622604933822
2002-08-29,1.666594856212417
2002-08-30,1.6533515442125921
2002-09-03,1.6590068403945184
2002-09-04,1.6565267033322222
2002-09-05,1.6474560893145567
2002-09-06,1.636893617440873
2002-09-09,1.639746208285682
2002-09-10,1.6378610799768547
2002-09-11,1.6414810746803663
2002-09-12,1.6438575162128422
2002-09-13,1.6076878267325114
2002-09-16,1.6079204376673828
2002-09-17,1.6091762337779785
2002-09-18,1.605220063652269
2002-09-19,1.6100351360494438
2002-09-20,1.622674473736818
2002-09-23,1.6170744152723104
2002-09-24,1.5799615103617637
2002-09-25,1.5816251458855617
2002-09-26,1.5866323379422926
2002-09-27,1.5901701185956427
2002-09-30,1.5851508897288573
2002-10-01,1.6064479029630807
2002-10-02,1.5913492568935965
2002-10-03,1.580047084904035
2002-10-04,1.5806050190457022
2002-10-07,1.5590965292906762
2002-10-08,1.5609398742509961
2002-10-09,1.5389400351768976
2002-10-10,1.525240434733075
2002-10-11,1.515316889438835
2002-10-14,1.5166990041478898
2002-10-15,1.5195979898128777
2002-10-16,1.5357163610154347
2002-10-17,1.529292200417674
2002-10-18,1.5287023352757378
2002-10-21,1.530605862749747
2002-10-22,1.5051467759137778
2002-10-23,1.50613125039058
2002-10-24,1.5376390208030382
2002-10-25,1.5320429029689384
2002-10-28,1.5424332940691525
2002-10-29,1.5422087848169943
2002-10-30,1.5275966577587194
2002-10-31,1.5204918913257257
2002-11-01,1.5148067089264037
2002-11-04,1.5120785347490864
2002-11-05,1.496993343505644
2002-11-06,1.5057030331745642
2002-11-07,1.5115965656674402
2002-11-08,1.5081347749158591
2002-11-11,1.4989889848209592
2002-11-12,1.4971303060308552
2002-11-13,1.4943537795045878
2002-11-14,1.5037514780717693
2002-11-15,1.5009657976835031
2002-11-18,1.4962152651200151
2002-11-19,1.4963276094694136
2002-11-20,1.4925707553430851
2002-11-21,1.5007865228738178
2002-11-22,1.5008387862091908
2002-11-25,1.5047946717830398
2002-11-26,1.5035594402775974
2002-11-27,1.511372801075269
2002-12-02,1.513466600583799
2002-12-03,1.503987670864939
2002-12-04,1.4997604983475004
2002-12-05,1.4995299964693136
2002-12-06,1.5002341625229176
2002-12-09,1.5003991826209928
2002-12-10,1.502348690716951
2002-12-11,1.5010324015989582
2002-12-12,1.5031623515645358
2002-12-13,1.5006792762658883
2002-12-16,1.4953222697464064
2002-12-17,1.493601418546813
2002-12-18,1.4915702316590878
2002-12-19,1.4910744193448426
2002-12-20,1.4987654066163174
2002-12-23,1.4982754955841735
2002-12-26,1.4998662161062164
2002-12-27,1.4986671536499838
2002-12-30,1.495593409012459
2002-12-31,1.498660245239533
2003-01-02,1.4972659092944414
2003-01-03,1.4972793303265064
2003-01-06,1.481449828890952
2003-01-07,1.4820558059214781
2003-01-08,1.4798908810856584
2003-01-09,1.4797604055648292
2003-01-10,1.480576026729356
2003-01-13,1.4772734712306268
2003-01-14,1.4744073407496971
2003-01-15,1.4793914155354184
2003-01-16,1.4749933600446206
2003-01-17,1.4713970969894097
2003-01-21,1.4691488631928211
