frame,fill,n,mean_diff,t_diff,hac_t_diff,hac_lag,dSharpe,pct_draws_positive,pctile_lo,pctile_hi,basic_lo,basic_hi
all traded days,mid,866.0,-0.06188407952553659,-2.3898637049459057,-2.4924967243478586,14.0,-0.8756699401246419,0.8500000000000001,-1.6265631517270203,-0.14763729055138214,-1.6037025896979018,-0.12477672852226362
all traded days,crossed,866.0,-0.061374752769017056,-2.3664524867225083,-2.4683447689215043,14.0,-0.8697043539415119,0.8999999999999999,-1.627382518792574,-0.13796061096049755,-1.6014480969225262,-0.11202618909044992
days with c_t,mid,866.0,-0.06188407952553659,-2.3898637049459057,-2.4924967243478586,14.0,-0.8756699401246419,0.8500000000000001,-1.6265631517270203,-0.14763729055138214,-1.6037025896979018,-0.12477672852226362
days with c_t,crossed,866.0,-0.061374752769017056,-2.3664524867225083,-2.4683447689215043,14.0,-0.8697043539415119,0.8999999999999999,-1.627382518792574,-0.13796061096049755,-1.6014480969225262,-0.11202618909044992
